RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE
53328351,20230607,M,30대,광주광역시,300이상500만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해
53328454,20230607,M,60대,서울특별시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53328699,20230607,M,50대,대구광역시,300이상500만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해
53328753,20230607,M,60대,대전광역시,300이상500만원 미만,자기만족-즐거움을 위해,자기 계발을 위해
53328966,20230607,M,20대,경기도,300만원 미만,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해
53329053,20230607,F,40대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,자기 계발을 위해
53329124,20230607,M,50대,부산광역시,무응답,건강 관리를 위해,자기만족-즐거움을 위해
53329198,20230607,M,40대,경상북도,300이상500만원 미만,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해
53329480,20230607,M,50대,제주특별자치도,300이상500만원 미만,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해
53329593,20230607,F,50대,서울특별시,300만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해
53329668,20230607,F,30대,인천광역시,300만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53329710,20230607,F,50대,부산광역시,무응답,대인 관계-교제를 위해,가족-지인 등과 시간을 보내기 위해
53329928,20230607,F,50대,인천광역시,500이상700만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53330105,20230607,M,50대,충청북도,700만원 이상,건강 관리를 위해,자기 계발을 위해
53330109,20230607,M,30대,경기도,300만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해
53330112,20230607,F,60대,전라북도,300이상500만원 미만,스트레스 해소를 위해,자기 계발을 위해
53330179,20230607,F,30대,전라북도,300만원 미만,마음의 안정-휴식을 위해,대인 관계-교제를 위해
53330209,20230607,F,50대,경기도,300이상500만원 미만,건강 관리를 위해,자기 계발을 위해
53330406,20230607,M,20대,전라북도,무응답,스트레스 해소를 위해,남는 시간을 보내기 위해
53330459,20230607,M,40대,경기도,700만원 이상,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해
53330472,20230607,F,30대,충청북도,300만원 미만,자기 계발을 위해,건강 관리를 위해
53330608,20230607,M,20대,광주광역시,300만원 미만,남는 시간을 보내기 위해,스트레스 해소를 위해
53330717,20230607,M,40대,경상남도,300이상500만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53330774,20230607,M,30대,전라남도,300만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해
53330814,20230607,F,30대,경기도,500이상700만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해
53330819,20230607,M,40대,경기도,500이상700만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해
53330911,20230607,M,60대,경기도,700만원 이상,마음의 안정-휴식을 위해,스트레스 해소를 위해
53330997,20230607,M,60대,경기도,300이상500만원 미만,마음의 안정-휴식을 위해,건강 관리를 위해
53331015,20230607,F,20대,경기도,700만원 이상,스트레스 해소를 위해,대인 관계-교제를 위해
53331187,20230607,F,50대,부산광역시,500이상700만원 미만,스트레스 해소를 위해,건강 관리를 위해
53331207,20230607,F,30대,경기도,700만원 이상,자기 계발을 위해,가족-지인 등과 시간을 보내기 위해
53331373,20230607,F,40대,대구광역시,무응답,건강 관리를 위해,남는 시간을 보내기 위해
