RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE
53322168,20230628,M,30대,세종특별자치시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해
53322615,20230628,M,50대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53322650,20230628,M,50대,서울특별시,300이상500만원 미만,스트레스 해소를 위해,자기만족-즐거움을 위해
53322728,20230628,M,40대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해
53322767,20230628,F,40대,서울특별시,500이상700만원 미만,자기만족-즐거움을 위해,남는 시간을 보내기 위해
53322841,20230628,F,30대,서울특별시,300이상500만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해
53322994,20230628,M,40대,서울특별시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,없음
53323089,20230628,F,60대,서울특별시,300이상500만원 미만,마음의 안정-휴식을 위해,기타
53323396,20230628,M,60대,서울특별시,300이상500만원 미만,건강 관리를 위해,자기 계발을 위해
53323407,20230628,M,50대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53323433,20230628,F,50대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해
53323527,20230628,M,30대,서울특별시,300이상500만원 미만,스트레스 해소를 위해,없음
53323605,20230628,F,30대,서울특별시,300이상500만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해
53323829,20230628,M,60대,서울특별시,700만원 이상,건강 관리를 위해,자기만족-즐거움을 위해
53324042,20230628,M,30대,서울특별시,500이상700만원 미만,자기만족-즐거움을 위해,자기 계발을 위해
53324068,20230628,M,60대,서울특별시,700만원 이상,남는 시간을 보내기 위해,없음
53324312,20230628,M,40대,서울특별시,700만원 이상,대인 관계-교제를 위해,마음의 안정-휴식을 위해
53324595,20230628,F,50대,서울특별시,300만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53324613,20230628,F,60대,서울특별시,300만원 미만,마음의 안정-휴식을 위해,건강 관리를 위해
53324700,20230628,F,60대,서울특별시,500이상700만원 미만,마음의 안정-휴식을 위해,자기 계발을 위해
53324795,20230628,M,30대,서울특별시,300만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해
53324977,20230628,F,40대,서울특별시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해
53325016,20230628,F,50대,서울특별시,300만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53325084,20230628,F,40대,서울특별시,700만원 이상,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53325113,20230628,M,40대,서울특별시,500이상700만원 미만,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해
53325476,20230628,F,50대,경기도,무응답,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53325576,20230628,F,40대,부산광역시,300이상500만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53325630,20230628,F,40대,경기도,300만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해
53325699,20230628,M,60대,경기도,300만원 미만,자기만족-즐거움을 위해,건강 관리를 위해
53325919,20230628,F,60대,경기도,500이상700만원 미만,건강 관리를 위해,없음
