RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,LSR_TIME_USE_PURPS_RN1_VALUE,LSR_TIME_USE_PURPS_RN2_VALUE
53328059,20230531,F,60대,서울특별시,300이상500만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해
53328321,20230531,M,60대,대구광역시,700만원 이상,자기 계발을 위해,대인 관계-교제를 위해
53328537,20230531,M,60대,경기도,300이상500만원 미만,건강 관리를 위해,대인 관계-교제를 위해
53328544,20230531,F,40대,경상남도,500이상700만원 미만,마음의 안정-휴식을 위해,대인 관계-교제를 위해
53328628,20230531,M,20대,전라남도,무응답,대인 관계-교제를 위해,마음의 안정-휴식을 위해
53328774,20230531,F,20대,대구광역시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53328787,20230531,F,50대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,없음
53328929,20230531,F,30대,경상북도,300만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해
53329092,20230531,F,20대,인천광역시,500이상700만원 미만,자기만족-즐거움을 위해,건강 관리를 위해
53329099,20230531,M,30대,경기도,700만원 이상,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53329410,20230531,F,40대,부산광역시,300만원 미만,스트레스 해소를 위해,건강 관리를 위해
53329411,20230531,M,30대,대구광역시,500이상700만원 미만,마음의 안정-휴식을 위해,남는 시간을 보내기 위해
53329428,20230531,M,30대,경상북도,700만원 이상,스트레스 해소를 위해,자기만족-즐거움을 위해
53329438,20230531,F,20대,대전광역시,무응답,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53329439,20230531,M,40대,경기도,300만원 미만,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해
53329477,20230531,F,50대,광주광역시,300만원 미만,남는 시간을 보내기 위해,가족-지인 등과 시간을 보내기 위해
53329488,20230531,F,50대,경기도,700만원 이상,대인 관계-교제를 위해,자기 계발을 위해
53329506,20230531,M,20대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해
53329530,20230531,F,40대,경기도,300이상500만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53329624,20230531,F,50대,충청북도,300만원 미만,자기만족-즐거움을 위해,대인 관계-교제를 위해
53330093,20230531,M,60대,강원도,300이상500만원 미만,스트레스 해소를 위해,건강 관리를 위해
53330634,20230531,M,20대,전라북도,700만원 이상,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53330821,20230531,F,40대,서울특별시,300만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53330944,20230531,M,50대,서울특별시,700만원 이상,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해
53330984,20230531,M,20대,경기도,무응답,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53331396,20230531,F,20대,인천광역시,300이상500만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해
53331501,20230531,F,50대,경기도,700만원 이상,스트레스 해소를 위해,자기만족-즐거움을 위해
53331632,20230531,F,60대,울산광역시,500이상700만원 미만,자기만족-즐거움을 위해,없음
53331657,20230531,M,30대,경기도,300만원 미만,대인 관계-교제를 위해,가족-지인 등과 시간을 보내기 위해
53331687,20230531,M,50대,강원도,700만원 이상,건강 관리를 위해,마음의 안정-휴식을 위해
53331789,20230531,F,20대,강원도,무응답,자기만족-즐거움을 위해,대인 관계-교제를 위해
53332122,20230531,M,40대,울산광역시,300만원 미만,스트레스 해소를 위해,없음
53332282,20230531,F,40대,경상남도,700만원 이상,마음의 안정-휴식을 위해,스트레스 해소를 위해
53332564,20230531,F,50대,경기도,300이상500만원 미만,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해
53332621,20230531,F,40대,경기도,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,없음
53332714,20230531,F,60대,울산광역시,700만원 이상,건강 관리를 위해,자기 계발을 위해
53332789,20230531,F,50대,광주광역시,500이상700만원 미만,건강 관리를 위해,자기만족-즐거움을 위해
53333011,20230531,F,60대,충청북도,500이상700만원 미만,자기 계발을 위해,건강 관리를 위해
53333023,20230531,F,30대,경기도,300만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53333091,20230531,F,20대,경기도,무응답,스트레스 해소를 위해,대인 관계-교제를 위해
53333151,20230531,M,40대,경기도,500이상700만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53333276,20230531,F,30대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해
53333330,20230531,F,40대,울산광역시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,남는 시간을 보내기 위해
53333357,20230531,M,60대,경상남도,500이상700만원 미만,대인 관계-교제를 위해,건강 관리를 위해
53333407,20230531,M,40대,전라남도,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
53333697,20230531,M,20대,경기도,300만원 미만,스트레스 해소를 위해,없음
53333730,20230531,F,60대,강원도,500이상700만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53333789,20230531,F,60대,광주광역시,300이상500만원 미만,건강 관리를 위해,남는 시간을 보내기 위해
53333820,20230531,M,50대,경기도,700만원 이상,건강 관리를 위해,마음의 안정-휴식을 위해
53333982,20230531,F,40대,전라북도,300이상500만원 미만,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해
53334096,20230531,M,40대,전라남도,300이상500만원 미만,대인 관계-교제를 위해,자기만족-즐거움을 위해
53334387,20230531,F,20대,경기도,300이상500만원 미만,마음의 안정-휴식을 위해,없음
53334491,20230531,M,50대,충청북도,700만원 이상,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53334494,20230531,M,60대,경상남도,300만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해
53334549,20230531,M,60대,경상북도,500이상700만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해
53334571,20230531,M,60대,경기도,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,건강 관리를 위해
53334624,20230531,M,50대,대구광역시,300이상500만원 미만,자기 계발을 위해,건강 관리를 위해
53334890,20230531,M,40대,인천광역시,300이상500만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53334920,20230531,M,20대,서울특별시,무응답,스트레스 해소를 위해,건강 관리를 위해
53334934,20230531,M,40대,대구광역시,700만원 이상,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해
53334949,20230531,M,40대,대구광역시,300이상500만원 미만,자기 계발을 위해,스트레스 해소를 위해
53335262,20230531,F,30대,경기도,300만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해
53335421,20230531,M,20대,경기도,300이상500만원 미만,마음의 안정-휴식을 위해,대인 관계-교제를 위해
53335716,20230531,M,20대,강원도,300이상500만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해
53335919,20230531,M,60대,경기도,300이상500만원 미만,건강 관리를 위해,자기만족-즐거움을 위해
53335949,20230531,F,30대,전라남도,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해
