,company,etc,paper_name,paper_url,submit,submit_date,time
0,동원금속,본 공시사항은 한국거래소 유가증권시장본부 소관임,[첨부추가]정기주주총회결과  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800252,동원금속,2020.06.29,18:14
1,한국가스공사,본 공시사항은 한국거래소 유가증권시장본부 소관임,기타경영사항(자율공시)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800593,한국가스공사,2020.06.29,17:49
2,LS,본 공시사항은 한국거래소 유가증권시장본부 소관임,최대주주등소유주식변동신고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800589,LS,2020.06.29,17:39
3,청호컴넷,본 공시사항은 한국거래소 유가증권시장본부 소관임,[기재정정]주주총회소집결의  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800583,청호컴넷,2020.06.29,17:35
4,청호컴넷,본 공시사항은 한국거래소 유가증권시장본부 소관임,[기재정정]주식분할결정  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800573,청호컴넷,2020.06.29,17:35
5,청호컴넷,-,[기재정정]주요사항보고서(감자결정)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000512,청호컴넷,2020.06.29,17:35
6,우리들휴브레인,본 공시사항은 한국거래소 유가증권시장본부 소관임,타인에대한채무보증결정  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800576,우리들휴브레인,2020.06.29,17:30
7,한라홀딩스,본 보고서 제출 후 정정신고가 있으니 관련 보고서를 참조하시기 바람,[발행조건확정]증권신고서(채무증권)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000507,한라홀딩스,2020.06.29,17:22
8,한익스프레스,본 공시사항은 한국거래소 유가증권시장본부 소관임,[기재정정]신규시설투자등  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800550,한익스프레스,2020.06.29,17:22
9,신영증권,본 보고서는 연결부분을 포함한 것임,[첨부정정]사업보고서 (2020.03)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000494,신영증권,2020.06.29,17:16
10,한라홀딩스,본 보고서 제출 후 정정신고가 있으니 관련 보고서를 참조하시기 바람,[기재정정]증권신고서(채무증권)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000493,한라홀딩스,2020.06.29,17:16
11,LF,-,증권발행실적보고서  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000484,LF,2020.06.29,17:11
12,명문제약,본 공시사항은 한국거래소 유가증권시장본부 소관임,전환가액ㆍ신주인수권행사가액ㆍ교환가액의조정(안내공시)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800438,명문제약,2020.06.29,17:11
13,신세계건설,본 공시사항은 공정거래위원회 소관임,동일인등출자계열회사와의상품ㆍ용역거래  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000482,신세계건설,2020.06.29,17:09
14,삼호,본 공시사항은 한국거래소 유가증권시장본부 소관임,[기재정정]단일판매ㆍ공급계약체결  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800506,삼호,2020.06.29,17:09
15,자이에스앤디,본 공시사항은 한국거래소 유가증권시장본부 소관임,단일판매ㆍ공급계약체결  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800511,자이에스앤디,2020.06.29,17:06
16,삼부토건,본 공시사항은 한국거래소 유가증권시장본부 소관임,[기재정정]단일판매ㆍ공급계약체결  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800503,삼부토건,2020.06.29,17:05
17,신세계건설,본 공시사항은 공정거래위원회 소관임,동일인등출자계열회사와의상품ㆍ용역거래변경  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000472,신세계건설,2020.06.29,17:04
18,한라홀딩스,본 공시사항은 한국거래소 유가증권시장본부 소관임,[기재정정]단일판매ㆍ공급계약체결(자회사의 주요경영사항)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800494,한라홀딩스,2020.06.29,17:02
19,오리엔트바이오,본 보고서는 연결부분을 포함한 것임,사업보고서 (2020.03)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629000463,오리엔트바이오,2020.06.29,17:01
20,부광약품,본 공시사항은 한국거래소 유가증권시장본부 소관임,유상증자결정(종속회사의주요경영사항)  ,http://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200629800500,부광약품,2020.06.29,16:58
