"시도별","경제활동별",2021 p),2021 p),2021 p)
"시도별","경제활동별",명목,실질,실질기여도
"경상북도","　문화 및 기타서비스업",3023569,2336701,0.16
"경상남도","지역내총생산(시장가격)",112073936,105347557,1.86
"경상남도","순생산물세",8767795,7572826,-0.03
"경상남도","총부가가치(기초가격)",103306141,97780700,1.89
"경상남도","농업, 임업 및 어업",4068051,3614313,-0.08
"경상남도","광제조업",38437949,37605221,0.83
"경상남도","　광업",91198,92132,0.01
"경상남도","　제조업",38346751,37515611,0.82
"경상남도","　　음식료품 및 담배제조업",2312079,2156782,0.07
"경상남도","　　섬유 의복 및 가죽 제품 제조업",439368,411715,0.00
"경상남도","　　목재종이인쇄 및 복제업",925774,799549,0.06
"경상남도","　　석탄 및 석유 화학제품 제조업",3476106,3311217,0.05
"경상남도","　　비금속광물 및 금속제품 제조업",10417722,8106383,-0.31
"경상남도","　　전기 전자 및 정밀기기 제조업",6435981,6667198,0.42
"경상남도","　　기계 운송장비 및 기타 제품 제조업",14339721,16090043,0.54
"경상남도","전기, 가스, 증기 및 공기 조절 공급업",1729680,3433946,0.36
"경상남도","건설업",5235447,4181171,-0.43
"경상남도","서비스업",53835014,49061784,1.22
"경상남도","　도매 및 소매업",4849326,4828849,0.12
"경상남도","　운수 및 창고업",2938052,2825835,0.23
"경상남도","　숙박 및 음식점업",2182380,1925790,0.02
"경상남도","　정보통신업",1459865,1693747,0.04
"경상남도","　금융 및 보험업",4425276,4273630,0.16
"경상남도","　부동산업",6698551,6410539,0.12
"경상남도","　사업서비스업",6557887,5409933,0.04
"경상남도","　공공 행정, 국방 및 사회보장 행정",9797362,8445523,-0.01
"경상남도","　교육 서비스업",6154604,5601968,0.25
"경상남도","　보건업 및 사회복지 서비스업",5770513,5314389,0.20
"경상남도","　문화 및 기타서비스업",3001198,2405261,0.03
"제주특별자치도","지역내총생산(시장가격)",20048530,18175224,1.21
"제주특별자치도","순생산물세",1627050,1383680,-0.24
"제주특별자치도","총부가가치(기초가격)",18421480,16795926,1.45
"제주특별자치도","농업, 임업 및 어업",1988511,1685758,0.11
"제주특별자치도","광제조업",745133,728401,0.18
"제주특별자치도","　광업",20110,20314,0.05
"제주특별자치도","　제조업",725023,709221,0.14
"제주특별자치도","　　음식료품 및 담배제조업",284136,262908,0.03
"제주특별자치도","　　섬유 의복 및 가죽 제품 제조업",5008,4591,0.00
"제주특별자치도","　　목재종이인쇄 및 복제업",57274,52769,0.02
"제주특별자치도","　　석탄 및 석유 화학제품 제조업",76924,74039,0.03
"제주특별자치도","　　비금속광물 및 금속제품 제조업",134355,137670,-0.01
"제주특별자치도","　　전기 전자 및 정밀기기 제조업",103624,113867,0.09
"제주특별자치도","　　기계 운송장비 및 기타 제품 제조업",63702,61551,-0.02
"제주특별자치도","전기, 가스, 증기 및 공기 조절 공급업",211553,378560,0.11
"제주특별자치도","건설업",1269463,1019834,-1.45
"제주특별자치도","서비스업",14206820,13085168,2.50
"제주특별자치도","　도매 및 소매업",1175140,1169045,0.22
"제주특별자치도","　운수 및 창고업",797971,709984,0.44
"제주특별자치도","　숙박 및 음식점업",1207205,1118563,0.59
"제주특별자치도","　정보통신업",1139163,1037373,-0.37
"제주특별자치도","　금융 및 보험업",1111634,1105295,0.22
"제주특별자치도","　부동산업",1441041,1403741,0.09
"제주특별자치도","　사업서비스업",1461289,1289351,0.56
"제주특별자치도","　공공 행정, 국방 및 사회보장 행정",2595476,2249050,0.15
"제주특별자치도","　교육 서비스업",1287954,1166474,0.10
"제주특별자치도","　보건업 및 사회복지 서비스업",1160708,1073751,0.28
"제주특별자치도","　문화 및 기타서비스업",829239,727739,0.21
