"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,매우 그렇지 않다,그렇지 않다,다소 그렇지 않다,보통이다,다소 그렇다,그렇다,매우 그렇다,평균,표본수,매우 그렇지 않다,그렇지 않다,다소 그렇지 않다,보통이다,다소 그렇다,그렇다,매우 그렇다,평균,표본수,매우 그렇지 않다,그렇지 않다,다소 그렇지 않다,보통이다,다소 그렇다,그렇다,매우 그렇다,평균,표본수,매우 그렇지 않다,그렇지 않다,다소 그렇지 않다,보통이다,다소 그렇다,그렇다,매우 그렇다,평균,표본수,매우 그렇지 않다,그렇지 않다,다소 그렇지 않다,보통이다,다소 그렇다,그렇다,매우 그렇다,평균,표본수,매우 그렇지 않다,그렇지 않다,다소 그렇지 않다,보통이다,다소 그렇다,그렇다,매우 그렇다,평균
"학력별",초졸 이하,346,0.9,9.3,7.7,22.8,32,22.1,5.3,4.6,294,0.4,1.3,8.5,34.3,36,15.2,4.3,4.67,437,4.7,5.5,8.5,21.7,24.1,26.4,9.1,4.7,318,1.6,4.5,7.8,32.2,30.7,19.2,4,4.6,234,1.6,7.3,5.3,24.1,37.7,22.3,1.9,4.6,297,3,7,3.7,17.5,41.1,23.6,4,4.7
"학력별",중졸,538,0.6,3.5,7.3,19.8,36.1,28.2,4.6,4.9,603,0.5,1.7,5.9,25.3,39.7,20.8,6,4.89,502,3.2,3,6.2,18.1,31.8,27.9,9.8,5,411,2.8,2.8,6.5,24.6,33.8,23.6,6,4.8,325,0.5,5,7,20.3,35.5,26.3,5.5,4.9,382,2,4.9,4.4,16.5,38.4,26.7,7.1,4.9
"학력별",고졸,1834,1.1,3.2,6.6,18.7,37.7,25.5,7.2,4.9,2125,0.5,1.5,4.6,20.8,43.8,23.1,5.7,4.98,1921,2,2.2,4.2,15.4,32.8,34.1,9.2,5.1,1695,2.7,2.5,4.7,23.8,34.8,26,5.6,4.9,1308,3.2,3.2,5.3,22.8,35,23.3,7.1,4.8,1479,2.6,2,2.7,15.6,36.1,32.1,8.9,5.1
"학력별",대졸이상,1903,1.2,1.8,4.5,19.3,38.4,28.7,6.2,5,1991,0.5,1.2,2.5,23.2,45.9,21.5,5.2,4.98,1951,1.6,1.8,3,14.3,31.1,34.6,13.6,5.3,1977,3.7,1.6,3.4,20.5,34.2,28.4,8.1,5,1673,2,2.7,5.5,20.9,34.5,26.6,7.8,4.9,1768,0.9,1.6,3.5,13.3,35.3,34.3,11,5.3
"동거가구원수별",1인,385,0.9,4.3,10.2,18.3,32.8,26.5,7,4.9,1040,0.8,1.5,6.4,25.7,43.9,17.5,4.2,4.8,814,3.1,3.7,4.2,17.5,30.9,31.9,8.8,5,732,1.9,2.8,6.5,26.5,34.5,22.8,5,4.8,645,2.1,3.2,6.3,21.7,35,23.7,8,4.9,666,1.5,2.5,3.7,16.2,38.8,30.2,7.1,5.1
"동거가구원수별",2인,918,0.5,3.7,4.7,21.3,36.3,25.5,7.9,5,947,0.5,2.1,5.3,24.9,38.5,22.1,6.5,4.91,1287,2.8,3,5.1,18.1,28.3,30.8,12,5.1,1047,2.4,2.9,4.1,23.7,34.8,26.7,5.4,4.9,882,2.7,3.3,5.1,20.6,39.8,22.8,5.7,4.8,1153,1.3,2.6,4.2,13.8,35.7,34.6,7.8,5.1
"동거가구원수별",3인이상,3318,1.2,2.8,5.8,19,37.9,27.2,6.1,5,3026,0.4,1.3,3.5,22.1,44.9,22.3,5.4,4.98,2710,1.9,2,3.9,14.6,32.5,34,11.1,5.2,2622,3.4,2,4.4,22.4,33.9,26.6,7.2,4.9,2013,2.3,3.4,5.5,22.3,33.1,26.2,7.3,4.9,2107,2,2.2,2.9,14.8,36.1,31.6,10.3,5.2
"혼인상태별",미혼,1328,1.2,2.6,5.8,18.6,37.9,26.9,7,5,1395,0.2,1.2,3.2,21.3,43.6,25.3,5.2,5.04,1366,2,1.9,2.9,12.6,34.9,34.5,11.1,5.2,1478,3,1.7,5.2,21.1,35.3,27.8,5.8,4.9,1201,2.6,4.3,4.6,20.7,34.6,25.6,7.6,4.9,1084,1.4,1.5,3.2,14.4,37.2,32.9,9.5,5.2
"혼인상태별",기혼,3015,1.1,2.7,5.8,19.8,37.7,27,5.8,4.9,2982,0.6,1.4,4,23,43.9,21.3,5.8,4.95,2918,2,2.3,4.4,16.4,29.9,33.2,11.8,5.2,2491,3.2,2.5,3.8,23.2,33.7,26.4,7.4,4.9,1997,2.3,2.6,5.8,21.9,35.2,25.4,6.8,4.9,2445,1.9,2.3,3.3,14.5,35.7,32.5,9.9,5.2
"혼인상태별",사별/이혼/기타,278,0.4,9.5,5.5,16.4,31.4,26.3,10.5,4.9,636,0.8,2.2,7.6,27,43.8,14.7,3.9,4.71,527,3.8,4.7,7.2,20.9,30.4,27.2,5.8,4.7,432,2.3,3,7.1,29,33.5,20.7,4.3,4.7,342,1.6,4.5,7,26.2,34.8,19.8,6.2,4.7,397,1.7,6.7,4,18.5,37.6,26.5,5,4.8
