SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
34313,2023-06,226,4.19혁명 국민문화제 2019,419혁명국민문화제,13,문화축제
34314,2023-06,1034,DMZ마라톤대회,DMZ마라톤대회,20,문화축제
34315,2023-06,910,「제34회 대구약령시 한방문화축제」,대구약령시한방문화축제,120,문화축제
34316,2023-06,917,「제35회 대구약령시 한방문화축제」,대구약령시한방문화축제,120,문화축제
34317,2023-06,924,「제36회 대구약령시 한방문화축제」,대구약령시한방문화축제,120,문화축제
34318,2023-06,931,「제37회 대구약령시 한방문화축제」,대구약령시한방문화축제,120,문화축제
34319,2023-06,235,가야문화축제,가야문화축제,480,문화축제
34320,2023-06,845,가파도청보리축제,가파도청보리축제,2470,문화축제
34321,2023-06,154,간재미 축제,간재미축제,510,문화축제
34322,2023-06,86,감물감자축제,감물감자축제,3180,문화축제
34323,2023-06,1079,감자옥수수 축제,감자옥수수축제,26,문화축제
34324,2023-06,366,감천문화마을 골목축제,감천문화마을골목축제,26,문화축제
34325,2023-06,299,갑사황매화 축제,갑사황매화축제,11,문화축제
34326,2023-06,111,강감찬축제,강감찬축제,120,문화축제
34327,2023-06,187,강경젓갈축제,강경젓갈축제,800,문화축제
34328,2023-06,586,강동선사문화축제,강동선사문화축제,220,문화축제
34329,2023-06,763,강릉단오제,강릉단오제,126300,문화축제
34330,2023-06,764,강릉커피축제,강릉커피축제,2280,문화축제
34331,2023-06,115,개천예술제,개천예술제,590,문화축제
34332,2023-06,436,거제 섬꽃축제,거제섬꽃축제,260,문화축제
34333,2023-06,430,거제 옥포대첩 축제,거제옥포대첩축제,13390,문화축제
34334,2023-06,434,거제맥주축제,거제맥주축제,170,문화축제
34335,2023-06,614,거창한마당대축제,거창한마당대축제,60,문화축제
34336,2023-06,101,겨울왕국 제천페스티벌,겨울왕국제천페스티벌,18,문화축제
34337,2023-06,767,경산갓바위소원성취축제,경산갓바위소원성취축제,57,문화축제
34338,2023-06,766,경산자인단오제,경산자인단오제,9550,문화축제
34339,2023-06,760,계룡군문화축제,계룡군문화축제,850,문화축제
34340,2023-06,171,계룡산벚꽃축제,계룡산벚꽃축제,15,문화축제
34341,2023-06,280,계룡산산신제,계룡산산신제,19,문화축제
34342,2023-06,103,계양산국악제,계양산국악제,20,문화축제
34343,2023-06,753,고려산진달래축제,고려산진달래축제,170,문화축제
34344,2023-06,27,고로쇠축제,고로쇠축제,20,문화축제
34345,2023-06,738,고서포도축제,고서포도축제,20,문화축제
34346,2023-06,1105,고스트파크,고스트파크,790,문화축제
34347,2023-06,326,고창갯벌축제,고창갯벌축제,7440,문화축제
34348,2023-06,322,고창모양성제,고창모양성제,210,문화축제
34349,2023-06,325,고창복분자와수박축제,고창복분자와수박축제,25210,문화축제
34350,2023-06,323,고창청보리밭축제,고창청보리밭축제,1310,문화축제
34351,2023-06,328,고창해풍고추축제,고창해풍고추축제,30,문화축제
34352,2023-06,490,고흥 우주항공 축제,고흥우주항공축제,140,문화축제
34353,2023-06,1087,곡성세계장미축제,곡성세계장미축제,8140,문화축제
34354,2023-06,1088,곡성심청축제,곡성심청축제,20,문화축제
34355,2023-06,526,곰소젓갈발효축제,곰소젓갈발효축제,50,문화축제
34356,2023-06,1031,곰취축제,곰취축제,50,문화축제
34357,2023-06,279,공주 석장리 구석기축제,공주석장리구석기축제,80,문화축제
34358,2023-06,170,공주 석장리 세계구석기축제,공주석장리세계구석기축제,50,문화축제
34359,2023-06,1124,광양매화축제,광양매화축제,1230,문화축제
34360,2023-06,1127,광양숯불구이축제,광양숯불구이축제,160,문화축제
34361,2023-06,1126,광양전어축제,광양전어축제,180,문화축제
34362,2023-06,749,광주 남한산성문화제,광주남한산성문화제,30,문화축제
34363,2023-06,447,광주남한산성문화제,광주남한산성문화제,30,문화축제
34364,2023-06,620,광주세계김치축제,광주세계김치축제,220,문화축제
34365,2023-06,750,광주왕실도자기축제,광주왕실도자기축제,190,문화축제
34366,2023-06,619,광주프린지페스티벌,광주프린지페스티벌,1460,문화축제
34367,2023-06,83,괴산고추축제,괴산고추축제,1060,문화축제
34368,2023-06,85,괴산올갱이축제,괴산올갱이축제,48,문화축제
34369,2023-06,146,구로G페스티벌,구로G페스티벌,90,문화축제
34370,2023-06,563,구름산예술제,구름산예술제,12,문화축제
34371,2023-06,900,군산시간여행축제,군산시간여행축제,1020,문화축제
34372,2023-06,448,군포철쭉축제,군포철쭉축제,600,문화축제
34373,2023-06,375,굿모닝 양림,굿모닝양림,12,문화축제
34374,2023-06,198,금강여울축제,금강여울축제,19,문화축제
34375,2023-06,868,금능 원담축제,금능원담축제,110,문화축제
34376,2023-06,196,금산인삼축제,금산인삼축제,3800,문화축제
34377,2023-06,835,금호강 바람소리길 축제,금호강바람소리길축제,260,문화축제
34378,2023-06,191,기지시줄다리기 민속축제,기지시줄다리기민속축제,15,문화축제
34379,2023-06,967,김광석노래부르기,김광석노래부르기,13,문화축제
34380,2023-06,973,김광석추모콘서트,김광석추모콘서트,11,문화축제
