SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
28945,"2022-09","514","2019년 한글문화예술제","한글문화예술제",30,"문화축제"
28946,"2022-09","64","2019년 한마음 건강걷기대회","한마음건강걷기대회",78,"문화축제"
28947,"2022-09","487","2019청도반시축제","청도반시축제",7670,"문화축제"
28948,"2022-09","488","2019청도세계코미디아트페스티벌","청도세계코미디아트페스티벌",1210,"문화축제"
28949,"2022-09","485","2019청도소싸움축제","청도소싸움축제",190,"문화축제"
28950,"2022-09","694","2019컬러풀대구페스티벌","컬러풀대구페스티벌",39,"문화축제"
28951,"2022-09","710","2019해우리문화축제","해우리문화축제",15,"문화축제"
28952,"2022-09","226","4.19혁명 국민문화제 2019","419혁명국민문화제",12,"문화축제"
28953,"2022-09","1034","DMZ마라톤대회","DMZ마라톤대회",29,"문화축제"
28954,"2022-09","910","「제34회 대구약령시 한방문화축제」","대구약령시한방문화축제",2850,"문화축제"
28955,"2022-09","917","「제35회 대구약령시 한방문화축제」","대구약령시한방문화축제",2850,"문화축제"
28956,"2022-09","924","「제36회 대구약령시 한방문화축제」","대구약령시한방문화축제",2850,"문화축제"
28957,"2022-09","931","「제37회 대구약령시 한방문화축제」","대구약령시한방문화축제",2850,"문화축제"
28958,"2022-09","235","가야문화축제","가야문화축제",1350,"문화축제"
28959,"2022-09","845","가파도청보리축제","가파도청보리축제",710,"문화축제"
28960,"2022-09","154","간재미 축제","간재미축제",10,"문화축제"
28961,"2022-09","1120","간절곶해맞이","간절곶해맞이",17,"문화축제"
28962,"2022-09","1046","감악문화축제","감악문화축제",560,"문화축제"
28963,"2022-09","366","감천문화마을 골목축제","감천문화마을골목축제",70,"문화축제"
28964,"2022-09","111","강감찬축제","강감찬축제",2080,"문화축제"
28965,"2022-09","187","강경젓갈축제","강경젓갈축제",7920,"문화축제"
28966,"2022-09","586","강동선사문화축제","강동선사문화축제",13270,"문화축제"
28967,"2022-09","763","강릉단오제","강릉단오제",3990,"문화축제"
28968,"2022-09","764","강릉커피축제","강릉커피축제",33170,"문화축제"
28969,"2022-09","115","개천예술제","개천예술제",12680,"문화축제"
28970,"2022-09","436","거제 섬꽃축제","거제섬꽃축제",2210,"문화축제"
28971,"2022-09","434","거제맥주축제","거제맥주축제",150,"문화축제"
28972,"2022-09","435","거제몽돌해변축제","거제몽돌해변축제",20,"문화축제"
28973,"2022-09","614","거창한마당대축제","거창한마당대축제",9680,"문화축제"
28974,"2022-09","101","겨울왕국 제천페스티벌","겨울왕국제천페스티벌",30,"문화축제"
28975,"2022-09","767","경산갓바위소원성취축제","경산갓바위소원성취축제",1190,"문화축제"
28976,"2022-09","766","경산자인단오제","경산자인단오제",100,"문화축제"
28977,"2022-09","376","경주세계차문화축제","경주세계차문화축제",29,"문화축제"
28978,"2022-09","760","계룡군문화축제","계룡군문화축제",15670,"문화축제"
28979,"2022-09","280","계룡산산신제","계룡산산신제",11,"문화축제"
28980,"2022-09","103","계양산국악제","계양산국악제",17,"문화축제"
28981,"2022-09","753","고려산진달래축제","고려산진달래축제",160,"문화축제"
28982,"2022-09","27","고로쇠축제","고로쇠축제",40,"문화축제"
28983,"2022-09","738","고서포도축제","고서포도축제",22,"문화축제"
28984,"2022-09","1105","고스트파크","고스트파크",450,"문화축제"
28985,"2022-09","326","고창갯벌축제","고창갯벌축제",260,"문화축제"
28986,"2022-09","322","고창모양성제","고창모양성제",12030,"문화축제"
28987,"2022-09","325","고창복분자와수박축제","고창복분자와수박축제",80,"문화축제"
28988,"2022-09","323","고창청보리밭축제","고창청보리밭축제",590,"문화축제"
28989,"2022-09","328","고창해풍고추축제","고창해풍고추축제",100,"문화축제"
28990,"2022-09","490","고흥 우주항공 축제","고흥우주항공축제",60,"문화축제"
28991,"2022-09","1087","곡성세계장미축제","곡성세계장미축제",330,"문화축제"
28992,"2022-09","1088","곡성심청축제","곡성심청축제",460,"문화축제"
28993,"2022-09","526","곰소젓갈발효축제","곰소젓갈발효축제",310,"문화축제"
28994,"2022-09","1031","곰취축제","곰취축제",37,"문화축제"
28995,"2022-09","170","공주 석장리 세계구석기축제","공주석장리세계구석기축제",120,"문화축제"
28996,"2022-09","300","공주항공축제","공주항공축제",19,"문화축제"
28997,"2022-09","689","광산우리밀축제","광산우리밀축제",13,"문화축제"
28998,"2022-09","1124","광양매화축제","광양매화축제",520,"문화축제"
28999,"2022-09","1127","광양숯불구이축제","광양숯불구이축제",3370,"문화축제"
29000,"2022-09","1126","광양전어축제","광양전어축제",11730,"문화축제"
29001,"2022-09","749","광주 남한산성문화제","광주남한산성문화제",190,"문화축제"
29002,"2022-09","447","광주남한산성문화제","광주남한산성문화제",190,"문화축제"
29003,"2022-09","620","광주세계김치축제","광주세계김치축제",1100,"문화축제"
29004,"2022-09","750","광주왕실도자기축제","광주왕실도자기축제",740,"문화축제"
29005,"2022-09","619","광주프린지페스티벌","광주프린지페스티벌",10550,"문화축제"
29006,"2022-09","83","괴산고추축제","괴산고추축제",30350,"문화축제"
29007,"2022-09","85","괴산올갱이축제","괴산올갱이축제",16,"문화축제"
29008,"2022-09","146","구로G페스티벌","구로G페스티벌",30470,"문화축제"
29009,"2022-09","563","구름산예술제","구름산예술제",60,"문화축제"
29010,"2022-09","900","군산시간여행축제","군산시간여행축제",19490,"문화축제"
29011,"2022-09","448","군포철쭉축제","군포철쭉축제",140,"문화축제"
29012,"2022-09","375","굿모닝 양림","굿모닝양림",70,"문화축제"
29013,"2022-09","198","금강여울축제","금강여울축제",17,"문화축제"
29014,"2022-09","868","금능 원담축제","금능원담축제",20,"문화축제"
29015,"2022-09","196","금산인삼축제","금산인삼축제",92830,"문화축제"
29016,"2022-09","835","금호강 바람소리길 축제","금호강바람소리길축제",16990,"문화축제"
29017,"2022-09","191","기지시줄다리기 민속축제","기지시줄다리기민속축제",20,"문화축제"
29018,"2022-09","967","김광석노래부르기","김광석노래부르기",200,"문화축제"
29019,"2022-09","973","김광석추모콘서트","김광석추모콘서트",21,"문화축제"
29020,"2022-09","483","김삿갓문화제","김삿갓문화제",1190,"문화축제"
29021,"2022-09","1153","김유정문학제","김유정문학제",15,"문화축제"
29022,"2022-09","1143","김유정추모제","김유정추모제",12,"문화축제"
29023,"2022-09","367","김천국제가족연극제","김천국제가족연극제",13,"문화축제"
29024,"2022-09","368","김천예술제","김천예술제",170,"문화축제"
29025,"2022-09","370","김천자두포도축제","김천자두포도축제",40,"문화축제"
29026,"2022-09","416","김포예술제","김포예술제",930,"문화축제"
29027,"2022-09","237","김해독서대전","김해독서대전",140,"문화축제"
29028,"2022-09","236","김해분청도자기축제","김해분청도자기축제",1580,"문화축제"
29029,"2022-09","762","난설헌문화제","난설헌문화제",30,"문화축제"
29030,"2022-09","630","남도음식문화큰잔치","남도음식문화큰잔치",3870,"문화축제"
29031,"2022-09","661","남산상봉제","남산상봉제",1420,"문화축제"
29032,"2022-09","1048","남양주다산문화제","남양주다산문화제",27,"문화축제"
29033,"2022-09","560","남이흥장군 문화제","남이흥장군문화제",19,"문화축제"
29034,"2022-09","1091","내 집 앞 세계영화제","내집앞세계영화제",240,"문화축제"
29035,"2022-09","304","노원등축제","노원등축제",70,"문화축제"
29036,"2022-09","305","노원탈축제","노원탈축제",7580,"문화축제"
29037,"2022-09","186","논산딸기축제","논산딸기축제",2030,"문화축제"
29038,"2022-09","29","단감축제","단감축제",450,"문화축제"
29039,"2022-09","440","단기4351년 개천절 대제전","개천절대제전",20,"문화축제"
29040,"2022-09","480","단종문화제","단종문화제",40,"문화축제"
29041,"2022-09","466","달마고도 걷기축제","달마고도걷기축제",90,"문화축제"
29042,"2022-09","39","달맞이축제","달맞이축제",340,"문화축제"
29043,"2022-09","796","달서가족축제","달서가족축제",340,"문화축제"
29044,"2022-09","474","달성토성마을축제","달성토성마을축제",30,"문화축제"
29045,"2022-09","712","달집태우기","달집태우기",2990,"문화축제"
29046,"2022-09","733","담양대나무축제","담양대나무축제",630,"문화축제"
29047,"2022-09","734","담양산타축제","담양산타축제",180,"문화축제"
29048,"2022-09","1082","대관령눈꽃축제","대관령눈꽃축제",600,"문화축제"
29049,"2022-09","707","대구 글로벌게임문화축제 e-Fun","대구글로벌게임문화축제",30,"문화축제"
29050,"2022-09","697","대구국제뮤지컬페스티벌","대구국제뮤지컬페스티벌",270,"문화축제"
29051,"2022-09","696","대구국제오페라축제","대구국제오페라축제",2320,"문화축제"
29052,"2022-09","695","대구국제재즈축제","대구국제재즈축제",1440,"문화축제"
29053,"2022-09","705","대구국제패션문화페스티벌","대구국제패션문화페스티벌",20,"문화축제"
29054,"2022-09","957","대구스트리트 모터 페스티벌","대구스트리트모터페스티벌",1400,"문화축제"
29055,"2022-09","700","대구약령시한방문화축제","대구약령시한방문화축제",2850,"문화축제"
29056,"2022-09","702","대구치맥페스티벌","대구치맥페스티벌",3040,"문화축제"
