SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
30188,2022-11,997,2014 안양시민축제,안양시민축제,100,문화축제
30189,2022-11,992,2015 안양 시민축제,안양시민축제,100,문화축제
30190,2022-11,396,2016 대가야체험축제,대가야체험축제,28,문화축제
30191,2022-11,945,2016 대구약령시한방문화축제,대구약령시한방문화축제,200,문화축제
30192,2022-11,994,2016 안양 시민축제,안양시민축제,100,문화축제
30193,2022-11,996,2016 제5회 안양공공예술프로젝트,안양공공예술프로젝트,70,문화축제
30194,2022-11,819,2016 평생학습 박람회 & 제6회 도서관책문화축제,평생학습박람회,240,문화축제
30195,2022-11,283,2017 겨울공주군밤축제,겨울공주군밤축제,500,문화축제
30196,2022-11,952,2017 대구약령시한방문화축제,대구약령시한방문화축제,200,문화축제
30197,2022-11,1001,2017 안양 시민축제,안양시민축제,100,문화축제
30198,2022-11,628,2017 얼음나라화천 산천어축제,얼음나라화천산천어축제,150,문화축제
30199,2022-11,4,2017 영동곶감축제,영동곶감축제,1570,문화축제
30200,2022-11,385,2017 음식 문화축제,음식문화축제,270,문화축제
30201,2022-11,289,2018 계룡산벚꽃축제,계룡산벚꽃축제,20,문화축제
30202,2022-11,287,2018 계룡산산신제,계룡산산신제,20,문화축제
30203,2022-11,286,2018 공주 석장리 세계구석기축제,공주석장리세계구석기축제,40,문화축제
30204,2022-11,962,2018 대구약령시한방문화축제,대구약령시한방문화축제,200,문화축제
30205,2022-11,1123,2018 무안황토갯벌축제,무안황토갯벌축제,40,문화축제
30206,2022-11,799,2018 안산 김홍도축제,안산김홍도축제,50,문화축제
30207,2022-11,1005,2018 안양 시민축제,안양시민축제,100,문화축제
30208,2022-11,386,2018 음식 문화축제,음식문화축제,270,문화축제
30209,2022-11,501,2018 전주비빔밥축제,전주비빔밥축제,930,문화축제
30210,2022-11,1056,2018 정선고드름축제,정선고드름축제,60,문화축제
30211,2022-11,444,2018 종로한복축제,종로한복축제,390,문화축제
30212,2022-11,1094,2019 강남페스티벌,강남페스티벌,170,문화축제
30213,2022-11,298,2019 계룡산벚꽃축제,계룡산벚꽃축제,20,문화축제
30214,2022-11,296,2019 계룡산산신제,계룡산산신제,20,문화축제
30215,2022-11,609,2019 고양가을꽃축제,고양가을꽃축제,990,문화축제
30216,2022-11,597,2019 고양국제꽃박람회,고양국제꽃박람회,740,문화축제
30217,2022-11,602,2019 고양행주문화제,고양행주문화제,20,문화축제
30218,2022-11,610,2019 고양호수예술축제,고양호수예술축제,170,문화축제
30219,2022-11,295,2019 공주 석장리 구석기축제,공주석장리구석기축제,16,문화축제
30220,2022-11,863,2019 곶자왈 반딧불이 축제,곶자왈반딧불이축제,47,문화축제
30221,2022-11,306,2019 군포철쭉축제,군포철쭉축제,90,문화축제
30222,2022-11,223,2019 금정산성축제,금정산성축제,600,문화축제
30223,2022-11,975,2019 대구약령시한방문화축제,대구약령시한방문화축제,200,문화축제
30224,2022-11,873,2019 대전 서구힐링 아트페스티벌,대전서구힐링아트페스티벌,560,문화축제
30225,2022-11,836,2019 대한민국 국향대전,대한민국국향대전,4500,문화축제
30226,2022-11,329,2019 대한민국 온천대축제,대한민국온천대축제,30,문화축제
30227,2022-11,150,2019 보정역생활문화센터 <청춘파티  - 특별프로그램>,보정역생활문화센터,150,문화축제
30228,2022-11,889,2019 부평풍물대축제,부평풍물대축제,420,문화축제
30229,2022-11,887,2019 서귀포과학문화축전,서귀포과학문화축전,170,문화축제
30230,2022-11,382,2019 수원연극축제,수원연극축제,80,문화축제
30231,2022-11,365,2019 순천 푸드앤아트 페스티벌,순천푸드앤아트페스티벌,180,문화축제
30232,2022-11,1057,2019 안성맞춤 남사당 바우덕이축제,안성맞춤남사당바우덕이축제,130,문화축제
30233,2022-11,980,2019 여주오곡나루축제(취소),여주오곡나루축제,430,문화축제
30234,2022-11,387,2019 음식 문화축제,음식문화축제,270,문화축제
30235,2022-11,54,2019 정읍벚꽃축제,정읍벚꽃축제,20,문화축제
30236,2022-11,462,2019 제8회 서울동화축제,서울동화축제,50,문화축제
30237,2022-11,864,2019 제주 메밀축제,제주메밀축제,177,문화축제
