SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
30740,2022-12,997,2014 안양시민축제,안양시민축제,50,문화축제
30741,2022-12,992,2015 안양 시민축제,안양시민축제,50,문화축제
30742,2022-12,396,2016 대가야체험축제,대가야체험축제,23,문화축제
30743,2022-12,945,2016 대구약령시한방문화축제,대구약령시한방문화축제,50,문화축제
30744,2022-12,994,2016 안양 시민축제,안양시민축제,50,문화축제
30745,2022-12,996,2016 제5회 안양공공예술프로젝트,안양공공예술프로젝트,50,문화축제
30746,2022-12,819,2016 평생학습 박람회 & 제6회 도서관책문화축제,평생학습박람회,30,문화축제
30747,2022-12,283,2017 겨울공주군밤축제,겨울공주군밤축제,6140,문화축제
30748,2022-12,952,2017 대구약령시한방문화축제,대구약령시한방문화축제,50,문화축제
30749,2022-12,1001,2017 안양 시민축제,안양시민축제,50,문화축제
30750,2022-12,628,2017 얼음나라화천 산천어축제,얼음나라화천산천어축제,26100,문화축제
30751,2022-12,4,2017 영동곶감축제,영동곶감축제,11170,문화축제
30752,2022-12,385,2017 음식 문화축제,음식문화축제,20,문화축제
30753,2022-12,289,2018 계룡산벚꽃축제,계룡산벚꽃축제,14,문화축제
30754,2022-12,287,2018 계룡산산신제,계룡산산신제,29,문화축제
30755,2022-12,286,2018 공주 석장리 세계구석기축제,공주석장리세계구석기축제,40,문화축제
30756,2022-12,962,2018 대구약령시한방문화축제,대구약령시한방문화축제,50,문화축제
30757,2022-12,1123,2018 무안황토갯벌축제,무안황토갯벌축제,20,문화축제
30758,2022-12,799,2018 안산 김홍도축제,안산김홍도축제,29,문화축제
30759,2022-12,1005,2018 안양 시민축제,안양시민축제,50,문화축제
30760,2022-12,386,2018 음식 문화축제,음식문화축제,20,문화축제
30761,2022-12,501,2018 전주비빔밥축제,전주비빔밥축제,480,문화축제
30762,2022-12,1056,2018 정선고드름축제,정선고드름축제,230,문화축제
30763,2022-12,444,2018 종로한복축제,종로한복축제,200,문화축제
30764,2022-12,1094,2019 강남페스티벌,강남페스티벌,110,문화축제
30765,2022-12,298,2019 계룡산벚꽃축제,계룡산벚꽃축제,14,문화축제
30766,2022-12,296,2019 계룡산산신제,계룡산산신제,29,문화축제
30767,2022-12,609,2019 고양가을꽃축제,고양가을꽃축제,70,문화축제
30768,2022-12,597,2019 고양국제꽃박람회,고양국제꽃박람회,450,문화축제
30769,2022-12,602,2019 고양행주문화제,고양행주문화제,15,문화축제
30770,2022-12,610,2019 고양호수예술축제,고양호수예술축제,80,문화축제
30771,2022-12,295,2019 공주 석장리 구석기축제,공주석장리구석기축제,10,문화축제
30772,2022-12,306,2019 군포철쭉축제,군포철쭉축제,50,문화축제
30773,2022-12,223,2019 금정산성축제,금정산성축제,40,문화축제
30774,2022-12,975,2019 대구약령시한방문화축제,대구약령시한방문화축제,50,문화축제
30775,2022-12,873,2019 대전 서구힐링 아트페스티벌,대전서구힐링아트페스티벌,170,문화축제
30776,2022-12,836,2019 대한민국 국향대전,대한민국국향대전,70,문화축제
30777,2022-12,329,2019 대한민국 온천대축제,대한민국온천대축제,18,문화축제
30778,2022-12,150,2019 보정역생활문화센터 <청춘파티  - 특별프로그램>,보정역생활문화센터,100,문화축제
30779,2022-12,889,2019 부평풍물대축제,부평풍물대축제,380,문화축제
30780,2022-12,382,2019 수원연극축제,수원연극축제,250,문화축제
30781,2022-12,365,2019 순천 푸드앤아트 페스티벌,순천푸드앤아트페스티벌,70,문화축제
30782,2022-12,1057,2019 안성맞춤 남사당 바우덕이축제,안성맞춤남사당바우덕이축제,30,문화축제
30783,2022-12,980,2019 여주오곡나루축제(취소),여주오곡나루축제,120,문화축제
30784,2022-12,36,2019 예천세계활축제,예천세계활축제,15,문화축제
30785,2022-12,387,2019 음식 문화축제,음식문화축제,20,문화축제
30786,2022-12,54,2019 정읍벚꽃축제,정읍벚꽃축제,20,문화축제
30787,2022-12,462,2019 제8회 서울동화축제,서울동화축제,39,문화축제
30788,2022-12,864,2019 제주 메밀축제,제주메밀축제,20,문화축제
30789,2022-12,664,2019 제주들불축제,제주들불축제,1850,문화축제
30790,2022-12,665,2019 제주왕벚꽃축제,제주왕벚꽃축제,100,문화축제
30791,2022-12,252,2019 중딩영화제,중딩영화제,250,문화축제
30792,2022-12,400,2019 진안홍삼축제,진안홍삼축제,160,문화축제
30793,2022-12,247,2019 청소년미디어캠프,청소년미디어캠프,16,문화축제
30794,2022-12,256,2019 청소년창작영상제,청소년창작영상제,20,문화축제
