SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
31300,2023-02,997,2014 안양시민축제,안양시민축제,60,문화축제
31301,2023-02,992,2015 안양 시민축제,안양시민축제,60,문화축제
31302,2023-02,396,2016 대가야체험축제,대가야체험축제,100,문화축제
31303,2023-02,945,2016 대구약령시한방문화축제,대구약령시한방문화축제,120,문화축제
31304,2023-02,994,2016 안양 시민축제,안양시민축제,60,문화축제
31305,2023-02,996,2016 제5회 안양공공예술프로젝트,안양공공예술프로젝트,50,문화축제
31306,2023-02,819,2016 평생학습 박람회 & 제6회 도서관책문화축제,평생학습박람회,50,문화축제
31307,2023-02,283,2017 겨울공주군밤축제,겨울공주군밤축제,420,문화축제
31308,2023-02,952,2017 대구약령시한방문화축제,대구약령시한방문화축제,120,문화축제
31309,2023-02,1001,2017 안양 시민축제,안양시민축제,60,문화축제
31310,2023-02,998,2017 안양충훈벚꽃축제,안양충훈벚꽃축제,140,문화축제
31311,2023-02,628,2017 얼음나라화천 산천어축제,얼음나라화천산천어축제,3780,문화축제
31312,2023-02,4,2017 영동곶감축제,영동곶감축제,410,문화축제
31313,2023-02,385,2017 음식 문화축제,음식문화축제,20,문화축제
31314,2023-02,289,2018 계룡산벚꽃축제,계룡산벚꽃축제,140,문화축제
31315,2023-02,287,2018 계룡산산신제,계룡산산신제,30,문화축제
31316,2023-02,286,2018 공주 석장리 세계구석기축제,공주석장리세계구석기축제,100,문화축제
31317,2023-02,962,2018 대구약령시한방문화축제,대구약령시한방문화축제,120,문화축제
31318,2023-02,1123,2018 무안황토갯벌축제,무안황토갯벌축제,50,문화축제
31319,2023-02,799,2018 안산 김홍도축제,안산김홍도축제,30,문화축제
31320,2023-02,1005,2018 안양 시민축제,안양시민축제,60,문화축제
31321,2023-02,1002,2018 안양충훈벚꽃축제,안양충훈벚꽃축제,140,문화축제
31322,2023-02,313,2018 연제고분판타지축제,연제고분판타지축제,90,문화축제
31323,2023-02,386,2018 음식 문화축제,음식문화축제,20,문화축제
31324,2023-02,501,2018 전주비빔밥축제,전주비빔밥축제,200,문화축제
31325,2023-02,1056,2018 정선고드름축제,정선고드름축제,59,문화축제
31326,2023-02,444,2018 종로한복축제,종로한복축제,80,문화축제
31327,2023-02,1094,2019 강남페스티벌,강남페스티벌,160,문화축제
31328,2023-02,298,2019 계룡산벚꽃축제,계룡산벚꽃축제,140,문화축제
31329,2023-02,296,2019 계룡산산신제,계룡산산신제,30,문화축제
31330,2023-02,609,2019 고양가을꽃축제,고양가을꽃축제,20,문화축제
