SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
33693,2023-05,763,강릉단오제,강릉단오제,30970,문화축제
33605,2023-05,997,2014 안양시민축제,안양시민축제,690,문화축제
33606,2023-05,992,2015 안양 시민축제,안양시민축제,690,문화축제
33607,2023-05,396,2016 대가야체험축제,대가야체험축제,30,문화축제
33608,2023-05,945,2016 대구약령시한방문화축제,대구약령시한방문화축제,4890,문화축제
33609,2023-05,994,2016 안양 시민축제,안양시민축제,690,문화축제
33610,2023-05,996,2016 제5회 안양공공예술프로젝트,안양공공예술프로젝트,370,문화축제
33611,2023-05,819,2016 평생학습 박람회 & 제6회 도서관책문화축제,평생학습박람회,100,문화축제
33612,2023-05,283,2017 겨울공주군밤축제,겨울공주군밤축제,110,문화축제
33613,2023-05,952,2017 대구약령시한방문화축제,대구약령시한방문화축제,4890,문화축제
33614,2023-05,627,2017 물의나라화천 쪽배축제,물의나라화천쪽배축제,30,문화축제
33615,2023-05,1001,2017 안양 시민축제,안양시민축제,690,문화축제
33616,2023-05,998,2017 안양충훈벚꽃축제,안양충훈벚꽃축제,28,문화축제
33617,2023-05,628,2017 얼음나라화천 산천어축제,얼음나라화천산천어축제,370,문화축제
33618,2023-05,4,2017 영동곶감축제,영동곶감축제,150,문화축제
33619,2023-05,385,2017 음식 문화축제,음식문화축제,90,문화축제
33620,2023-05,289,2018 계룡산벚꽃축제,계룡산벚꽃축제,60,문화축제
33621,2023-05,287,2018 계룡산산신제,계룡산산신제,210,문화축제
33622,2023-05,286,2018 공주 석장리 세계구석기축제,공주석장리세계구석기축제,1120,문화축제
33623,2023-05,962,2018 대구약령시한방문화축제,대구약령시한방문화축제,4890,문화축제
33624,2023-05,1123,2018 무안황토갯벌축제,무안황토갯벌축제,2260,문화축제
33625,2023-05,284,2018 백제어울마당,백제어울마당,20,문화축제
33626,2023-05,799,2018 안산 김홍도축제,안산김홍도축제,50,문화축제
33627,2023-05,1005,2018 안양 시민축제,안양시민축제,690,문화축제
33628,2023-05,1002,2018 안양충훈벚꽃축제,안양충훈벚꽃축제,28,문화축제
33629,2023-05,313,2018 연제고분판타지축제,연제고분판타지축제,50,문화축제
33630,2023-05,285,2018 웅진성수문병 근무교대식,웅진성수문병근무교대식,15,문화축제
33631,2023-05,386,2018 음식 문화축제,음식문화축제,90,문화축제
33632,2023-05,501,2018 전주비빔밥축제,전주비빔밥축제,1070,문화축제
33633,2023-05,444,2018 종로한복축제,종로한복축제,310,문화축제
33634,2023-05,1094,2019 강남페스티벌,강남페스티벌,1530,문화축제
33635,2023-05,298,2019 계룡산벚꽃축제,계룡산벚꽃축제,60,문화축제
33636,2023-05,296,2019 계룡산산신제,계룡산산신제,210,문화축제
33637,2023-05,600,2019 고양 선인장 한마당 전시회,고양선인장한마당전시회,11,문화축제
33638,2023-05,609,2019 고양가을꽃축제,고양가을꽃축제,120,문화축제
33639,2023-05,597,2019 고양국제꽃박람회,고양국제꽃박람회,19110,문화축제
33640,2023-05,602,2019 고양행주문화제,고양행주문화제,14810,문화축제
33641,2023-05,610,2019 고양호수예술축제,고양호수예술축제,920,문화축제
33642,2023-05,295,2019 공주 석장리 구석기축제,공주석장리구석기축제,7710,문화축제
33643,2023-05,863,2019 곶자왈 반딧불이 축제,곶자왈반딧불이축제,480,문화축제
33644,2023-05,306,2019 군포철쭉축제,군포철쭉축제,13820,문화축제
33645,2023-05,223,2019 금정산성축제,금정산성축제,17910,문화축제
33646,2023-05,975,2019 대구약령시한방문화축제,대구약령시한방문화축제,4890,문화축제
33647,2023-05,873,2019 대전 서구힐링 아트페스티벌,대전서구힐링아트페스티벌,340,문화축제
33648,2023-05,836,2019 대한민국 국향대전,대한민국국향대전,30,문화축제
33649,2023-05,293,2019 백제어울마당,백제어울마당,20,문화축제
33650,2023-05,862,2019 보목자리돔축제,보목자리돔축제,2850,문화축제
33651,2023-05,150,2019 보정역생활문화센터 <청춘파티  - 특별프로그램>,보정역생활문화센터,170,문화축제
