SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
29687,2022-10,304,노원등축제,노원등축제,1290,문화축제
29688,2022-10,305,노원탈축제,노원탈축제,40750,문화축제
29825,2022-10,153,수선화축제,수선화축제,140,문화축제
29518,2022-10,997,2014 안양시민축제,안양시민축제,1350,문화축제
29519,2022-10,992,2015 안양 시민축제,안양시민축제,1350,문화축제
29520,2022-10,396,2016 대가야체험축제,대가야체험축제,30,문화축제
29521,2022-10,945,2016 대구약령시한방문화축제,대구약령시한방문화축제,12010,문화축제
29522,2022-10,994,2016 안양 시민축제,안양시민축제,1350,문화축제
29523,2022-10,996,2016 제5회 안양공공예술프로젝트,안양공공예술프로젝트,90,문화축제
29524,2022-10,819,2016 평생학습 박람회 & 제6회 도서관책문화축제,평생학습박람회,1540,문화축제
29525,2022-10,283,2017 겨울공주군밤축제,겨울공주군밤축제,280,문화축제
29526,2022-10,952,2017 대구약령시한방문화축제,대구약령시한방문화축제,12010,문화축제
29527,2022-10,1001,2017 안양 시민축제,안양시민축제,1350,문화축제
29528,2022-10,628,2017 얼음나라화천 산천어축제,얼음나라화천산천어축제,110,문화축제
29529,2022-10,4,2017 영동곶감축제,영동곶감축제,740,문화축제
29530,2022-10,385,2017 음식 문화축제,음식문화축제,960,문화축제
29531,2022-10,289,2018 계룡산벚꽃축제,계룡산벚꽃축제,16,문화축제
29532,2022-10,287,2018 계룡산산신제,계룡산산신제,40,문화축제
29533,2022-10,286,2018 공주 석장리 세계구석기축제,공주석장리세계구석기축제,180,문화축제
29534,2022-10,962,2018 대구약령시한방문화축제,대구약령시한방문화축제,12010,문화축제
29535,2022-10,1123,2018 무안황토갯벌축제,무안황토갯벌축제,80,문화축제
29536,2022-10,799,2018 안산 김홍도축제,안산김홍도축제,6250,문화축제
29537,2022-10,821,2018 안산시 평생학습 한마당 & 제8회 안산시도서관책문화축제,안산시평생학습한마당,60,문화축제
29538,2022-10,1005,2018 안양 시민축제,안양시민축제,1350,문화축제
29539,2022-10,285,2018 웅진성수문병 근무교대식,웅진성수문병근무교대식,40,문화축제
29540,2022-10,386,2018 음식 문화축제,음식문화축제,960,문화축제
29541,2022-10,501,2018 전주비빔밥축제,전주비빔밥축제,52470,문화축제
29542,2022-10,1056,2018 정선고드름축제,정선고드름축제,19,문화축제
29543,2022-10,463,2018 제2회 광진교 페스티벌,광진교페스티벌,24,문화축제
29544,2022-10,464,2018 제8회 광나루 어울마당,광나루어울마당,80,문화축제
29545,2022-10,444,2018 종로한복축제,종로한복축제,9230,문화축제
29546,2022-10,1094,2019 강남페스티벌,강남페스티벌,29120,문화축제
29547,2022-10,1093,2019 강남페스티벌 패션쇼,강남페스티벌패션쇼,70,문화축제
29548,2022-10,298,2019 계룡산벚꽃축제,계룡산벚꽃축제,16,문화축제
29549,2022-10,296,2019 계룡산산신제,계룡산산신제,40,문화축제
29550,2022-10,609,2019 고양가을꽃축제,고양가을꽃축제,57750,문화축제
29551,2022-10,597,2019 고양국제꽃박람회,고양국제꽃박람회,1510,문화축제
29552,2022-10,602,2019 고양행주문화제,고양행주문화제,70,문화축제
29553,2022-10,610,2019 고양호수예술축제,고양호수예술축제,16330,문화축제
29554,2022-10,863,2019 곶자왈 반딧불이 축제,곶자왈반딧불이축제,15,문화축제
29555,2022-10,306,2019 군포철쭉축제,군포철쭉축제,220,문화축제
29556,2022-10,223,2019 금정산성축제,금정산성축제,12020,문화축제
29557,2022-10,333,2019 노은한마음축제,노은한마음축제,260,문화축제
29558,2022-10,975,2019 대구약령시한방문화축제,대구약령시한방문화축제,12010,문화축제
29559,2022-10,873,2019 대전 서구힐링 아트페스티벌,대전서구힐링아트페스티벌,37790,문화축제
29560,2022-10,836,2019 대한민국 국향대전,대한민국국향대전,16330,문화축제
29561,2022-10,329,2019 대한민국 온천대축제,대한민국온천대축제,5060,문화축제
29562,2022-10,150,2019 보정역생활문화센터 <청춘파티  - 특별프로그램>,보정역생활문화센터,150,문화축제
29563,2022-10,889,2019 부평풍물대축제,부평풍물대축제,17020,문화축제
29564,2022-10,887,2019 서귀포과학문화축전,서귀포과학문화축전,40,문화축제
29565,2022-10,384,2019 수원등불축제,수원등불축제,100,문화축제
29566,2022-10,382,2019 수원연극축제,수원연극축제,90,문화축제
29567,2022-10,365,2019 순천 푸드앤아트 페스티벌,순천푸드앤아트페스티벌,35180,문화축제
29568,2022-10,1057,2019 안성맞춤 남사당 바우덕이축제,안성맞춤남사당바우덕이축제,20370,문화축제
29569,2022-10,1047,2019 양주 천만송이 천일홍 축제,양주천만송이천일홍축제,180,문화축제
29570,2022-10,980,2019 여주오곡나루축제(취소),여주오곡나루축제,38430,문화축제
29571,2022-10,36,2019 예천세계활축제,예천세계활축제,70,문화축제
29572,2022-10,894,2019 오륙도 평화축제,오륙도평화축제,110,문화축제
29573,2022-10,294,2019 웅진성수문병 근무교대식,웅진성수문병근무교대식,40,문화축제
29574,2022-10,387,2019 음식 문화축제,음식문화축제,960,문화축제
29575,2022-10,54,2019 정읍벚꽃축제,정읍벚꽃축제,30,문화축제
29576,2022-10,462,2019 제8회 서울동화축제,서울동화축제,90,문화축제
29577,2022-10,864,2019 제주 메밀축제,제주메밀축제,680,문화축제
29578,2022-10,664,2019 제주들불축제,제주들불축제,1960,문화축제
29579,2022-10,665,2019 제주왕벚꽃축제,제주왕벚꽃축제,60,문화축제
29580,2022-10,252,2019 중딩영화제,중딩영화제,20,문화축제
