SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
32450,2023-01,997,2014 안양시민축제,안양시민축제,40,문화축제
32451,2023-01,992,2015 안양 시민축제,안양시민축제,40,문화축제
32452,2023-01,396,2016 대가야체험축제,대가야체험축제,60,문화축제
32453,2023-01,945,2016 대구약령시한방문화축제,대구약령시한방문화축제,35,문화축제
32454,2023-01,994,2016 안양 시민축제,안양시민축제,40,문화축제
32455,2023-01,996,2016 제5회 안양공공예술프로젝트,안양공공예술프로젝트,40,문화축제
32456,2023-01,819,2016 평생학습 박람회 & 제6회 도서관책문화축제,평생학습박람회,60,문화축제
32457,2023-01,283,2017 겨울공주군밤축제,겨울공주군밤축제,27360,문화축제
32458,2023-01,952,2017 대구약령시한방문화축제,대구약령시한방문화축제,35,문화축제
32459,2023-01,627,2017 물의나라화천 쪽배축제,물의나라화천쪽배축제,30,문화축제
32460,2023-01,1001,2017 안양 시민축제,안양시민축제,40,문화축제
32461,2023-01,998,2017 안양충훈벚꽃축제,안양충훈벚꽃축제,15,문화축제
32462,2023-01,628,2017 얼음나라화천 산천어축제,얼음나라화천산천어축제,243300,문화축제
32463,2023-01,4,2017 영동곶감축제,영동곶감축제,28550,문화축제
32464,2023-01,385,2017 음식 문화축제,음식문화축제,13,문화축제
32465,2023-01,289,2018 계룡산벚꽃축제,계룡산벚꽃축제,20,문화축제
32466,2023-01,287,2018 계룡산산신제,계룡산산신제,23,문화축제
32467,2023-01,286,2018 공주 석장리 세계구석기축제,공주석장리세계구석기축제,60,문화축제
32468,2023-01,962,2018 대구약령시한방문화축제,대구약령시한방문화축제,35,문화축제
32469,2023-01,1123,2018 무안황토갯벌축제,무안황토갯벌축제,30,문화축제
32470,2023-01,799,2018 안산 김홍도축제,안산김홍도축제,19,문화축제
32471,2023-01,1005,2018 안양 시민축제,안양시민축제,40,문화축제
32472,2023-01,1002,2018 안양충훈벚꽃축제,안양충훈벚꽃축제,15,문화축제
32473,2023-01,386,2018 음식 문화축제,음식문화축제,13,문화축제
32474,2023-01,501,2018 전주비빔밥축제,전주비빔밥축제,210,문화축제
32475,2023-01,1056,2018 정선고드름축제,정선고드름축제,380,문화축제
32476,2023-01,444,2018 종로한복축제,종로한복축제,120,문화축제
32477,2023-01,1094,2019 강남페스티벌,강남페스티벌,90,문화축제
32478,2023-01,298,2019 계룡산벚꽃축제,계룡산벚꽃축제,20,문화축제
32479,2023-01,296,2019 계룡산산신제,계룡산산신제,23,문화축제
32480,2023-01,609,2019 고양가을꽃축제,고양가을꽃축제,40,문화축제
32481,2023-01,597,2019 고양국제꽃박람회,고양국제꽃박람회,1090,문화축제
32482,2023-01,602,2019 고양행주문화제,고양행주문화제,40,문화축제
32483,2023-01,610,2019 고양호수예술축제,고양호수예술축제,66,문화축제
32484,2023-01,295,2019 공주 석장리 구석기축제,공주석장리구석기축제,12,문화축제
32485,2023-01,863,2019 곶자왈 반딧불이 축제,곶자왈반딧불이축제,27,문화축제
32486,2023-01,306,2019 군포철쭉축제,군포철쭉축제,90,문화축제
32487,2023-01,223,2019 금정산성축제,금정산성축제,17,문화축제
32488,2023-01,975,2019 대구약령시한방문화축제,대구약령시한방문화축제,35,문화축제
32489,2023-01,873,2019 대전 서구힐링 아트페스티벌,대전서구힐링아트페스티벌,50,문화축제
32490,2023-01,836,2019 대한민국 국향대전,대한민국국향대전,17,문화축제
32491,2023-01,150,2019 보정역생활문화센터 <청춘파티  - 특별프로그램>,보정역생활문화센터,110,문화축제
32492,2023-01,889,2019 부평풍물대축제,부평풍물대축제,140,문화축제
32493,2023-01,382,2019 수원연극축제,수원연극축제,510,문화축제
32494,2023-01,365,2019 순천 푸드앤아트 페스티벌,순천푸드앤아트페스티벌,90,문화축제
32699,2023-01,410,양양문화제,양양문화제,17,문화축제
32495,2023-01,1057,2019 안성맞춤 남사당 바우덕이축제,안성맞춤남사당바우덕이축제,28,문화축제
32496,2023-01,980,2019 여주오곡나루축제(취소),여주오곡나루축제,110,문화축제
32497,2023-01,387,2019 음식 문화축제,음식문화축제,13,문화축제
32498,2023-01,54,2019 정읍벚꽃축제,정읍벚꽃축제,70,문화축제
32499,2023-01,462,2019 제8회 서울동화축제,서울동화축제,20,문화축제
32500,2023-01,864,2019 제주 메밀축제,제주메밀축제,13,문화축제
32501,2023-01,664,2019 제주들불축제,제주들불축제,5910,문화축제
32502,2023-01,665,2019 제주왕벚꽃축제,제주왕벚꽃축제,260,문화축제
32503,2023-01,252,2019 중딩영화제,중딩영화제,14,문화축제
32504,2023-01,400,2019 진안홍삼축제,진안홍삼축제,120,문화축제
32505,2023-01,292,2019겨울공주군밤축제,겨울공주군밤축제,27360,문화축제
32506,2023-01,189,2019계룡세계軍문화축제,계룡세계군문화축제,15,문화축제
32507,2023-01,513,2019년 울산 마두희 축제,울산마두희축제,40,문화축제
32508,2023-01,506,2019년 제15회 해운대모래축제,해운대모래축제,760,문화축제
32509,2023-01,487,2019청도반시축제,청도반시축제,70,문화축제
