LCLAS_NM,MLSFC_NM,SIGNGU_NM,AREA_POPLTN_STDIZ_FCLTY_SCORE
문화예술,공연시설,강원도 홍천군,9.60037
문화예술,공연시설,강원도 횡성군,11.29182
문화예술,공연시설,강원도 영월군,48.35171
문화예술,공연시설,강원도 평창군,31.16729
문화예술,공연시설,강원도 정선군,32.74491
문화예술,공연시설,강원도 철원군,1.18655
문화예술,공연시설,강원도 화천군,31.6307
문화예술,공연시설,강원도 양구군,34.63658
문화예술,공연시설,강원도 인제군,37.66795
문화예술,공연시설,강원도 고성군,12.06884
문화예술,공연시설,강원도 양양군,11.80338
문화예술,공연시설,충청북도 청주시,8.07769
문화예술,공연시설,충청북도 충주시,24.11755
문화예술,공연시설,충청북도 제천시,5.29737
문화예술,공연시설,충청북도 보은군,27.74304
문화예술,공연시설,충청북도 옥천군,2.32634
문화예술,공연시설,충청북도 영동군,13.21876
문화예술,공연시설,충청북도 증평군,19.69466
문화예술,공연시설,충청북도 진천군,2.73834
문화예술,공연시설,충청북도 괴산군,5.09177
문화예술,공연시설,충청북도 음성군,6.9775
문화예술,공연시설,충청북도 단양군,26.57512
문화예술,공연시설,충청남도 천안시,3.40878
문화예술,공연시설,충청남도 공주시,21.50234
문화예술,공연시설,충청남도 보령시,7.992
문화예술,공연시설,충청남도 아산시,3.03714
문화예술,공연시설,충청남도 서산시,8.84624
문화예술,공연시설,충청남도 논산시,18.94095
문화예술,공연시설,충청남도 계룡시,2.63861
문화예술,공연시설,충청남도 당진시,10.10615
문화예술,공연시설,충청남도 금산군,9.09833
문화예술,공연시설,충청남도 부여군,30.18583
문화예술,공연시설,충청남도 서천군,55.50448
문화예술,공연시설,충청남도 청양군,26.59767
문화예술,공연시설,충청남도 홍성군,14.86401
문화예술,공연시설,충청남도 예산군,24.23545
문화예술,공연시설,충청남도 태안군,28.4664
문화예술,공연시설,전라북도 전주시,15.05729
문화예술,공연시설,전라북도 군산시,7.10448
문화예술,공연시설,전라북도 익산시,9.2858
문화예술,공연시설,전라북도 정읍시,22.92445
문화예술,공연시설,전라북도 남원시,45.91785
문화예술,공연시설,전라북도 김제시,17.14578
문화예술,공연시설,전라북도 완주군,21.69794
문화예술,공연시설,전라북도 진안군,43.99512
문화예술,공연시설,전라북도 무주군,100
문화예술,공연시설,전라북도 장수군,82.63237
문화예술,공연시설,전라북도 임실군,58.71286
문화예술,공연시설,전라북도 순창군,70.97931
문화예술,공연시설,전라북도 고창군,42.54918
문화예술,공연시설,전라북도 부안군,49.91682
문화예술,공연시설,전라남도 목포시,12.76939
문화예술,공연시설,전라남도 여수시,17.68223
문화예술,공연시설,전라남도 순천시,15.957
문화예술,공연시설,전라남도 나주시,39.95785
문화예술,공연시설,전라남도 광양시,8.9799
문화예술,공연시설,전라남도 담양군,84.41551
문화예술,공연시설,전라남도 곡성군,37.35589
문화예술,공연시설,전라남도 구례군,85.27381
문화예술,공연시설,전라남도 고흥군,31.51636
문화예술,공연시설,전라남도 보성군,22.60574
문화예술,공연시설,전라남도 화순군,22.65084
문화예술,공연시설,전라남도 장흥군,14.86877
문화예술,공연시설,전라남도 강진군,50.93394
문화예술,공연시설,전라남도 해남군,40.98829
문화예술,공연시설,전라남도 영암군,76.32518
문화예술,공연시설,전라남도 무안군,16.87516
문화예술,공연시설,전라남도 함평군,21.71471
문화예술,공연시설,전라남도 영광군,23.07812
문화예술,공연시설,전라남도 장성군,29.58856
문화예술,공연시설,전라남도 완도군,22.48569
문화예술,공연시설,전라남도 진도군,80.42139
문화예술,공연시설,전라남도 신안군,55.38579
문화예술,공연시설,경상북도 포항시,3.82793
문화예술,공연시설,경상북도 경주시,19.78048
문화예술,공연시설,경상북도 김천시,2.01962
문화예술,공연시설,경상북도 안동시,31.75537
문화예술,공연시설,경상북도 구미시,3.0808
문화예술,공연시설,경상북도 영주시,11.75102
문화예술,공연시설,경상북도 영천시,12.38444
문화예술,공연시설,경상북도 상주시,15.38728
문화예술,공연시설,경상북도 문경시,24.75569
문화예술,공연시설,경상북도 경산시,2.88318
문화예술,공연시설,경상북도 군위군,43.37775
문화예술,공연시설,경상북도 의성군,9.08049
문화예술,공연시설,경상북도 청송군,61.2943
문화예술,공연시설,경상북도 영양군,100
문화예술,공연시설,경상북도 영덕군,27.11268
문화예술,공연시설,경상북도 청도군,40.52091
문화예술,공연시설,경상북도 고령군,51.22133
문화예술,공연시설,경상북도 성주군,9.18112
문화예술,공연시설,경상북도 칠곡군,5.63285
문화예술,공연시설,경상북도 예천군,20.3557
문화예술,공연시설,경상북도 봉화군,40.28055
문화예술,공연시설,경상북도 울진군,12.61701
문화예술,공연시설,경상북도 울릉군,29.88006
문화예술,공연시설,경상남도 창원시,5.11177
문화예술,공연시설,경상남도 진주시,10.67629
