LCLAS_NM,MLSFC_NM,SIGNGU_NM,AREA_ARBY_STDIZ_FCLTY_SCORE
문화예술,공연시설,강원도 홍천군,0.04418
문화예술,공연시설,강원도 횡성군,0.06969
문화예술,공연시설,강원도 영월군,0.23066
문화예술,공연시설,강원도 평창군,0.11983
문화예술,공연시설,강원도 정선군,0.12952
문화예술,공연시설,강원도 철원군,0
문화예술,공연시설,강원도 화천군,0.11096
문화예술,공연시설,강원도 양구군,0.15664
문화예술,공연시설,강원도 인제군,0.09916
문화예술,공연시설,강원도 고성군,0.06504
문화예술,공연시설,강원도 양양군,0.06878
문화예술,공연시설,충청북도 청주시,1.26124
문화예술,공연시설,충청북도 충주시,0.95926
문화예술,공연시설,충청북도 제천시,0.17887
문화예술,공연시설,충청북도 보은군,0.14415
문화예술,공연시설,충청북도 옥천군,0.02627
문화예술,공연시설,충청북도 영동군,0.16406
문화예술,공연시설,충청북도 증평군,0.11455
문화예술,공연시설,충청북도 진천군,0.48272
문화예술,공연시설,충청북도 괴산군,0.06301
문화예술,공연시설,충청북도 음성군,0.09611
문화예술,공연시설,충청북도 단양군,0.10167
문화예술,공연시설,충청남도 천안시,0.57661
문화예술,공연시설,충청남도 공주시,0.37458
문화예술,공연시설,충청남도 보령시,0.19027
문화예술,공연시설,충청남도 아산시,0.30544
문화예술,공연시설,충청남도 서산시,0.29055
문화예술,공연시설,충청남도 논산시,0.5716
문화예술,공연시설,충청남도 계룡시,0.32165
문화예술,공연시설,충청남도 당진시,0.35914
문화예술,공연시설,충청남도 금산군,0.11141
문화예술,공연시설,충청남도 부여군,0.44184
문화예술,공연시설,충청남도 서천군,1.11897
문화예술,공연시설,충청남도 청양군,0.24153
문화예술,공연시설,충청남도 홍성군,0.48981
문화예술,공연시설,충청남도 예산군,0.51056
문화예술,공연시설,충청남도 태안군,0.26627
문화예술,공연시설,전라북도 전주시,7.25497
문화예술,공연시설,전라북도 군산시,0.63062
문화예술,공연시설,전라북도 익산시,0.76629
문화예술,공연시설,전라북도 정읍시,0.51387
문화예술,공연시설,전라북도 남원시,0.70027
문화예술,공연시설,전라북도 김제시,0.3781
문화예술,공연시설,전라북도 완주군,0.35784
문화예술,공연시설,전라북도 진안군,0.1936
문화예술,공연시설,전라북도 무주군,1.20477
문화예술,공연시설,전라북도 장수군,0.48111
문화예술,공연시설,전라북도 임실군,0.37812
문화예술,공연시설,전라북도 순창군,0.55959
문화예술,공연시설,전라북도 고창군,0.53745
문화예술,공연시설,전라북도 부안군,0.74615
문화예술,공연시설,전라남도 목포시,3.76261
문화예술,공연시설,전라남도 여수시,0.70806
문화예술,공연시설,전라남도 순천시,0.71212
문화예술,공연시설,전라남도 나주시,1.13473
문화예술,공연시설,전라남도 광양시,0.41518
문화예술,공연시설,전라남도 담양군,1.2549
문화예술,공연시설,전라남도 곡성군,0.2651
문화예술,공연시설,전라남도 구례군,0.69575
문화예술,공연시설,전라남도 고흥군,0.23075
문화예술,공연시설,전라남도 보성군,0.16528
문화예술,공연시설,전라남도 화순군,0.25841
문화예술,공연시설,전라남도 장흥군,0.11236
문화예술,공연시설,전라남도 강진군,0.4373
문화예술,공연시설,전라남도 해남군,0.37543
문화예술,공연시설,전라남도 영암군,0.93406
문화예술,공연시설,전라남도 무안군,0.46783
문화예술,공연시설,전라남도 함평군,0.22587
문화예술,공연시설,전라남도 영광군,0.31667
문화예술,공연시설,전라남도 장성군,0.35898
문화예술,공연시설,전라남도 완도군,0.1384
문화예술,공연시설,전라남도 진도군,0.34439
문화예술,공연시설,전라남도 신안군,0.2683
문화예술,공연시설,경상북도 포항시,0.24445
문화예술,공연시설,경상북도 경주시,0.5532
문화예술,공연시설,경상북도 김천시,0.03872
문화예술,공연시설,경상북도 안동시,0.47373
문화예술,공연시설,경상북도 구미시,0.33348
문화예술,공연시설,경상북도 영주시,0.26065
문화예술,공연시설,경상북도 영천시,0.1974
문화예술,공연시설,경상북도 상주시,0.16585
문화예술,공연시설,경상북도 문경시,0.27678
문화예술,공연시설,경상북도 경산시,0.30776
문화예술,공연시설,경상북도 군위군,0.23551
문화예술,공연시설,경상북도 의성군,0.04881
문화예술,공연시설,경상북도 청송군,0.25116
문화예술,공연시설,경상북도 영양군,0.39787
문화예술,공연시설,경상북도 영덕군,0.17939
문화예술,공연시설,경상북도 청도군,0.35143
문화예술,공연시설,경상북도 고령군,0.59398
문화예술,공연시설,경상북도 성주군,0.08706
문화예술,공연시설,경상북도 칠곡군,0.21277
문화예술,공연시설,경상북도 예천군,0.24871
문화예술,공연시설,경상북도 봉화군,0.14013
문화예술,공연시설,경상북도 울진군,0.0806
문화예술,공연시설,경상북도 울릉군,0.54238
문화예술,공연시설,경상남도 창원시,0.85398
문화예술,공연시설,경상남도 진주시,0.78271
문화예술,공연시설,경상남도 통영시,0.41737
문화예술,공연시설,경상남도 사천시,0.27904
