"통계분류(1)",통계분류(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,쇼핑/외식,인터넷검색,미용,음주,게임,등산,독서,노래방가기,원예,요리하기,만화보기,반려동물 돌보기,낚시,보드게임/퍼즐/큐브 맞추기,어학/기술/자격증 취득공부,겜블,인테리어,홈페이지/블로그관리,테마카페체험,생활공예,바둑/장기/체스,수집활동
"종사자지위별",고용원이 없는 자영업자,1557,77.8,47.7,45.8,51.2,17.4,29.2,10.8,10.2,17.4,11.8,4.4,11.1,7,3.2,2.4,5,4.3,2,1.2,2.1,3.5,1
"종사자지위별",무급가족종사자,188,82.5,39,58.9,27.2,13.7,16,10.9,5.3,22.9,20.9,4.7,12.3,2.9,4.5,0.9,5.4,2,0.9,0.8,2.8,0.7,0.9
"종사자지위별",기타종사자,53,76.6,49.5,50.7,53,23.9,34.1,22.5,19.7,5.6,9,7.9,6,12.4,3.7,3.8,8.6,4.1,5.8,2.5,3.2,2.2,-
"종사자지위별",해당없음(무직),3757,71.2,44.7,43.2,29.8,25.8,18.1,20.3,18.4,19,15.7,16.3,11.5,3.7,7.6,7.4,3.7,3.7,3.1,3.8,4.1,3.2,1.7
"가구소득별",100만원 미만,1098,60.2,18,39.3,27.1,10.3,13,8.8,7.3,24.8,13.9,5,7.9,2.8,1.9,1.4,3.4,2.3,0.9,0.8,1.4,3.5,0.4
"가구소득별",100~200만원,824,72.9,23.9,40.1,34.8,8.1,20,9.3,6.1,26.8,13.2,3.8,10,3.7,1.6,2,5,2.1,0.7,1,1.7,3.8,1.3
"가구소득별",200~300만원,1357,73.8,40.4,45.7,42,20.6,27.5,12.6,12.9,21.7,15.3,8.4,12.3,7.5,3.7,2.7,4,2.6,1.6,2.5,1.6,3.7,0.9
"가구소득별",300~400만원,1764,75.8,44.8,42.8,42.7,24.7,25.1,16.7,13.7,15.4,14.6,12.9,10.2,8.8,5.4,3.9,4.3,4.1,2.1,2.5,3.2,2.9,1.6
"가구소득별",400~500만원,1797,74.8,54.3,46.6,43,31.3,26.1,18.4,20.2,14.7,15.4,15.7,12.4,6.5,6.2,6,4.8,5.2,3.2,3.6,3.3,2.5,1.9
"가구소득별",500~600만원,1532,75.5,56.1,43.1,45.2,33.5,24.9,21.2,22.2,11.9,13.6,18.2,13,7.8,7.1,6.5,5,4.7,4.1,3.2,2.8,2.2,1.2
"가구소득별",600만원 이상,1674,74.7,57.1,42.4,47.8,27.2,27.4,21.8,19.8,11.8,13.8,14.7,12.9,7.8,8.4,8.4,4.9,5.7,5.8,4.7,4.2,3.2,1.6
"지역규모별",대도시,4331,75.1,51.6,42.1,42.5,26.2,26.2,18.7,18.8,12.8,14.2,12.2,11.4,6.5,6.6,6.2,3.9,3.5,4.1,2.6,2.9,2.9,1.4
"지역규모별",중소도시,3459,69.9,47.4,40.7,41.6,28.8,24,18.7,17.8,15,14.2,16.4,11.6,8,6.5,5.5,5,5.4,3,4.3,3,2.9,1.5
"지역규모별",읍면지역,2256,79.9,40.7,52.4,46.1,18.4,23.9,12.6,10.7,24.6,15.1,8.9,13,6.5,3.1,3.2,5.4,4.3,2,1.6,3.2,3.2,1.3
"권역별",수도권,3107,64.6,42.4,32.4,35.5,22.4,19.8,14.1,13.4,11.1,10.7,10.3,9.9,5.4,4.8,4.7,2.9,3.5,2.8,3,2.1,2.5,1.1
"권역별",강원/제주권,772,78.5,45.8,59.6,42.3,21.5,24.1,22.8,18.2,27.9,13.4,17.3,12.3,5.7,7,4.9,14.3,4.1,2.1,3.5,4.3,3.8,0.9
"권역별",충청/세종권,1721,87,48.1,64,55.8,36.1,35.6,13.4,28.1,29.6,22.8,20.1,20.8,10.9,4.4,6.3,3.3,7.5,2.4,3.8,3.7,3.2,1.2
"권역별",호남권,1485,76.7,36.4,43.4,41,24.3,25.4,24.1,14.6,20.1,20.5,15.3,10.6,8.4,8.1,7.7,4.8,2.8,3.7,3.4,4,4.2,1.3
"권역별",대경권,1200,87.6,63.4,52.5,57.9,33.3,34,20.3,17.1,18.3,16,17.5,11.1,8.2,7.9,4.8,7,7.5,2.8,2.9,4.3,3.3,3.6
"권역별",동남권,1761,84.1,64.6,55.3,49.4,26.8,28.6,25,21.7,14.1,15.5,13,12.7,9,7.9,6,6.6,4.4,5.9,2.8,3.6,2.9,1.5
"17개 시도별",서울,1164,66.6,45.3,31.7,36.9,21.5,21.9,16.2,16.7,10.7,12.3,9.4,9.7,4.6,5.4,6.5,4.7,3.7,3,2.6,2.6,2.8,1.4
"17개 시도별",부산,690,82,67.4,59.7,52.6,28,29.4,26.7,24.8,14.5,19.9,10,10.4,7.2,8.7,5.9,3.8,5.1,7.7,2.5,3.6,3.4,1.4
"17개 시도별",대구,580,86.9,61.8,49.6,50.2,35.6,37.4,19.6,18.7,14.7,13.3,17.5,10.8,6.8,8.8,5.3,5.5,3.5,4.9,2.6,3.4,2.1,2.2
"17개 시도별",인천,617,69.7,27,30.8,30.6,21.4,20.6,14.7,10.8,9.9,6.2,11.4,14,7.3,5.3,3.1,2.4,1.5,1.3,2.1,1.8,2.9,1
"17개 시도별",광주,447,76.9,52.4,38.3,45.2,24.1,25.5,23.8,20.5,14.2,20.6,17.4,12.6,9.7,8.6,8.7,1.9,3.3,3.8,5.9,4.1,3,1.4
"17개 시도별",대전,460,93.4,72,69.5,56.2,40,33,11.8,26.2,23.6,16.2,20.5,16.7,9.2,4,5.8,2.4,0.5,3.6,0.5,3.7,2.7,1.2
"17개 시도별",울산,393,81.9,61.9,59.8,53.3,29,32.2,23.8,19,10.7,16.6,11.8,10.7,8.2,7.1,8.4,2.4,4.7,7.9,2.9,2.1,2.7,0.9
"17개 시도별",세종,221,93.1,71.2,61.6,57.9,43,37.5,17.3,37.9,23.5,20.2,24.9,20.8,16.1,8.3,7,3.5,5,3.4,2.4,3.6,3.7,1.1
"17개 시도별",경기,1326,62,43.7,33.2,35.6,23.4,18,12.5,11.6,11.6,10.6,10.7,9.1,5.5,4.2,3.8,1.8,3.7,2.9,3.5,1.8,2.2,0.9
"17개 시도별",강원,472,70.2,28.8,46.4,35.6,18.5,18.2,12,14.4,19.6,10.6,12.8,9.4,4.6,4.9,5,3.5,3.3,2.4,3.7,3.4,3.7,1.3
"17개 시도별",충북,482,87.1,41.5,69.6,52.4,34.2,39.9,14,31.1,33.4,22.5,26.3,15.9,12.6,2.9,6.7,2.3,10.3,2.6,2.6,4.2,3,1.9
"17개 시도별",충남,558,81.8,33.2,56.4,57.8,33.9,33.9,13.4,25.7,31.8,27.8,14.4,27.3,10,5.1,6.3,4.6,10.5,1.3,7.1,3.5,3.7,0.7
"17개 시도별",전북,523,64.2,29.2,32.2,29.9,19.6,14,21.2,13.9,9.9,11.6,13.7,10.3,5.8,9.9,9.3,2.8,3.9,5.5,3.2,4.9,3,1.4
"17개 시도별",전남,515,89.2,30.5,58.8,48.7,29.3,36.7,27.2,10.6,35,29.5,15.4,9.4,9.9,6.1,5.3,9,1.2,1.8,1.6,3.1,6.2,1
"17개 시도별",경북,620,88.2,64.8,55.1,64.7,31.2,31,20.9,15.7,21.5,18.5,17.5,11.4,9.4,7,4.5,8.5,11.1,0.9,3.1,5.1,4.3,4.9
"17개 시도별",경남,678,87,62.7,49.4,44.8,24.8,26.6,23.8,19.3,14.7,10.6,16.4,15.8,11.2,7.4,5.3,11,3.5,3.4,3.2,4.1,2.4,1.8
"17개 시도별",제주,300,97.9,85.6,90.7,58.1,28.6,38.1,48.1,27,47.3,20,28.1,19.2,8.6,12.1,4.4,39.8,5.8,1.5,2.8,6.4,3.9,-
"장애여부별",장애등록,151,74.7,29.5,39.4,31.8,6.3,15.9,12.2,9.7,20.6,10,4.6,11.3,4.4,0.2,2.2,3.8,0.9,0.5,0.8,2,3.7,-
"장애여부별",미등록,58,22.8,8.1,14.2,12.6,4.4,6,2.9,6.9,6,6.8,1.4,10.6,6,-,-,2,-,-,-,-,1.7,-
"장애여부별",해당사항없음,9837,74.3,48.5,43.7,43.1,26.2,25.2,17.8,17.1,15.8,14.4,13.5,11.8,7.2,6,5.5,4.6,4.5,3.3,3.2,3,2.9,1.5
"근무 형태",전일제,4189,76.2,53.6,43.8,52.7,29,30.7,17.3,18,12.6,13.5,13.3,12.1,9.9,4.8,4.4,5.4,5.1,3.3,2.4,2.4,2.4,1.5
"근무 형태",교대제,287,74.2,51.6,41.8,50,29,31.7,19,16.5,13.1,12,14.3,14.8,12.3,5.6,3.7,5.6,3.2,1.9,2.7,2.7,4.5,1.3
"근무 형태",시간 선택제,394,79.2,42.9,45.9,41.4,23.9,22.6,23.2,20,23.3,19.5,16.2,14.9,4.6,10.7,8.5,3.8,4.6,7.9,4.8,5.5,3.2,1.9
"근무 형태",해당 없음,1419,72.7,40,42.6,45.2,16.2,24.3,10.1,9.2,16,12.5,4.6,10.2,7,3.9,2.7,4.7,4.1,2.4,3,1.4,3.3,0.7
"유연 근무제 여부",시행,528,72.7,45.9,39.8,48.3,29.3,29.8,23,18.5,11.2,17.1,11.9,14.1,8.5,7.2,8.9,5.2,7.4,4.4,3,3.4,3.7,1.6
"유연 근무제 여부",미시행,2959,74.2,53.2,40.9,51,27.6,28.4,18.6,16.3,12.1,13.3,12.3,12.1,9.9,5.8,4,5.4,4.5,3.6,2.8,2.4,2.7,1.5
"유연 근무제 여부",해당 없음,2802,77.6,46.6,47.4,49.7,22.9,29,11.6,15.2,16.8,13.1,10.5,11.4,8.1,3.5,3.5,4.8,4.4,2.8,2.5,2.1,2.6,1
