"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),사진촬영,악기연주/노래교실,미술활동,글짓기/독서토론,문학행사참여,춤/무용,전통예술배우기,표본수,사진촬영,악기연주/노래교실,미술활동,글짓기/독서토론,문학행사참여,춤/무용,전통예술배우기,표본수,사진촬영,악기연주/노래교실,미술활동,글짓기/독서토론,문학행사참여,춤/무용,전통예술배우기,표본수,사진촬영,악기연주/노래교실,미술활동,글짓기/독서토론,문학행사참여,춤/무용,전통예술배우기,표본수,사진촬영,악기연주/노래교실,미술활동,글짓기/독서토론,문학행사참여,춤/무용,전통예술배우기,표본수,사진촬영,악기연주/노래교실,미술활동,글짓기/독서토론,문학행사참여,춤/무용,전통예술배우기
"학력별",고졸,15.7,6.2,2.6,1.8,2.8,0.6,1.4,4491,21.9,6.8,3.4,1.6,2.6,1.7,1.6,3940,21.1,6,4,1.2,1.8,2,1.1,4039,13.9,4.1,2.8,1.1,0.9,1.2,0.6,3927,8.4,3,1.8,0.9,0.6,0.5,0.2,3790,12.2,2.9,2.5,0.9,1.1,1.1,0.4
"학력별",대졸이상,20.8,5.2,3.6,1.7,3.9,0.9,1.1,3632,27.6,8,5.5,1.7,3.4,3.4,1.8,3805,25.8,5.7,6,2,2.5,2.4,1.4,3881,19.4,4.8,4.6,2.4,1.7,1.7,0.8,3841,11.8,2.8,3.2,1.5,0.8,0.9,0.5,3974,16.3,3.4,4.1,1.6,2,1.3,0.6
"동거가구원수별",1인,9.2,7,2.7,1.2,1.4,1.3,1.3,2264,15.7,8.1,3.6,0.8,1.6,1.3,2.1,1692,17.8,5.6,3.7,0.6,0.9,1.9,0.6,1902,10,5.1,1.9,0.4,1,1.5,0.9,2022,7.5,2.8,2.8,1.1,0.2,0.6,0.4,1799,11.9,3.4,2.3,1.1,1,0.7,0.3
"동거가구원수별",2인,9.9,8.1,3.4,1.4,1.8,0.6,1.4,2171,15.8,10,4.4,2,2.9,1.1,3.3,2766,16.8,6.3,2.7,0.8,1.6,1.7,0.9,2581,10.1,5.5,2.3,1,0.6,1,1.1,2786,6.5,2.7,2.2,0.9,0.6,0.7,0.5,3059,9.5,3.8,2.3,0.9,1.3,0.8,0.6
"동거가구원수별",3인이상,18.1,6.3,3.4,2.7,3.5,0.8,1.2,6063,24.5,7.9,5.1,2.7,3.4,3.1,1.4,5602,25.3,6.4,6.4,2.6,2.5,2.5,1.4,5605,16.9,4.5,4.4,2.4,1.4,1.7,0.7,5241,10.1,3.3,2.7,1.5,0.8,0.7,0.3,5188,14.4,3.5,4,1.7,1.6,1.4,0.5
"혼인상태별",미혼,24.7,8,4.9,5.6,4.4,1.3,1,2925,32.3,8.5,6.6,5,4,4.3,1.2,2901,32.6,6.3,7.4,3.9,2.6,3.7,0.7,3041,21.4,6.2,6.6,3.3,1.4,2.6,0.6,2959,12.5,4.3,4.4,1.8,0.9,1.2,0.3,2704,20.6,5,6,2.8,2,2.1,0.4
"혼인상태별",기혼,14.1,6,2.7,1.2,2.7,0.5,1.3,6121,19.7,8.1,4.3,1.3,2.9,2.1,2,5965,19.2,5.9,4.5,1.4,2.1,1.6,1.4,5713,13.4,4.2,2.8,1.6,1.2,1,0.8,5702,7.8,2.6,1.8,1.1,0.6,0.6,0.4,6093,10.6,2.9,2.5,1,1.3,0.9,0.6
"혼인상태별",사별/이혼/기타,3.3,7.8,3.2,1.8,1.6,1.2,1.8,1452,8.3,9.1,3.5,2.3,2,0.7,2.7,1194,14.5,8.9,4.1,0.6,0.8,2.3,0.9,1334,6.2,4.6,2.1,0.2,0.8,1.5,0.9,1388,3.4,2.2,1.7,0.6,0.1,0.4,0.6,1249,5.1,3.4,2.1,0.7,0.7,0.5,0.1
"가구주여부별",가구주,13.9,4.1,2.3,1.3,2.6,0.5,1.2,5482,19.3,6.3,3.6,0.9,2.4,1,1.6,6563,19.7,6,4.1,1.2,1.8,1.7,0.8,5073,12.9,3.8,2.1,1,1.1,0.8,0.7,5133,7.3,2.4,1.7,0.9,0.5,0.4,0.4,5163,10.7,2.4,1.9,0.8,1.3,0.5,0.4
"가구주여부별",가구주 아님,18.1,8.5,4.1,3.2,3.5,1,1.3,5016,24.5,9.9,5.8,3.6,3.6,3.8,2,3497,26,6.6,6.7,2.9,2.5,2.9,1.6,5015,16.3,5.6,5.1,2.6,1.3,2,0.8,4916,10.1,3.7,3.4,1.5,0.8,1,0.4,4883,14.8,4.4,4.7,2,1.6,1.7,0.6
