"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),휴식활동,취미오락활동,스포츠참여활동,사회및 기타활동,관광활동,스포츠관람활동,문화예술관람활동,문화예술참여활동,표본수,휴식활동,취미오락활동,스포츠참여활동,사회및 기타활동,관광활동,스포츠관람활동,문화예술관람활동,문화예술참여활동,표본수,휴식활동,취미오락활동,스포츠참여활동,사회및 기타활동,관광활동,스포츠관람활동,문화예술관람활동,문화예술참여활동,표본수,휴식활동,취미오락활동,스포츠참여활동,사회및 기타활동,관광활동,스포츠관람활동,문화예술관람활동,문화예술참여활동,표본수,휴식활동,취미오락활동,스포츠참여활동,사회및 기타활동,관광활동,스포츠관람활동,문화예술관람활동,문화예술참여활동,표본수,휴식활동,취미오락활동,스포츠참여활동,사회및 기타활동,관광활동,스포츠관람활동,문화예술관람활동,문화예술참여활동,표본수,휴식활동,취미오락활동,스포츠참여활동,사회및 기타활동,관광활동,스포츠관람활동,문화예술관람활동,문화예술참여활동
"연령별",60대,85.1,3.7,4.2,3.8,0.9,0.7,0.5,1.2,1336,78.4,6.8,8.7,2.6,0.3,1.5,0.2,1.4,1422,76.1,9,7,4.4,0.4,0.6,0.4,2.2,1324,75.8,11.3,4.3,5.6,0.3,1.4,0.2,1.1,1377,71.6,10.8,9.4,4.1,0.9,1.2,0.9,1.1,1477,76.5,10.1,4.9,4.3,1.2,1.6,1.1,0.3,1707,69.8,11.9,8,3.7,2,2.5,0.7,1.3
"연령별",70세이상,86.1,4.5,3.3,4.2,0.2,0.6,0.2,0.9,1309,84.4,5,3.9,4.7,0.2,0.2,0.2,1.4,1357,81.5,7.8,2.1,5.1,0.2,1.1,0.6,1.6,1202,81.1,9.8,2.8,4.6,0.2,0.5,-,1,1166,79.5,7.6,6.6,3.5,0.6,0.5,0.5,1.1,1298,85.1,5.3,3.8,3.5,1,0.6,0.3,0.4,1500,79.6,9.2,3,4.3,2.1,0.6,0.7,0.6
"학력별",초졸 이하,74.9,14.2,2.5,5.8,0.2,0.8,0.4,1.1,1248,76.8,13.4,3.3,5.5,0,0.3,0.1,0.7,923,77.3,12.5,2.3,5.7,0.2,0.2,-,1.8,1151,79.4,12.5,1.5,5.9,0.2,0.2,0,0.3,1101,78.2,10.8,5,3.4,0.3,0.6,0.8,0.8,1139,83.7,8,3.2,3.3,0.6,0.4,0.5,0.2,1146,80,10.2,2.6,3.7,0.7,1.1,0.7,0.9
"학력별",중졸,62.9,23.5,4.3,6.4,0.7,0.7,0.8,0.6,1471,64.4,23.6,4.7,5.4,0.3,0.6,0.2,0.9,1452,59.9,25.7,3.9,6.8,0.2,0.8,0.4,2.3,1164,61.7,23.6,5.2,7.1,0.3,1.7,0.2,0.2,1067,61.8,21.3,7.3,4.9,0.6,0.8,2.3,1,1142,68.7,16.7,3.8,6.8,1.2,1.9,0.4,0.4,1136,64.6,20.2,3.6,6.3,1.7,1.3,0.7,1.6
"학력별",고졸,64.9,20.3,6.2,4.6,0.4,1.5,1.3,0.6,4183,56.4,26,8.9,4.7,0.2,2,0.8,1.1,4491,58.8,25.3,6.2,6.7,0.5,1.1,1,0.5,3940,58.3,25.7,4.8,7,0.6,2.2,0.4,1.1,4039,56,23.6,9.7,5.1,1.1,1.7,2.1,0.8,3927,62.1,22.3,5.5,5.3,1.3,1.5,1.2,0.7,3790,57.4,21.2,7.9,6.2,2.3,2.1,2.2,0.6
"학력별",대졸이상,55.7,23,11.3,4.8,1,2.1,1.5,0.5,3700,49.8,29.5,10.9,4.4,1.1,2.4,1.2,0.7,3632,43.8,33.1,11.4,6.5,0.6,2.5,1.6,0.5,3805,49,32.5,7.2,7.2,0.4,1.8,0.6,1.2,3881,46.3,27.2,12.3,4.6,1.7,2.8,3.9,1.2,3841,53.5,24.9,9.1,5.3,1.6,2.2,2.7,0.8,3974,46.6,25.4,11.4,5.8,3.4,2.9,2.9,1.6
"동거가구원수별",1인,65.4,19.4,5.9,5.9,0.4,1.2,1.7,0.2,1178,69.8,17,5.7,3.8,0.2,1.4,0.7,1.5,2264,62.2,22.2,5.9,6.2,0.3,1.5,0.8,0.9,1692,64.3,23.1,4.5,6,0.3,1.2,0.1,0.5,1902,66.4,17.8,6.7,4.1,0.5,1.5,2,1.1,2022,64.5,20.7,6.7,4.3,0.7,1.8,1.1,0.3,1799,62.6,19,7.2,6.2,1.4,1.4,1.6,0.6
"동거가구원수별",2인,76.8,10.6,6.1,3.8,0.6,0.7,0.6,0.8,2452,75.9,9.9,7.3,3.6,0.3,1.3,0.6,1,2171,73.8,13.7,4.1,4.7,0.4,1,0.3,1.9,2766,70.5,15.6,4.3,6.9,0.4,1.3,0.2,0.9,2581,66.2,14.8,9.4,3.6,1.4,1.6,1.9,1.2,2786,69.7,15.1,5,4.9,1.9,1.3,1.4,0.8,3059,65.5,15.7,6.6,4.1,2.9,2.6,1.5,1.1
"동거가구원수별",3인이상,-,-,-,-,-,-,-,-,6972,51.9,29.8,9.1,5.1,0.6,2,0.9,0.8,6063,49.3,31.2,8.5,7,0.5,1.6,1.3,0.6,5602,51,31.6,6.1,7.2,0.5,2.1,0.5,1,5605,50.2,26.9,10.6,5.1,1.2,2.1,3,0.8,5241,56.9,24.5,7.2,5.7,1.2,1.9,1.9,0.7,5188,50.9,24.7,9.3,6.4,2.6,2.3,2.6,1.2
"동거가구원수별",3인,60.4,23.1,7.8,4.9,0.6,1.5,1,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"동거가구원수별",4인,56.9,24.8,8.1,5.2,0.8,1.9,1.5,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"동거가구원수별",5인 이상,59.4,20.5,9.2,6.6,0.4,2.2,1.4,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"혼인상태별",미혼,33,45.5,8.5,8.8,0.5,1.5,1.6,0.7,2805,29.3,51.5,7,7.7,0.4,1.7,1.3,1,2925,26,52.5,6.8,10.8,0.4,1.4,1.4,0.6,2901,35.8,45.1,6,9,0.5,2.5,0.5,0.5,3041,33.2,41.9,10.2,6.2,0.6,2.5,4.2,1.1,2959,41.1,39.1,8.1,6.1,0.7,2,2.1,0.9,2704,34.7,35.5,11.9,8.5,1.7,2.6,3.4,1.7
"혼인상태별",기혼,73.4,11.6,7.4,3.2,0.8,1.7,1.2,0.6,6831,65.6,17.3,9.6,3.5,0.6,2,0.7,0.7,6121,63.9,18.8,8.2,5.1,0.6,1.7,1,0.9,5965,63.6,20.8,5.7,6.2,0.5,1.7,0.4,1.2,5713,60.8,17.9,10.7,4.1,1.6,1.8,2.3,0.9,5702,68.2,14.9,6.2,5,1.8,1.7,1.7,0.6,6093,62.2,17.4,7.5,4.7,3.1,2.4,1.8,1
"혼인상태별",사별/이혼/기타,82,6.1,4.6,5.4,0.2,0.8,0.4,0.5,966,81.1,6.4,4.8,5.5,0.1,0.7,0.3,1.2,1452,77.6,11.3,4.4,4.3,0.1,0.5,0.9,0.9,1194,76.9,12.6,2.5,6.1,0.2,0.6,0.1,1,1334,77.6,9.3,4.7,4.7,0.4,1,1.2,1,1388,81.2,8.2,4,4.2,0.7,1.3,0.3,0.2,1249,75.8,11.1,4.2,5.3,1.2,0.7,1.2,0.4
"가구주여부별",가구주,68.6,15.5,8,3.5,0.7,2.4,1,0.3,5001,63,19.9,9.4,2.5,0.8,3.1,0.7,0.6,5482,62,20.8,8.2,4.5,0.5,2.6,0.8,0.6,6563,61.5,22.3,6,6.1,0.5,2.2,0.4,1,5073,60.3,18.7,10.3,3.7,1.4,2.8,1.9,0.8,5133,65.1,18.1,6.5,4.2,1.4,2.9,1.4,0.4,5163,60.2,17.8,8.5,4.4,2.7,3.6,1.8,0.8
"가구주여부별",가구주 아님,57.6,25.1,7.3,6.1,0.6,1,1.4,0.9,5601,52.1,30.2,8.1,6.5,0.3,0.9,0.9,1,5016,48.9,32.6,6.9,8.2,0.5,0.6,1.3,1,3497,51.6,32.5,4.9,8.1,0.4,1.4,0.4,0.8,5015,50.9,27.3,9.7,5.5,1.1,1.2,3.3,1,4916,58.3,24.3,6.5,6.2,1.3,0.7,1.8,0.8,4883,51.9,25.2,8.4,6.9,2.5,1.2,2.5,1.4
"종사자지위별",상용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2965,51,31,7,6.5,0.6,2.5,0.6,0.7,2980,48,26.6,11.6,5,1.7,2.8,3.6,0.8,3102,54.2,25.9,7.9,4.7,2.1,2.3,2.4,0.5,3300,47,25.3,10.6,6.1,3.9,3.1,2.9,1.1
"종사자지위별",임시근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,497,56.7,30.6,1.7,6.9,0.2,3.1,0.2,0.6,518,58.6,22.5,6.2,5.3,1.2,2.4,2.9,0.8,653,61,23.6,4.9,5.3,0.8,1.5,1.8,1.1,630,57.2,22,6.5,6.5,2.3,1.2,3,1.3
"종사자지위별",일용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,64.7,17.9,6.4,7.2,0.3,-,3.5,0.1,164,63,15.4,9.1,5.8,2,1.4,3.3,0,161,68.6,21.3,6.4,0.8,1.6,1.3,-,-,205,58,25,4,3.5,3.7,1.1,3.8,0.9
"종사자지위별",고용원이 있는 자영업자,70.3,10.5,11.5,3,0.9,1.4,2.1,0.4,326,61.2,17.8,14.9,1.3,0.3,3.1,0.8,0.6,248,55.4,30.8,5.4,5.4,0.3,1.1,1.5,-,337,53.1,27,8.2,7.4,1.7,1.5,0.4,0.6,395,53.7,20,14.4,4.2,1,3.8,2.4,0.5,357,57,25.7,5.5,5.8,1.1,2.9,1.1,0.8,356,51.6,21.8,17,3.4,2.4,3.2,0.6,0.1
"종사자지위별",고용원이 없는 자영업자,75.7,11.9,6.5,2.8,0.3,1.5,0.8,0.4,1540,73.1,14.6,6.4,2.2,0.2,2.3,0.5,0.8,1637,73.9,14.3,5.3,3.8,0.4,0.7,0.7,0.8,2006,62.7,21.4,5.3,5.9,0.4,2.6,0.5,1.3,1755,62.3,18.1,9.3,4.1,1.5,1.9,2,0.8,1805,72.5,13.2,4.9,4.6,0.9,2.1,1.1,0.8,1557,65.4,15.9,7.1,4.5,1.7,3.3,1.2,0.9
"종사자지위별",무급가족종사자,88.8,7.2,1.6,1.4,0.2,0.7,0,0,233,84,7.4,2.5,3.6,0,2.5,0,0,139,74.6,14.3,5.3,5,-,-,-,0.9,250,73.2,15.7,3.2,6.4,-,0.1,-,1.3,173,72.7,13,9.2,2.8,0.4,0.1,0,1.9,235,87.8,9.2,-,2,-,-,0.6,0.4,188,81.1,12.8,1.8,2.1,1,0.7,-,0.4
"종사자지위별",기타종사자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,61,24,9.1,6,-,-,-,-,59,52.1,8.9,11.9,10.7,3.8,3.1,3.2,6.2,40,33.4,13.7,15.6,27.4,6,-,-,3.8,53,35.7,34.2,7.9,5.2,1.2,-,8.2,7.6
"종사자지위별",해당없음(무직),60.3,23.6,6.4,5.8,0.7,0.9,1.3,1,4293,57.2,26.8,7.3,6,0.2,0.6,0.8,1.2,3857,54.5,28.9,5.7,7.8,0.4,0.6,1,1,3793,57.6,27.3,4.8,8,0.3,0.9,0.1,1.1,4044,55.7,25.1,9.2,4.7,0.7,1.1,2.4,1.1,3696,61.8,21.3,6.8,6.1,1,1,1.5,0.6,3757,58.2,21.7,7,6.5,1.8,1.4,2.1,1.3
"종사자지위별",임금.봉급 근로자,57.8,23.1,9.1,5.2,0.8,2.3,1.3,0.4,4210,49.5,30,10.5,4.7,1,2.7,1,0.6,4617,48.4,30.2,9.9,6.5,0.6,2.5,1.2,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득별",100만원 미만,81.1,8.4,2.4,6.3,0.4,0.5,0.4,0.5,861,85.7,6,2.9,3.6,0.1,0.4,0.6,0.8,921,79.7,11.3,1.7,5.5,-,0.4,0.3,1,939,79.6,12.2,1.6,5.5,0.2,-,0.2,0.7,980,77,11.1,5.4,3.6,0.4,0.7,1,0.9,999,81.2,10.2,3.5,3.5,0.6,0.8,0.3,0.1,1098,78.8,11.6,3.5,4,0.6,0.8,0.5,0.3
"가구소득별",100~200만원,78.9,9.1,4.9,3.8,0.4,0.6,1.3,0.9,1075,82.2,6.5,5.8,2.5,0.6,0.6,0.3,1.5,1007,75.4,11.1,3.6,6,0.6,1,0.3,2,929,74,13.1,4.2,6.8,0.1,1.2,0,0.5,923,73.2,12.6,6.8,3.5,0.6,1.6,1,0.7,1012,77.3,11.1,4.3,4.3,0.4,1.1,1.3,0.2,824,73.8,10.8,5,5.6,2.4,1.3,0.3,0.8
"가구소득별",200~300만원,63.4,21.4,7.3,3.7,0.7,1.8,1,0.7,1594,65.1,20.3,6.4,3.9,0.4,1.7,0.9,1.2,1706,60.9,22,6.6,5.2,0.8,2.1,1.2,1.1,1613,64.6,21.2,4,6.8,0.5,2.3,0,0.5,1405,62.9,19.5,7.8,3.9,1.1,1.5,2.1,1.1,1421,64.7,19.8,5.8,4.9,1.1,1.8,1.2,0.8,1357,64.9,18.1,5.6,4.8,2.3,2.1,1.5,0.6
"가구소득별",300~400만원,62.8,22.4,6.8,3.9,0.7,1.8,1.3,0.3,2437,54.8,27.6,8.7,4.9,0.4,1.9,0.7,0.9,2246,57.7,26.2,6,7.3,0.2,1.3,0.6,0.6,2184,57,28.6,4.4,7,0.8,1.1,0.3,0.7,1824,57,22.7,9.9,4.4,1.5,1.7,2.1,0.6,1896,61.6,21.5,4.7,5.4,1.5,2,2.7,0.6,1764,58,22,5.5,5.9,2.6,2.6,2.6,0.8
"가구소득별",400~500만원,56.1,26,7.9,5.9,0.8,1.6,1.3,0.4,2231,51.9,30.6,9.4,4.9,0.3,1.4,0.8,0.6,2214,48.4,32.1,8.4,7.4,0.6,1.2,1.2,0.7,1785,52.9,30.5,5.3,7.1,0.4,2.4,0.4,1,1782,53.1,26.1,9.5,4.8,0.8,1.8,2.8,1.1,1611,59.5,21.3,8.1,4.9,2.2,1.6,1.9,0.5,1797,51.5,25,7.4,5.3,3.7,2.6,2.8,1.7
"가구소득별",500~600만원,53.9,24.9,9.9,5.6,0.4,2.5,1.7,1.2,1356,51.6,30.2,8,6,0.7,2.5,0.5,0.6,1405,48.2,31.3,10.6,5.7,0.5,2.3,1.2,0.2,1394,50.5,31.2,6.3,8,0.4,2.3,0.6,0.6,1407,46.7,29,11.1,5,1.2,2.6,3.5,0.9,1380,53.7,25.7,8.1,5.9,1.5,2.5,1.4,1.1,1532,46.5,26.4,10.8,7.5,2.4,2.6,2.6,1.2
"가구소득별",600만원 이상,53.1,22.2,12.6,7.2,1.2,0.7,1.9,1.1,1048,43.1,31.6,13.8,5,1,2.7,1.8,1,999,42.9,35.6,9.5,7.1,0.4,1.4,1.9,1.1,1216,45.2,33,9.8,6.7,0.3,2,0.8,2.2,1767,44.4,27.2,13.4,5.8,1.9,2.3,3.9,1.2,1730,52.1,28.3,8.3,6.2,1.1,1.5,1.6,0.9,1674,48.5,23.4,13.5,5.9,2.5,2.3,2.5,1.5
"가구소득별",무응답,87.2,0,12.8,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
