"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,헬스,골프,요가/필라테스,수영,농구/배구,배드민턴/줄넘기,사이클링,테니스 스쿼시,볼링 탁구,당구/포켓볼,육상/조깅,격투스포츠,댄스스포츠,윈드서핑수상스키,승마암벽등반,스노보드,인라인스케이트,아이스스케이트,표본수,헬스,골프,요가/필라테스,수영,농구/배구,배드민턴/줄넘기,사이클링,테니스 스쿼시,볼링 탁구,당구/포켓볼,육상/조깅,격투스포츠,댄스스포츠,윈드서핑수상스키,승마암벽등반,스노보드,인라인스케이트,아이스스케이트,표본수,헬스,골프,요가/필라테스,수영,농구/배구,배드민턴/줄넘기,사이클링,테니스 스쿼시,볼링 탁구,당구/포켓볼,육상/조깅,격투스포츠,댄스스포츠,윈드서핑수상스키,승마암벽등반,스노보드,인라인스케이트,표본수,헬스,골프,요가/필라테스,수영,농구/배구,배드민턴/줄넘기,사이클링,테니스 스쿼시,볼링 탁구,당구/포켓볼,육상/조깅,격투스포츠,댄스스포츠,윈드서핑수상스키,승마암벽등반,스노보드,인라인스케이트,아이스스케이트,표본수,헬스,골프,요가/필라테스,수영,농구/배구,배드민턴/줄넘기,사이클링,테니스 스쿼시,볼링 탁구,당구/포켓볼,육상/조깅,격투스포츠,댄스스포츠,윈드서핑수상스키,승마암벽등반,스노보드,인라인스케이트,아이스스케이트,표본수,헬스,골프,요가/필라테스,수영,농구/배구,배드민턴/줄넘기,사이클링,테니스 스쿼시,볼링 탁구,당구/포켓볼,육상/조깅,격투스포츠,댄스스포츠,윈드서핑수상스키,승마암벽등반,스노보드,인라인스케이트
"연령별",60대,518,8.7,3.3,5.1,8.6,1,3.3,2.6,0.7,1.2,0.4,0.5,0.2,2.4,0,0.6,0,0,0,687,9.3,2.1,3.5,7.6,0.3,5.8,1.7,0.6,0.8,0.3,2,-,0.8,-,-,-,-,-,643,6.8,2.5,3.7,4,0.6,2.6,0.8,0.5,2.7,1,3.3,-,0.4,0,-,-,0,538,8.6,4.8,3.4,7.2,2.1,1.7,2.5,0.4,2.6,1.2,1.6,-,1.1,0.2,-,-,0.1,-,454,7.9,3.7,3.7,1.9,1.2,2.7,5.2,0.5,1.2,1,2.4,-,0.7,0.2,-,-,0.6,-,687,7.1,3.9,1.7,3.8,1.3,1.4,2.4,2.1,1.6,1.6,1.4,-,0.3,-,0.2,-,-
"연령별",70세이상,356,6.1,1.1,6.4,6.9,0,2.4,2,0.5,0.7,0.7,0.4,0,1.5,0,0,0,0,0,483,2.4,0.4,1.8,6.1,-,4.6,1.7,0.3,1.1,0.3,1.1,-,2.9,-,-,-,-,0.1,516,5.5,0.9,4.7,2.5,0.4,4.5,1.5,0.2,1.8,0.6,1.6,0.3,0.6,-,0.1,-,-,326,3.4,2.2,5.2,6.8,0.3,5.1,3,0.7,1.7,1.2,2,-,0.3,-,-,-,-,-,281,1.8,0.9,1.3,3.1,0.3,8.2,3.2,0.4,3.6,1.4,0.8,-,2.5,-,-,-,-,-,445,4,1.2,0.6,7.2,0.2,2.6,0.7,0.6,0.9,0.6,0.6,-,1.4,-,-,-,-
"학력별",초졸 이하,346,2.2,0,6.3,4.2,3.9,4.6,1.6,0,0.5,1.3,0,0.5,1.3,0,0,0,0.3,0,294,1.4,-,5.2,3.3,3,5.4,1,0.3,0.2,0.1,1.2,-,3.6,-,-,-,-,-,437,1.7,0.3,5.4,2.6,2.5,5.6,0.7,-,0.7,0.3,0.8,0.4,0.2,-,-,-,-,318,2.2,1.1,6.9,6,1.7,4.5,0.7,0.5,0.3,0.5,0.9,2.4,0.4,0,0,0,0,0,234,0.4,0.8,2.9,3.1,3,6.9,3.2,-,0.4,1,1.2,2.4,-,-,-,-,-,-,297,1.7,0.3,1.3,4.5,1,6.2,0.2,0.8,0.5,0.2,0.1,1.1,0.3,-,-,-,-
"학력별",중졸,538,5.7,1.3,3,5,6,4,1.8,0.1,1.4,1,1.3,1.8,1,0,0,0,0.6,0,603,3,0.8,1.3,5.5,5.9,4.8,0.8,-,1.1,0.6,1.1,1.2,1.3,-,-,-,0.8,0.1,502,8.1,0.3,2.3,1.3,4.5,2.2,0.1,0.3,1.2,0.9,2.3,1.5,0.2,-,-,-,-,411,6.2,1.5,3.1,2.8,6.1,3.2,1.9,0.3,0.9,0.2,2.1,2.3,0.7,0,0,0,0,0,325,5.2,1.3,2,1.9,5.1,4.7,3.3,0.3,2.2,1,0.8,2.1,0.8,-,-,-,-,-,382,4.8,0.4,0.9,3.6,3.8,2.1,1.3,0.4,0.9,0.4,0.2,1.5,0.6,-,-,-,-
"학력별",고졸,1834,11.2,2.1,6,5.1,4,3.5,1.8,1.1,2.1,1.9,1.1,0.9,1.3,0.1,0.2,0.1,0.2,0,2125,12.5,3.1,4.7,5.5,3.1,3.7,1.2,0.5,2.7,0.8,0.8,0.2,1,-,0,0,-,0.2,1921,12.1,1.7,3.8,3.3,2.6,2,1.5,0.3,2,1.5,1.7,0.5,0.4,0.1,0.1,0,0.1,1695,12.3,2.4,3.5,4.3,5.5,2.9,3.4,0.6,2.6,1.5,1.3,1,0.7,0.2,0.1,0.1,0.1,0,1308,12,3.6,5.1,1.8,4.1,2.7,3.6,0.3,1.6,1.1,1.4,0.9,0.6,0.1,-,0.1,0.2,-,1479,10.4,2.7,2.6,3.1,2.9,2.1,1.7,1.1,1.8,2.1,1.2,1,0.2,-,-,-,-
"학력별",대졸이상,1903,13.9,6.5,5.9,6.6,3.7,3.6,3.3,0.8,2.5,2.2,1,0.3,0.5,0.4,0.4,0.1,0.2,0,1991,16.8,5.1,9.6,6,3.4,2.3,2.6,0.9,2.5,1,1.8,0.8,0.4,0.6,0.3,0.2,0.2,-,1951,14.6,4.7,6.1,3.6,3.8,2.5,1.6,1.1,2.1,1.1,0.9,0.6,0.5,0.1,0,0.3,0.1,1977,16.2,6.8,7,3.9,4.3,2.6,2.1,0.9,2.3,1.6,1.7,0.7,0.2,0.2,0.3,0.1,0,0,1673,14.9,6.9,7.1,2.6,4.7,3.6,3.1,0.9,1.9,0.5,1.8,0.4,0.4,0.4,0.2,0.1,0,0,1768,13.9,6.7,5.1,3.5,3.4,1.8,1.9,2.2,1.3,1,1.1,0.5,0.7,0.2,0.1,-,-
"동거가구원수별",1인,385,9.1,1.7,6.3,5.3,3.5,2.6,0.7,1.1,1,1,0.8,1.1,2.5,0.5,0,0.2,0,0.4,1040,9.3,1.6,6.7,3.5,1.3,3.8,1.6,0.4,1.4,0.9,1.7,0.6,0.6,0.6,0.2,0.1,0.1,-,814,8.1,1.7,2.7,3.3,2.2,4.2,1,0.1,1.8,1.3,0.8,0.7,0.1,0.1,0.1,0.1,-,732,8.8,2.8,5.2,2.3,3.7,2.3,3,0.2,1.7,1.6,1.4,0.7,0.7,0.1,0.2,0.4,0.2,0.1,645,12.5,3.4,4,1.4,4.9,4.4,2.8,0.6,1.8,1.8,1.4,1,0.3,0.3,0.2,0.1,-,0.1,666,12.4,2.9,3.4,2.7,2.3,2.1,2.8,0.8,1.9,1.2,1.1,-,0.1,0.1,-,0.3,-
"동거가구원수별",2인,918,8.6,2.4,5.9,6.1,2.1,4.1,2.5,0.8,1.8,0.9,0.6,0.1,1.6,0.1,0,0.1,0,0,947,8.1,2.5,4,7,1.3,3.3,1.3,0.7,1.7,0.7,1.7,0.2,2.3,0.2,-,0.1,-,0.1,1287,10.3,2.3,4.7,3.1,0.8,3.4,1,0.5,1.9,1.2,2.1,0.6,0.7,0.2,-,-,0.2,1047,9.1,5.1,4.6,6.5,2.7,2.6,1.9,0.9,2.3,1.3,1.6,0.2,0.5,0.2,-,0.1,-,-,882,8.2,5.2,4.7,3.2,2.9,3.6,3.4,0.6,2.4,0.6,2.1,0.4,0.5,0.3,-,-,-,-,1153,7.5,4.1,3.3,3.7,2.2,2.2,1.5,1.6,1.4,1,1,0.4,0.6,0.1,0.2,-,-
"동거가구원수별",3인이상,3318,11.8,4.1,5.6,5.7,4.4,3.6,2.5,0.8,2.2,2.1,1.1,0.8,0.7,0.2,0.3,0.1,0.3,0,3026,14.1,3.9,6.8,5.6,4.3,3.3,1.8,0.6,2.6,0.9,1.1,0.6,0.7,0.2,0.2,0.1,0.2,0.1,2710,12.9,3,5.1,3.2,4.3,2,1.5,0.7,1.9,1.2,1.2,0.6,0.4,0,0.1,0.2,0,2622,14.2,4.1,5.5,3.6,5.4,3.1,2.6,0.7,2.1,1.4,1.5,1.3,0.4,0.1,0.2,0.1,0.1,-,2013,13.5,5,6.4,2.1,4.9,3.3,3.3,0.5,1.5,0.6,1.3,1,0.5,0.2,0.1,0.1,0.1,-,2107,12.3,4.5,3.7,3.4,3.6,2.2,1.6,1.6,1.4,1.4,1,1.1,0.5,-,-,-,-
"혼인상태별",미혼,1328,9.6,0.5,4.8,3.3,7.7,2.7,1.6,0.7,2.2,3.2,0.7,1.8,0.4,0.2,0.2,0.1,0.8,0,1395,13.2,0.4,7.7,3.4,7.6,1.5,1.5,0.8,3.1,1.2,0.8,1.2,0.2,0.7,0.3,0.3,0.6,0.3,1366,14.9,0.5,3.5,2.3,6.1,1.2,0.8,0.2,1.7,1.1,1,1.9,0,0.2,0.1,0.4,-,1478,18.3,1,4.1,1.1,6.7,1.8,1.6,0.3,2,1.4,1.8,3,0.2,0.2,0.1,0.3,0.1,0,1201,19.4,1.7,5.3,1.5,6.4,3.2,2.2,0.5,1.7,0.9,1.6,2,0.1,0.2,0.2,0.2,-,0.1,1084,18.9,1.2,6.4,2.3,4.6,2,1.6,1.1,0.9,1,0.8,2.7,0.1,-,0.1,0.1,-
