"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,헬스,골프,요가/필라테스,수영,농구/배구,배드민턴/줄넘기,사이클링,테니스 스쿼시,볼링 탁구,당구/포켓볼,육상/조깅,격투스포츠,댄스스포츠,윈드서핑수상스키,승마암벽등반,스노보드,인라인스케이트,아이스스케이트,표본수,헬스,골프,요가/필라테스,수영,농구/배구,배드민턴/줄넘기,사이클링,테니스 스쿼시,볼링 탁구,당구/포켓볼,육상/조깅,격투스포츠,댄스스포츠,윈드서핑수상스키,승마암벽등반,스노보드,인라인스케이트,아이스스케이트,표본수,헬스,골프,요가/필라테스,수영,농구/배구,배드민턴/줄넘기,사이클링,테니스 스쿼시,볼링 탁구,당구/포켓볼,육상/조깅,격투스포츠,댄스스포츠,윈드서핑수상스키,승마암벽등반,스노보드,인라인스케이트,표본수,헬스,골프,요가/필라테스,수영,농구/배구,배드민턴/줄넘기,사이클링,테니스 스쿼시,볼링 탁구,당구/포켓볼,육상/조깅,격투스포츠,댄스스포츠,윈드서핑수상스키,승마암벽등반,스노보드,인라인스케이트,아이스스케이트,표본수,헬스,골프,요가/필라테스,수영,농구/배구,배드민턴/줄넘기,사이클링,테니스 스쿼시,볼링 탁구,당구/포켓볼,육상/조깅,격투스포츠,댄스스포츠,윈드서핑수상스키,승마암벽등반,스노보드,인라인스케이트,아이스스케이트,표본수,헬스,골프,요가/필라테스,수영,농구/배구,배드민턴/줄넘기,사이클링,테니스 스쿼시,볼링 탁구,당구/포켓볼,육상/조깅,격투스포츠,댄스스포츠,윈드서핑수상스키,승마암벽등반,스노보드,인라인스케이트
"혼인상태별",기혼,3015,12.4,5.4,5.8,6.7,2.7,4.1,2.9,0.9,2.2,1.5,1.2,0.2,1.1,0.2,0.3,0,0,0,2982,13.7,5,6.1,6.5,2.3,3.8,1.8,0.6,2.2,0.7,1.4,0.3,1.2,0.1,0.1,0,0.1,-,2918,11.5,3.9,5.6,3.6,2.4,2.6,1.7,0.8,2,1.3,1.6,0.2,0.7,0,0,-,0.1,2491,11.2,6.1,6.1,5.4,4.2,3.3,2.8,0.9,2.3,1.5,1.4,0.3,0.5,0.2,0.2,0,0,0,1997,8.9,6.8,6.1,3,3.6,3.4,3.8,0.6,1.6,0.7,1.5,0.2,0.7,0.3,0.1,0.1,0.2,-,2445,8.4,5.6,2.6,3.9,2.8,2.1,1.6,1.9,1.6,1.5,1.2,0.1,0.6,0.1,0.1,-,-
"혼인상태별",사별/이혼/기타,278,4.1,1.2,9.6,5.9,0.6,2.9,0.6,0.6,0.3,0.5,0.1,0,2.4,0,0,0,0,0,636,2.7,1.7,3.8,5.8,0.3,5.5,2.2,0.7,0.7,0.1,1.7,0.2,0.6,0,-,-,-,0.1,527,4.7,0.8,2.7,3.1,0.9,6.1,0.8,-,1.2,0.6,0.9,-,0.1,0.1,0.1,-,-,432,4.3,1,3.4,5,1.2,3.8,3,0.5,1.2,0.4,1.2,0,1,0,0.1,0,0.2,0.1,342,3.8,3.8,3.6,0.8,1.9,5.7,4.5,0.2,2.3,1.1,1.3,-,0.6,0.1,-,-,-,-,397,4.3,3.7,0.9,3,0.6,3.4,2.4,-,2,1.4,0.5,-,0.4,-,-,0.1,-
"가구주여부별",가구주,2106,10.8,7.2,2.3,2.7,4.6,4.1,4.3,1,2.7,2.5,1.6,0.4,0.6,0.5,0.5,0.1,0,0,2654,12.2,6,2.8,4,3.4,4.3,2.9,0.7,2.5,1.2,2.1,0.6,0.3,0.3,0.2,0.1,0.1,0,3138,10.4,4.1,2.8,2.9,3.8,3.2,1.8,1,2.2,1.7,1.2,0.3,0.3,0.2,0,0,0.1,2186,10.7,7.2,1.6,2.8,6.7,3,3.8,1.4,2.5,2.3,1.7,0.4,0.2,0.2,0.4,0.1,0,0,1804,10.4,7.5,1.8,1.4,5.8,3.2,4.9,0.9,1.9,1.3,1.5,0.6,0.2,0.5,0.1,0.1,0.2,0,2015,8.5,7.6,1,2.5,4.4,2.4,3,2.5,2.1,2.5,1.4,0.2,0.1,0.2,-,-,-
"가구주여부별",가구주 아님,2515,11.7,1.3,8.2,8,3.7,3.3,1.1,0.7,1.7,1.5,0.5,0.9,1.2,0,0.1,0.1,0.4,0,2359,13.2,1.4,9.3,7,3.7,2.5,0.8,0.5,2.2,0.5,0.6,0.5,1.4,0.2,0.1,0.1,0.3,0.1,1673,13.7,1.1,7.2,3.5,2.7,1.7,0.8,0.1,1.4,0.6,1.6,1,0.6,-,0.1,0.3,0,2215,14.5,1.7,8.3,5.2,3.1,2.8,1.4,0.2,1.8,0.6,1.4,1.6,0.7,0.1,-,0.1,0.1,-,1736,13.8,2.4,9.1,3,3.2,3.8,1.8,0.3,1.6,0.3,1.5,1.1,0.8,0.1,0.1,0.1,-,-,1911,13.2,1.5,5.7,4.1,2.1,2,0.6,0.8,0.9,0.4,0.7,1.3,0.8,-,0.1,-,-
"종사자지위별",상용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1463,15.8,4.4,3.9,2.5,4.2,2.5,2,1.1,2.2,1.1,1.4,0.4,0.3,0.1,0.1,0.3,0.1,1434,15.9,5.7,5.2,3.1,6.6,2.3,2.9,1.1,2.5,1.7,1.6,0.7,0.3,0.2,0.4,0.2,0,-,1232,14.7,4.8,6,2.3,5,3.2,3.5,0.7,1.5,1.3,1,0.6,0.1,0.2,0.3,0.2,0,0.1,1325,12.9,5.5,4.9,2.8,3.9,1.4,2.1,2.2,2.1,1.4,1.2,0.6,0.2,0.1,0.1,0.1,-
"종사자지위별",임시근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,230,10.8,0.6,3.4,3.7,0.6,2.8,0.7,0,1.1,1,1.5,1,-,0.2,-,-,-,188,12.2,2,5.4,1,2.6,3.6,2.2,1.2,1,0.7,0.8,0.4,0.3,-,-,0.6,0.9,-,202,10.7,2.5,7.6,1.2,2.8,5.7,1.5,-,0.2,-,1.4,0.7,-,-,-,-,-,-,235,12.3,1,3.2,1.9,3.1,3.4,0.8,-,1.4,0.4,1.3,0.3,1.4,-,-,-,-
"종사자지위별",일용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,10.5,-,-,2.7,0.5,3.7,-,-,2.8,1.1,3,-,-,1.7,-,0.5,-,48,10.7,-,-,5.1,2.7,3.8,0.7,-,5.5,-,2.4,-,2.5,-,-,0.9,-,-,66,4.2,7.3,6.4,5.3,2.8,-,3.7,-,3.8,-,-,3.9,-,-,-,-,-,-,77,12.8,-,8.2,2.3,1.6,0.9,0.9,2.6,1.6,-,1.8,-,-,-,-,-,-
"종사자지위별",고용원이 있는 자영업자,169,4.4,15.3,2.3,3,3.1,7,6.8,0.9,2.4,1.7,2.5,0.4,1.2,1.9,0,0,0,0,144,8.9,14.6,0.9,3.7,2.7,2.4,1.6,-,2.4,1.8,-,0.3,0.4,-,0.6,-,-,-,198,7.6,10.6,2.4,2,6.9,2.7,2.1,3.3,1.9,2.7,1.2,0.9,1.1,0.7,-,-,0.5,233,14.2,18.1,6.1,2.8,6.9,2.8,3.7,1,0.8,2.5,0.8,1,-,0.4,-,-,-,-,165,11.9,17.5,2.8,3.3,5.4,4.2,5.7,0.6,3,-,1.8,-,-,0.5,-,0.9,-,-,158,11.2,16.9,1.4,3.2,8.2,2.9,1.2,1.2,2.7,4.8,2.3,-,0.4,0.6,-,-,-
"종사자지위별",고용원이 없는 자영업자,578,10.8,3.6,2.6,2.5,3.2,4,2.5,0.7,1.9,1.7,1.7,0.6,0.7,0.3,0.1,0,0.1,0,748,11.8,6.5,3.8,4.7,2.2,3.7,2.7,0.9,2.9,1.4,2.8,0.8,1.7,0.1,0,0.2,0.3,0.1,939,11.5,2.8,3.3,3.8,2.9,2.4,1.7,0.2,1.9,2.2,1.4,0.4,0.5,0,-,0.2,-,729,10.4,4.4,2.2,4.6,4.7,4.8,2.9,0.9,1.8,1.9,0.8,0.5,0.7,0.3,0.2,0.1,-,0,577,9.3,7.3,4.1,2.8,5.9,3.4,4.2,1,2.5,0.9,1.9,0.2,0.5,1,-,-,0.5,-,653,10.2,4.9,2.7,2.2,2.9,3.9,2.9,1.8,0.9,2.2,0.8,0.3,0.4,0.1,-,-,-
"종사자지위별",무급가족종사자,86,5.6,3,12.2,2,0,5.2,0,0,0,0.7,1.2,0,2.9,0,0,1.5,0,0,58,26.4,4.4,2.6,2.9,-,7,-,-,1.4,-,-,-,-,-,-,-,-,-,109,8.3,-,3.7,3,0.6,5.5,0.9,-,0.4,-,0.3,2,1.3,-,-,-,0.6,64,4,1.1,14.1,6.5,3.6,2.8,1.9,-,2.1,-,2.8,2.5,-,-,-,-,-,-,56,1.1,6.3,8.8,1.8,-,0.9,4.7,-,-,-,1.7,-,1.8,-,-,-,-,-,64,1.2,2,3,3.5,1.1,-,0.8,3.5,-,-,0.5,-,-,-,-,-,-
"종사자지위별",기타종사자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,22.5,1.9,4.6,-,-,-,-,1.5,-,-,-,-,4.4,-,-,-,-,30,15.7,1.1,5.8,4.7,-,-,-,-,3.4,-,-,-,-,-,-,-,-,-,18,20.3,-,-,-,4.1,-,-,-,2.7,-,-,-,-,-,-,-,-,-,28,20.2,-,2.2,-,2.3,-,-,5.2,-,8.3,-,-,-,-,-,-,-
"종사자지위별",해당없음(무직),1749,11.4,1.3,7.2,8.5,3.6,3.1,1.2,0.7,1.5,1.1,0.7,1.2,1.3,0,0.2,0,0.6,0,1636,9.1,0.6,7,8.7,3.9,3.5,0.8,0.3,1.5,0.3,0.6,0.5,1.1,-,0,0,0.2,0.2,1772,9.6,1,6.9,3.5,3,2.3,0.7,0.2,1.7,0.7,1.3,0.8,0.4,-,0,-,-,1675,11.6,1.3,6.4,5.1,3.3,2.5,1.9,0.3,2.2,0.8,1.9,1.7,0.6,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1386,9.8,1.8,2.9,5,2,2,0.9,0.9,1,0.5,0.8,1.6,0.7,-,0.1,-,-
"종사자지위별",임금.봉급 근로자,2039,12.1,4.9,5.3,4.6,4.9,3.6,3.1,0.9,2.8,2.7,1,0.3,0.6,0.3,0.4,0.1,0,0,2427,15.5,4,7,3.8,3.7,3.1,2.2,0.8,2.8,1,1.4,0.5,0.6,0.5,0.2,0.1,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1224,11.9,2.3,6,2,3.5,3.8,2.5,0.3,1.5,0.5,1.9,1.4,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득별",100만원 미만,202,6.9,0,3.5,3.6,0.7,3.2,4.6,0,1.1,0.4,0,0.2,2.5,0,0,0,0,0,282,5,0.1,3.1,3,0.5,3.6,2,-,1.6,0.4,3.3,-,4,-,0.3,-,-,-,382,4,0.2,4.8,2.9,1,5.1,0.4,-,0.6,0.5,0.3,0.6,0.1,-,-,-,-,290,6.4,1,6.8,5.6,1.3,3.6,2.1,0.4,0.9,1.3,1.2,-,0.9,-,0.2,-,-,-,222,8.1,0.2,2.8,1.6,2.3,5.2,5.7,-,2,1.4,1,1.3,0.9,-,-,-,-,-,323,5.6,0.6,1,1.9,0.8,1.7,1.2,0.7,1.2,0.6,0.7,0.3,-,-,-,-,-
"가구소득별",100~200만원,348,6,1,7.8,4.4,1.6,2.4,1.6,1.6,2.1,2.3,0.4,0.4,0.7,0.1,1.3,0.1,0.3,0,417,4.2,0.6,3.5,9.3,0.9,3.2,1.5,0.5,0.6,-,0.7,-,1.7,-,-,-,-,-,424,5.6,0.7,3.1,3,1.1,3.6,1.2,-,1.4,0.5,2.8,0.1,-,-,-,0.1,-,299,4.7,1.6,3.7,6,1.2,3.5,2.1,-,2.2,1.9,2.6,0.6,0.7,-,-,-,-,-,265,6.8,1.8,2.5,3,3.1,5.1,2.5,1,2.5,0.6,1.9,0.3,1.3,0.1,-,-,-,-,288,5.6,1.2,1.9,5.9,1.1,2.8,1.3,0.3,0.4,0.4,-,-,0.9,-,-,-,-
"가구소득별",200~300만원,633,10.2,0.9,4.5,5.7,4.1,3.5,1.9,0.5,2.4,1,1,0.5,0.8,0,0,0,0.4,0,812,11.5,1.1,6.8,5.8,1.7,4.1,1.5,0.4,0.8,0.7,0.5,0.4,0.7,0,-,0.1,-,0.1,729,9.3,1.1,3.6,3.6,1.7,2.8,0.6,0.2,2.1,1.1,1.4,1,0.3,-,0.1,-,-,581,9.3,1.3,4.2,3.5,4.4,2.8,2.5,0.7,1.3,2.1,1.5,1.2,0.5,0.2,-,0.3,-,-,462,10.4,3.7,3,2.7,4.4,5,2.9,0.7,1.6,2.2,1.1,1.2,0.2,-,0.3,0.1,-,0.2,494,8.4,2.6,2.7,4.7,1.3,1.6,1.8,1.2,1.9,1.2,1.4,0.7,0.5,-,-,-,-
"가구소득별",300~400만원,1023,12.9,3.5,4.7,6.1,4.2,3.6,2.5,0.3,2.6,2,1.3,0.7,0.7,0.6,0.2,0,0.1,0,1066,14.6,2.2,5.1,4.2,3.1,4.3,2,0.9,3.7,1.3,2.3,0.7,0.5,0.6,-,0.1,0.1,-,973,11.5,2,4.3,3.9,2.4,2.1,1.3,0.6,2.7,1.8,1.6,0.6,0.8,0.3,0.1,-,0.1,806,10.7,3.1,4.7,3.9,6.1,2.6,1.7,0.4,2.5,1.9,1.5,0.6,0.7,-,0,0,0.2,0,628,10.7,2.8,4.6,2.3,4.7,2.7,3.7,0.4,1.6,0.4,1.4,1.6,0.2,0.5,-,-,-,-,686,10.3,2.8,2.5,2.8,2.6,1.6,1.7,1.1,1.8,1.2,1.3,0.8,0.4,-,0.3,-,-
"가구소득별",400~500만원,1091,12.2,2.9,5.3,5.6,6.3,3.7,2.5,0.9,2.1,1.8,1.5,0.6,1.3,0.2,0,0.1,0.1,0,1117,11.9,4.9,6.5,5.6,4.3,3.8,1.2,0.4,2,1,0.9,0.7,1.2,0.2,0.1,0.2,0.2,-,845,12.1,1.6,4.3,2.6,3.7,2.4,1.5,1.2,1,0.4,1.3,1,0.4,0.1,0.1,-,0.1,817,13.7,3.4,5.3,3.2,5.5,2.8,2.5,0.9,1.9,1.3,2.1,1.3,0.5,0,0.5,0.1,0.1,-,602,11.1,5,4.7,2.1,4.9,4.1,3.5,0.5,2.1,0.8,1.8,0.4,0.3,0.7,0.4,-,0.1,-,719,10.7,4.1,3.5,2.6,3.2,2.6,1.1,0.9,1.2,0.7,1.1,1.1,0.2,0.2,0.1,0.1,0.1
"가구소득별",500~600만원,714,13.2,4.2,4.6,6.1,3.1,5,2.7,1,1.8,3.4,0.6,0.7,0.9,0,0.7,0.2,0,0,718,16.8,3.1,6.8,6.4,4.9,2.4,1.6,0.7,2.7,0.4,0.5,0.7,0.2,0.1,0.3,0.2,0.2,0.5,738,15,2.2,5.1,2.7,5.3,1.7,1.4,0.3,1.6,2.4,1.8,0.3,0.7,-,-,-,-,681,17.3,3.2,4,3.7,4.9,3,3.1,0.9,1.4,1.1,1.8,1.2,0.1,0.2,-,-,-,-,579,15.2,5.6,7.3,2.1,3.9,3.9,2.1,0.6,2,0.5,2.3,0.7,0.9,0.1,-,-,-,-,613,13.4,4.4,5,3.2,3.8,2.5,2.5,2.5,1.3,2,1.3,0.9,0.2,-,-,-,-
"가구소득별",600만원 이상,610,9,8.4,8.9,5.7,2.7,2.9,2.2,1.1,1.9,1.1,0.7,1.1,0.6,0.2,0.1,0,0.8,0.1,601,12.9,7,8.6,5.6,4.4,1.7,2.5,0.8,2.5,1,1.7,0.2,1,0.4,0.5,-,0.5,-,720,15.3,7.6,6.7,3.3,4.5,2.4,2,0.8,2.5,0.8,0.6,0.7,0.3,0,-,0.6,0.1,927,14.7,8.5,7.1,4.8,4.6,2.9,2.7,0.9,3,0.8,0.8,1.4,0.4,0.4,0.2,0.2,-,-,782,14.7,7.8,8.5,2.3,4.9,1.9,3.6,0.6,1.1,0.5,1,0.6,0.4,0.1,-,0.3,0.3,-,803,13.4,7,4.5,3.8,4.5,2.1,1.5,2.2,1.6,1.8,0.6,0.9,1,0.1,-,-,-
"지역규모별",대도시,2205,12.9,4.1,5.6,6.3,3.4,3.1,2.3,0.6,1.6,2.3,0.8,0.7,0.7,0.2,0,0.1,0.3,0,2315,11.6,2.7,5.8,6,3.1,2.7,2.5,0.5,1.9,0.7,0.9,0.4,0.9,0.3,0.2,0.1,0.2,-,1959,13.8,1.9,4.9,3.8,3.7,2.6,1.9,0.8,1.5,1.4,1.7,0.5,0.3,0,0.1,0.1,0.1,1990,14.1,4.5,4.7,3.9,3.8,2.6,2.4,0.5,1.6,1,1.5,1.1,0.2,-,0.2,0,-,-,1629,12.6,4.5,6.7,3,4,3.9,3.3,0.4,1.5,0.7,1.5,1.1,0.3,0.3,0.1,0.1,-,-,1930,11.5,4,3,4.1,2.9,1.6,1.8,1.6,1.3,1.5,1,0.7,0.6,-,0.1,-,-
"지역규모별",중소도시,1556,9.9,3.9,6,6,5,3.8,2.9,0.8,3,1.9,1.2,0.7,1.4,0.4,0.7,0,0.2,0,1717,13.5,4.8,7.9,5.4,4.2,4.4,1.1,0.8,2.4,0.9,1.7,0.7,0.7,0.3,0.2,0,0.2,0.2,1640,11.5,3.3,4.3,3.5,2.6,2.3,0.9,0.5,2.5,1.1,1.3,0.4,0.4,0.1,-,0,0.1,1645,12.8,3.4,5.8,3.9,6.4,3.1,2.8,0.9,2.7,1.7,1.8,1.2,0.8,0.4,0.1,0.2,0.1,0,1260,12.3,5.4,5.1,1.8,4.9,3,3.6,0.6,1.8,1,1.4,0.6,0.7,0.4,0.1,-,0.2,0,1171,12.4,4.6,4.8,3,3.5,2.6,0.9,1.3,1.8,1.5,1,1.4,0.6,-,-,-,-
"지역규모별",읍면지역,860,9.8,2.8,5.1,3,4,5.2,1.9,1.2,1.7,0.9,1,0.8,0.5,0.1,0,0,0.3,0,981,14.2,2.4,3.8,5,3,2.5,1.1,0.4,3.4,1.2,1,0.5,1.4,0,-,0.5,0.2,0.1,1212,8.7,3.2,5.4,1.3,3.7,2.7,1.1,0.4,1.5,0.8,0.9,1.2,0.7,0.2,0.1,0.4,0.1,766,9.7,5.1,5.8,5.2,3.6,3.1,2,0.9,2.3,1.5,0.9,0.8,0.4,0.1,0.1,0.1,-,-,651,10.8,4.5,4.3,1.7,4.5,3.7,2.6,0.9,2.2,0.5,2,0.7,0.4,-,-,0.2,-,-,825,7.7,4.4,3,2.1,3.1,3.1,2.7,2,1.2,0.4,1,0.1,-,0.4,-,-,-
"권역별",수도권,1812,12.6,3.9,6.1,6.5,3.1,3.5,2.5,0.7,1.6,2.5,0.9,0.6,0.9,0.2,0.4,0.1,0.3,0,1777,14.4,3.9,7.6,6.7,3.2,3.9,1.5,0.7,2.5,0.4,1.3,0.6,0.7,0.3,0.2,0,0.2,0.1,1575,11.3,3,4.8,3,2.9,2.1,1.4,0.5,1.6,1.5,1.7,0.4,0.3,0.1,-,0.2,-,1946,14.4,4.5,6.1,4.9,4.3,2.4,3.1,0.8,1.9,1.7,1,1.4,0.4,0.1,0.3,0.2,0,-,1064,12.1,4.7,6.3,2.8,2.8,3.2,2.7,0.1,1.3,0.7,1.3,0.9,0.6,0.2,0.1,0.1,0.2,-,1268,10.7,2.8,3.3,3.6,2.7,1.9,1.5,1.2,1.5,1.8,1.1,0.9,0.6,-,-,-,-
"권역별",강원/제주권,329,3.8,3.7,1.9,3.2,5.7,2.6,1.6,0.8,2.5,1.3,1.8,0.2,0.4,0.4,0.7,0,0,0,374,2.9,4.8,4.4,2.9,4.3,2.1,1.6,-,4.1,0.6,0.6,1.9,1.1,0.4,0.2,-,-,-,372,10.5,2.1,5.8,1.5,3.4,4.3,1,0.7,1.6,0.1,0.5,0.3,1.1,0.1,-,-,0.5,143,12.1,4.3,8.8,4.4,9.7,5.9,-,1.6,3.1,3.8,1.7,-,-,0.5,-,-,1.1,-,357,8.2,3.2,5.5,2,6.3,2.7,1.5,0.7,2.5,0.9,3.4,1.4,0.2,0.9,0.3,-,-,-,342,8.9,2.5,3.2,3.1,5.5,4.4,1.4,2.4,0.9,0.3,1.4,1.6,0.3,0.1,0.1,-,-
"권역별",충청/세종권,857,11.5,3.4,5.5,5.6,5.1,3.3,1.4,0.7,2.7,1.2,0.4,0.6,0.4,0,0.1,0,0,0,883,9.4,2.6,8.4,5.2,4.5,2.2,1.1,0.5,2.1,2.2,0.7,0.3,1.3,0.3,0.3,0.7,0.1,0.1,800,8.3,1.3,3.1,3.3,2.5,3,0.4,0.1,1.9,0.9,0.4,1,0.2,-,-,-,-,378,10.8,3.4,4,4.8,6.2,2.8,5,0.2,3.2,1.3,1.4,1.6,0.4,0.3,-,-,-,-,408,9.4,5.8,3.8,2.4,7.9,4.2,2.6,1,0.9,1.3,1.9,0.5,0.3,0.1,-,-,-,-,515,10.3,2.6,3,1,4.2,2.8,0.8,0.9,1.7,1,0.4,0.9,0.3,-,-,0.1,0.1
"권역별",호남권,324,12.5,4.5,13.9,5.6,7.8,4.1,1.3,3,4.2,1.4,0.3,1.4,2.4,0.6,0,0,0,0,277,17.7,3.7,9.1,10.3,11.2,2.2,4.3,2.2,4.5,0.6,2.3,0.6,3,-,0.5,-,0.5,-,614,9.5,3.5,6,2.2,5.1,4.3,0.4,1.3,3.4,1,0.7,0.8,0.8,0.1,-,-,0.2,404,14,7.4,5.3,3.1,3.6,3.6,1.2,1.2,3,1.3,1.2,0.2,0.5,-,-,-,-,0.1,506,13.1,5.5,6.9,1.7,6,2.3,2.8,0.9,2.6,0.5,1.4,1.1,1.3,0.5,0.4,0.4,-,-,449,8.5,7,5.5,2.9,3.3,1.9,2.6,1.3,1.4,0.2,-,-,0.2,0.4,-,-,-
"권역별",대경권,550,9.4,4.6,2.2,4.2,3.9,1.9,3.5,0.2,2.1,0.5,1,0.9,0.4,0.6,0,0.1,0,0,581,15.1,3,3.8,5.8,3.4,4.8,3.5,0.2,1.4,1.3,0.9,0.4,1,0.2,-,0.2,0.2,-,430,15.8,3.6,7.5,4,3,3.4,2.4,0.6,1.8,0.3,0.9,1.4,0.5,0.1,0.5,-,0.3,570,11.7,3.3,5.1,3.9,3.8,4.3,1.5,1.1,2.8,0.9,0.8,0.9,0.7,0.2,0,-,-,-,523,9.8,4.9,5.2,0.9,4.8,2.9,4.1,1.5,4.1,1.1,1.5,0.4,0.2,0.2,-,0.1,0.1,0.1,516,8.6,5.9,3.4,3.1,5,3.4,2.4,3.1,1.9,1.1,0.9,0.7,0.7,-,0.2,-,-
"권역별",동남권,749,8.7,3,4.8,4.4,5.8,6.1,3.1,1.1,3.2,1.3,1.9,1,1.5,0.1,0,0.2,0.7,0,1121,9.7,2.7,2.6,2.2,2.5,1.9,1.6,0.4,1.6,1.2,1.6,0.3,0.9,0.1,-,-,-,-,1020,15.5,2.3,3.8,4,4.2,1.8,1.9,0.6,1.8,1.3,1.8,0.8,0.6,0.2,0.1,0.2,0,960,10.4,3,3.7,2.5,5.4,2.4,1.7,0.3,1.2,0.6,3.2,0.8,0.6,0.2,0.1,-,-,-,682,15.7,5,4.3,2.2,5.9,5.6,5.7,0.7,0.8,0.6,1.6,0.7,-,0.3,-,-,-,-,836,15.8,7.3,3.9,4.4,2.3,1.5,1.7,1.8,1,1,1.4,0.7,0.4,0.2,0.1,0.1,-
"17개 시도별",서울,720,13.8,4.6,6.5,6.5,2.2,2.8,2.7,0.8,0.7,2.7,0.6,0.4,0.1,0.1,0,0.1,0.4,0,695,12.1,2.9,7.1,7.9,3.6,3.7,2.7,0.4,2.6,0.5,1,0.2,0.9,0.3,0.4,-,0.3,-,609,12.6,2.1,4.4,3.1,4.2,2.7,1.6,1,1.1,1.8,1.9,-,0.4,-,-,-,-,691,17.3,6.5,6.3,4.7,3.7,2.1,2.8,0.9,1.5,1.2,1.3,1.1,-,-,0.3,0,-,-,355,15.1,4.5,9.3,5,3.6,1.9,4.1,-,1.4,0.9,2.2,1.3,0.6,-,-,-,-,-,551,9.2,2.6,2.6,4.1,1.9,1.5,2.3,1.3,1.5,1.4,1.2,0.9,0.7,-,0.1,-,-
"17개 시도별",부산,303,9.3,2.9,4.5,6,3.5,7,1.3,0.6,4,0.7,0.9,1.2,1.9,0.1,0,0.4,0.3,0,516,7.7,2.5,2.2,2.5,0.2,0.4,1.7,0.2,0.5,0.8,0.5,0.5,0.8,0.2,-,-,-,-,411,18.7,2.1,4.2,3.8,3.3,2.1,2.4,0.5,1.3,1.9,2.3,0.9,0.2,0.2,-,0.4,-,467,12.5,2.8,1.8,0.8,4.7,3.3,1.7,-,0.9,1.2,2.8,0.2,0.1,-,-,-,-,-,310,16.8,4.6,4.5,1.4,3.5,8.7,4.8,-,0.6,0.7,2.3,0.7,-,0.7,-,-,-,-,319,14.5,4.8,3.2,4.1,1.5,0.8,1.5,2.2,0.3,1.2,1.7,0.8,0.3,0.1,0.3,-,-
"17개 시도별",대구,273,10.2,4.6,3.5,5.5,1.4,1.8,4.4,0,0.5,0,1.2,1,0.2,0.5,0,0.1,0,0,298,14.2,1.7,4.6,5.9,3.7,5.2,4,-,1,1.5,-,-,0.8,0.4,-,-,0.5,-,218,16.8,2.2,8.5,5.9,3.3,3.5,3.3,1,-,-,1.2,1.8,0.7,-,0.7,-,0.7,274,11.3,3.6,3.9,2.9,2.8,5.7,0.8,0.7,1.2,-,0.1,0.8,0.1,-,-,-,-,-,283,8.9,5.3,6.3,0.5,3.7,3.9,1.3,1.6,3.4,0.7,-,0.8,-,0.4,-,0.3,-,-,254,8.3,5.6,1.9,3.2,4.9,1,1.8,3.3,0.2,1.4,0.6,-,0.8,-,0.3,-,-
"17개 시도별",인천,411,12.7,2.5,4.5,7.6,5.3,1.1,1.3,0.1,1.7,3.8,1,0.4,1.2,0.2,0,0.3,0,0,334,16.2,2.9,6,5.7,3.5,1.7,1.4,0.8,2.4,1,1,1.6,0.4,-,-,0.3,-,-,285,12.6,0.5,5.8,1.9,2.1,2.5,2.1,0,2.4,1.2,0.2,1.3,-,-,-,-,-,276,7.3,3.7,3.6,4.3,3.1,1,0.6,-,0.5,1,0.3,3.6,0.9,-,0.9,-,-,-,216,6.6,1.8,3.3,2.4,4.3,4.8,0.5,0.7,1.4,-,1,1.2,-,-,0.4,-,-,-,287,14.8,2.1,3.5,3.8,5.6,3.1,0.8,1.4,1.6,2.7,0.3,0.3,1.2,-,-,-,-
