"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균,표본수,전혀 만족하지 않는다,만족하지 않는다,다소 만족하지 않는다,보통이다,다소 만족한다,만족한다,매우 만족한다,평균
"연령별",60대,1.1,4.3,11.6,34.2,31.1,15.5,2.2,4.45,1336,0.8,3.4,9.3,25,38,20,3.5,4.7,1422,0.6,5.4,13.5,30.2,35.1,13.7,1.6,4.41,1324,1.1,4.9,10.2,28.5,33.1,18.8,3.5,4.6,1377,0.4,5.7,13.2,31.5,30.8,16.5,1.8,4.4,1477,0.8,6.5,14,30.9,31.6,14.3,2,4.4,1707,0.8,3.2,8.1,32.6,36.2,17,2.3,4.6
"연령별",70세이상,1.6,6.1,9.9,35.3,28.8,15.6,2.6,4.41,1309,0.5,2.3,12,22.6,39.6,21,2,4.69,1357,0.7,6.2,14.4,27.9,34.9,13.6,2.3,4.4,1202,1.1,2.8,8,26.8,33,22.9,5.4,4.8,1166,0.4,4.1,9.8,31.4,32.9,19.7,1.6,4.6,1298,1,5.1,12,31.5,35,13.5,2,4.4,1500,0.3,2.4,7.5,34.5,34.8,17.8,2.7,4.7
"학력별",초졸 이하,1.9,8.4,14.8,36.3,24.7,11.7,2.1,4.17,1248,0.7,5.1,14.9,25.5,34,17.8,2,4.48,923,1.6,9.7,14.5,29.8,29.6,13.3,1.5,4.22,1151,1.4,4.3,11.5,34,28.1,17.1,3.7,4.5,1101,0.9,4.8,12,32.9,33.1,14.6,1.6,4.4,1139,1.3,6,14.7,34,31,12,1,4.3,1146,0.5,3.4,8.9,36.4,35,13.4,2.3,4.5
"학력별",중졸,0.8,5.7,11.9,36.3,30.1,12.9,2.3,4.37,1471,1,4.2,14.5,26.4,34.6,17.8,1.5,4.49,1452,1.2,7.1,16.2,31.8,31.3,11.1,1.4,4.24,1164,1.5,4.7,9.4,32.1,30.9,18.1,3.5,4.5,1067,0.5,5.6,11.9,32,29.5,19.1,1.6,4.5,1142,0.7,6.7,14,32.8,29.9,13.5,2.4,4.3,1136,0.8,3.8,10,35.4,32.2,16.1,1.6,4.5
"학력별",고졸,0.9,4.1,10.9,30.9,31.9,19.3,2,4.55,4183,0.3,3.4,10.6,27.2,38.6,17.3,2.5,4.62,4491,0.6,4.9,16.8,27.3,37.3,11.6,1.4,4.36,3940,0.9,4.3,10.9,28.4,35.5,17.9,2.1,4.6,4039,0.9,5.5,11.4,31,33.1,16,2.2,4.5,3927,0.7,5.6,13.4,32.2,32.6,13.3,2.2,4.4,3790,0.8,2.6,8.4,33.2,37.1,16.5,1.6,4.6
"학력별",대졸이상,0.6,2.5,8.9,28.6,37.7,19.4,2.4,4.68,3700,0.7,2.9,11,28.1,37.3,17.6,2.4,4.61,3632,0.6,5.2,19.2,29.2,33.2,11.3,1.4,4.28,3805,0.5,2.9,9,27.1,36.6,17.9,6,4.7,3881,1.1,4.3,10.7,28.7,34,18.5,2.6,4.6,3841,0.9,3.9,10.9,30.5,33.4,17.9,2.5,4.6,3974,0.4,2.1,6.5,30.2,41.8,16.8,2.3,4.7
"동거가구원수별",1인,1.4,6.6,10.6,32,30.5,16.4,2.4,4.42,1178,0.6,3.3,9.1,29.8,35.9,18.9,2.4,4.64,2264,0.6,6.6,17.7,24.7,34.5,14.6,1.3,4.35,1692,0.9,4.3,7.8,29.6,33.8,19.3,4.3,4.7,1902,0.9,6.1,10.6,34.4,31.5,14.6,1.9,4.4,2022,1.1,4.9,13.3,31.6,31.3,15.5,2.3,4.4,1799,0.7,2.5,7.4,32.3,37.7,17,2.3,4.6
"동거가구원수별",2인,1.2,4.5,11.5,30.8,31.9,17,3,4.51,2452,0.7,3.5,11.6,23.9,39.5,18.6,2.3,4.63,2171,0.8,4.6,13,29.3,35.8,15,1.4,4.45,2766,1,3.6,10,26.9,34.1,20.3,4.1,4.7,2581,0.8,4.7,12.2,30.8,31.6,17.9,2.2,4.5,2786,0.7,6.1,12.4,30.7,33.6,14.3,2.1,4.4,3059,0.7,2.6,7.7,33.3,35.6,17.3,2.8,4.6
"동거가구원수별",3인 이상,-,-,-,-,-,-,-,-,6972,0.6,3.5,11.8,27.9,36.7,17.3,2.3,4.58,6063,0.7,5.7,18.4,29.1,34.3,10.3,1.4,4.27,5602,0.8,3.8,10.3,29.4,35.1,16.7,3.8,4.6,5605,1,5,11,29.8,33.8,17.3,2.3,4.5,5241,0.8,4.7,12.5,32.3,32.2,15.3,2.2,4.5,5188,0.5,2.6,7.9,32.1,39.5,15.8,1.6,4.6
"동거가구원수별",3인,1,4.5,10.4,30.4,34.4,17.7,1.6,4.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
