"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,종교활동,잡담/통화하기,사교모임,사회봉사활동,가족 방문,동호회모임,기타 여가활동,클럽/나이트,이성교제,표본수,종교활동,잡담/통화하기,사교모임,사회봉사활동,가족 방문,동호회모임,기타 여가활동,클럽/나이트,이성교제,표본수,종교활동,잡담/통화하기,친구만남,사교모임,사회봉사활동,가족 방문,기타 여가활동,이성교제,표본수,종교활동,잡담/통화하기,친구만남,사교모임,사회봉사활동,가족 방문,동호회모임,기타 여가활동,클럽/나이트,표본수,종교활동,잡담/통화하기,친구만남,사교모임,사회봉사활동,가족 방문,동호회모임,기타 여가활동,표본수,종교활동,잡담/통화하기,친구만남,사교모임,사회봉사활동,가족 방문,동호회모임,기타 여가활동,클럽/나이트
"학력별",초졸 이하,346,15.8,2.5,2.5,0.8,0,1.3,0.6,0.1,0,294,14.8,4.3,1.3,1,0.2,2.9,-,0.6,-,437,20.3,3.2,0.4,5.4,0.7,0.5,0.8,7.1,318,17.7,1.8,2.9,2.8,0.4,0.8,0,1.7,0,234,19.6,1,2.7,0.7,1.1,-,-,1.9,297,18.1,12,6.3,0.8,0.8,0.1,0.4,0.6,-
"학력별",중졸,538,8.8,0.5,3.2,1.3,0.1,1,0.1,0.2,0,603,15.7,2.4,3.3,1,0.1,1.2,-,-,0.2,502,14.6,2.2,0.3,3.8,0.5,0.3,0.2,4.3,411,9.5,3.2,2.4,1.5,0.8,0,1,0.1,0.1,325,13.4,1.5,2,0.5,0.8,-,-,0.2,382,11.9,9,4.5,1.1,1.5,1.3,1.3,-,-
"학력별",고졸,1834,6.9,0.2,2.9,1.3,0,2.5,0.1,0,0.6,2125,7.6,1.6,1.6,0.5,0.1,2.4,0,0,0.4,1921,10.1,1.6,0.7,1.7,1.5,0.2,0.1,1.6,1695,6.6,0.8,1.5,1,1.1,0,1.1,0.3,0,1308,7,0.6,0.8,0.5,1,-,0.6,0.8,1479,7.5,7.9,4.4,0.8,0.8,0.6,0.3,0.2,-
"학력별",대졸이상,1903,4.8,0.3,2.1,0.3,0,2.2,0.1,0,0.6,1991,3.9,0.6,0.6,0.5,0.1,1.5,0.1,0,0.3,1951,5.7,1,1.3,0.7,0.7,0.5,-,1.7,1977,3.8,0.6,1.2,0.5,0.7,0,0.8,0.4,0,1673,3.9,0.1,0.6,0.4,0.9,0,0.3,0.3,1768,4.9,3.8,2.1,0.8,0.7,0.4,0.5,-,-
"동거가구원수별",1인,385,13,0.6,3,1,0,4.1,1.1,0,0.5,1040,10.5,2.8,2.4,0.6,0.2,2.6,0.1,0.2,0.2,814,11.1,2.3,0.4,2,0.7,0.4,0.2,5.2,732,7.7,1.4,2.7,2.2,0.4,0.2,1.1,0.8,0.3,645,7.3,0.2,2,0.8,0.5,-,0.4,0.5,666,11.7,7.3,5,0.7,0.5,0.6,1.3,-,0.1
"동거가구원수별",2인,918,11,0.2,2.3,1,0.1,1.9,0.1,0.2,0.3,947,12.1,2,3.1,0.9,-,2.2,0.2,0.2,0.1,1287,14,1.3,0.7,3.2,0.6,0.3,0.3,2.6,1047,9.9,0.9,2,2.2,0.9,-,1.4,0.6,-,882,9.7,0.2,1.3,0.2,1.4,-,0.4,0.7,1153,10.5,6,4.1,1,0.6,1.3,0.4,0.4,-
"동거가구원수별",3인이상,3318,5.7,0.5,2.6,0.8,0,2.1,0.1,0,0.5,3026,5.9,1.1,0.9,0.5,0.1,1.8,0,-,0.4,2710,7.8,1.5,1,1.2,1.2,0.3,0.1,1.8,2622,5.3,0.9,1.3,0.5,0.8,0.1,0.7,0.3,-,2013,5.5,0.6,0.5,0.5,0.9,0,0.4,0.5,2107,5.7,6.2,3,0.8,0.9,0.3,0.4,-,-
"혼인상태별",미혼,1328,2.7,0.5,0.4,1.3,0,1.9,0.1,0,1.7,1395,2.3,1.1,0.2,0.3,0,1.8,0,0,1.2,1366,2.3,2.4,0.3,0.1,0.3,0.1,-,3.4,1478,1.7,0.6,2.1,0.2,0.1,0,0.7,0.2,0,1201,1.8,0.4,0.9,0.1,0.3,-,0.3,0.3,1084,1.8,4.3,3.7,0.7,0.3,0.2,0.6,0.1,-
"혼인상태별",기혼,3015,7.7,0.2,3.5,0.6,0,2.2,0.1,0,0,2982,8.2,1.3,1.6,0.7,0.1,1.9,0,0,-,2918,11.3,1,1.2,2.4,1.3,0.4,0.1,1.4,2491,7.1,0.8,1.1,1,1.2,0.1,1,0.4,0,1997,8.7,0.4,0.6,0.6,1.3,0,0.3,0.8,2445,8.9,6.9,2.7,0.8,0.9,0.7,0.5,0.1,-
"혼인상태별",사별/이혼/기타,278,19,4,2,1.5,0,3.6,0.9,0,0,636,17,3.2,3.1,0.6,0.1,2.6,0.1,0.1,-,527,19.8,2.5,0.2,2.8,1,0.4,0.7,5.7,432,18.5,3.5,2.7,2.8,0.7,0.2,0.3,1,0.2,342,15,1.3,3,0.7,1.5,-,0.9,0.3,397,14.7,8.4,9.8,1.2,1.3,0.5,0.5,-,-
