"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,스포츠경기 간접관람,스포츠경기 직접관람,온라인게임 경기관람,격투스포츠 경기관람,표본수,스포츠경기 간접관람,스포츠경기 직접관람,온라인게임 경기관람,격투스포츠 경기관람,표본수,스포츠경기 간접관람,스포츠경기 직접관람,온라인게임 경기관람,격투스포츠 경기관람,표본수,스포츠경기 간접관람,스포츠경기 직접관람,온라인게임 경기관람,격투스포츠 경기관람,표본수,스포츠경기 간접관람,스포츠경기 직접관람,온라인게임 경기관람,격투스포츠 경기관람,표본수,스포츠경기 간접관람,스포츠경기 직접관람,온라인게임 경기관람,격투스포츠 경기관람
"가구주여부별",가구주,5001,60,18.9,1.8,3.4,5482,69.1,24.5,0.8,5.4,6563,63.2,15.8,3.9,2.4,5073,58.2,12.6,4.3,3.6,5133,54.4,8.1,3.3,3.6,5163,52,8.9,4.4,2.3
"가구주여부별",가구주 아님,5601,42.7,16.5,1.8,1.4,5016,50.9,18.8,2.8,2.8,3497,52.7,16.5,5.3,1.9,5015,39.3,10.3,5.6,2.2,4916,36.2,5.2,4,2.2,4883,32.6,7.2,5.6,1.5
"종사자지위별",상용근로자,-,-,-,-,-,-,-,-,-,-,2965,68.5,23.9,5.7,2.9,2980,56.6,17.1,5.9,4.2,3102,52.3,10.4,4.4,4.1,3300,46,11.4,6.7,2
"종사자지위별",임시근로자,-,-,-,-,-,-,-,-,-,-,497,58.6,15.6,4,2.1,518,43.4,8.4,6.2,2.1,653,41.9,5.3,3.3,3.1,630,36.8,5.9,4.7,2.3
"종사자지위별",일용근로자,-,-,-,-,-,-,-,-,-,-,165,59,14.6,2.6,1.2,164,47.7,4.8,2.8,2.8,161,46.7,2.9,5.7,3.1,205,41.6,4.3,1.6,0.8
"종사자지위별",고용원이 있는 자영업자,326,62.6,23,1.8,4.1,248,69.6,29.2,1.4,11.7,337,69.9,24.3,3.5,1.8,395,61.4,13.4,4.7,5.6,357,51.2,6.4,1.7,3.1,356,53.9,12.6,5.2,2.4
"종사자지위별",고용원이 없는 자영업자,1540,52.5,9.3,0.4,2.5,1637,64,13.5,0.9,4,2006,59.7,11.4,3.3,2.3,1755,52.1,9.4,2.8,2.3,1805,48.6,4.8,2.4,2.2,1557,48.6,4.9,1.9,1.8
"종사자지위별",무급가족종사자,233,31.9,3.9,0,0.6,139,40.2,8,2.7,1.5,250,44,5.4,1.3,1.9,173,38,1.9,0.1,0,235,32.4,1.3,0.4,0.4,188,35.4,1.1,0.6,-
"종사자지위별",기타종사자,-,-,-,-,-,-,-,-,-,-,47,45.4,10.1,-,-,59,48.8,12.6,7.6,1.1,40,46.9,2.9,-,6.2,53,45.1,13.3,4.9,0.6
"종사자지위별",해당없음(무직),4293,39.9,13.5,1.6,1.4,3857,49.6,15.7,2.5,2.6,3793,50,12.8,4.9,1.6,4044,38.8,8.7,5.5,2,3696,37.1,4.9,4.1,2.2,3757,32.9,6.4,5.4,1.7
"종사자지위별",임금.봉급 근로자,4210,59,24.2,2.5,2.9,4617,65.4,28.5,1.7,4.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득별",100만원 미만,861,25.3,2.3,0.5,0.3,921,40.2,5.7,0.8,1.2,939,40.5,4.6,0.8,1.3,980,30.5,3.3,2,1,999,30.7,2.3,1.5,0.9,1098,25.4,2.2,3.2,0.7
"가구소득별",100~200만원,1075,38.9,4.1,0.9,0.5,1007,47.8,6.5,0.4,1.6,929,52.5,6.2,1.1,1.2,923,38.3,4.1,2.2,1.6,1012,38.7,3.1,1,0.9,824,38.9,2.3,1.1,1.1
"가구소득별",200~300만원,1594,48,13.2,1.8,1.6,1706,57.3,15.3,1,4.1,1613,57.5,13.3,3.5,1.8,1405,48.1,6.9,3.9,2.9,1421,47.4,5,3.1,1.9,1357,39.2,4.9,3.8,1.8
"가구소득별",300~400만원,2437,54.3,18.5,2.3,3,2246,60.5,21,1.4,4.2,2184,59.7,15,4.3,2.1,1824,47.2,10.6,5.8,2.4,1896,46.5,6.2,3.4,2.6,1764,39.3,7.5,4,1.1
"가구소득별",400~500만원,2231,52.2,19.9,1.2,2.2,2214,59.8,22.9,1.7,4.5,1785,59.8,16.9,6.6,2.3,1782,47.9,11.1,4.3,2.5,1611,46.5,7.6,3.9,2.7,1797,42.8,8.2,5.5,2.7
"가구소득별",500~600만원,1356,55,21.4,2.6,2.5,1405,62.9,25.5,3.1,3.8,1394,64.1,21.6,5.4,1.8,1407,50.5,13.6,6.8,2.8,1380,45.2,8.6,4.8,4,1532,43.8,10.2,7.6,2
"가구소득별",600만원 이상,1048,49.7,23.4,1.7,3,999,65.3,33.8,3.5,5.2,1216,60.4,22.9,5.7,3.5,1767,54.1,17.7,6.2,4.4,1730,48.4,8.9,5.3,4.9,1674,44.9,10.9,5.5,2
"지역규모별",대도시,4611,52.2,19.7,2,2.2,4418,55.4,23.7,1.1,3,4235,58.3,17.2,5.4,2.2,4373,50.9,12.7,5.1,2.4,4330,48.9,7.7,2.9,2.3,4331,46,9.9,5.2,2.1
"지역규모별",중소도시,3610,48.6,17.4,2.1,2.7,3524,61.6,21.5,3.1,5.3,3331,59.3,16.1,5.1,2.4,3776,47.1,11.6,5.7,3.7,3486,40.1,7,5.3,3.3,3459,37.7,7.2,5.8,1.8
"지역규모별",읍면지역,2381,47.8,12.4,0.7,1.5,2556,62.2,15.8,1.1,3.6,2494,57.5,14.1,1.9,1.5,1939,41.5,7.6,3.5,2.1,2233,45.6,3.3,2.2,3.3,2256,37.2,4.9,3,1
"권역별",수도권,3289,49.6,18.9,2.3,2.9,3182,56,25.4,2.2,5.3,3179,59,18.8,5.3,1.8,4895,44.5,11.9,5.6,2.8,3135,39.5,8,3.7,2,3107,36.5,6.9,3.6,1.4
"권역별",강원/제주권,762,46.1,16.8,1.5,3.4,786,66.6,20,4.5,8,765,60.8,8.4,1.2,1.6,440,41.1,7.8,7.5,1,777,45.9,4,4.1,0.8,772,39.5,4.1,4.4,1.6
"권역별",충청/세종권,1778,50.5,17.1,1.2,2.1,1772,56.1,17,0.6,4.7,1693,54.2,10.6,4.2,2.4,1115,57.1,11.3,5.2,3.2,1703,64.3,4.3,5.4,7.8,1721,37,9.4,14.6,1.7
"권역별",호남권,1575,65.5,11.8,0.2,0.5,1582,74.2,20.9,0.6,0.4,1447,59,14.9,4.4,3.2,1029,57,9.7,5.5,5.1,1469,42.4,4.8,3.3,3.8,1485,46.7,8.8,3.4,2.7
"권역별",대경권,1302,29.8,12.9,0.6,1.2,1304,81.3,14.5,1.5,3.2,1195,49.6,12.3,1.5,1.4,1047,44.5,8.7,1.8,1.2,1203,47.7,5.8,2.2,1,1200,54.4,8.9,3.6,1.3
"권역별",동남권,1896,55.5,20.5,2.2,1.8,1872,44.4,16.7,2.3,1.1,1781,64.7,16.8,5.5,3.1,1562,49.3,12.9,4.1,2.6,1762,48.3,5.9,3.3,3.4,1761,48,10.4,5.2,3.2
"17개 시도별",서울,1257,50,19.8,1.6,1.5,1220,51.9,27.6,0.9,4.6,1191,58.1,18.1,6.3,2.2,1931,43.7,11.8,6,1.9,1195,43.8,10.9,3,1.9,1164,40,7.9,4.5,1.7
"17개 시도별",부산,751,49.9,24.3,3.6,2.6,734,45.5,19.1,2.9,1.1,693,66.1,16,5.8,3.2,681,57.2,14,4.4,4,691,53.6,4.9,3.7,1.3,690,52.4,9,4.9,4.2
"17개 시도별",대구,633,33.2,17.4,1.1,1.8,638,86.3,19.1,0.7,2.4,584,53.3,13.9,1.9,1.5,490,47.2,10.6,0.9,1.4,580,47.8,4.5,1.3,0.8,580,55.5,10.7,3.9,1.7
"17개 시도별",인천,675,65.2,20,2.7,4.6,637,52.6,22.8,0.7,0.6,644,51.3,14.8,2.8,1.5,556,62.4,12.7,5.4,3.9,624,50.4,6,2.7,1,617,46.7,12.1,4.9,1.4
