RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,TIME_SUFNCY_SATSFC_DGREE_VALUE,INFRA_ND_FCLTY_SATSFC_DGREE_VALUE,ECNM_MRGN_SATSFC_DGREE_VALUE,INFO_SUFNCY_SATSFC_DGREE_VALUE,LSR_LVLH_WHOLE_SATSFC_DGREE_VALUE
53332775,202306,F,20대,강원도,300만원 미만,그런 편이다,그렇지 않은 편이다,그렇지 않은 편이다,그렇지 않은 편이다,보통이다
53338964,202306,F,20대,강원도,300만원 미만,그렇지 않은 편이다,보통이다,그런 편이다,그런 편이다,만족하는 편이다
53346461,202306,M,20대,강원도,300만원 미만,보통이다,매우 그렇다,보통이다,보통이다,보통이다
53350147,202306,F,30대,강원도,300만원 미만,그렇지 않은 편이다,전혀 그렇지 않다,그렇지 않은 편이다,보통이다,만족하는 편이다
53333780,202306,M,30대,강원도,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53349334,202306,M,30대,강원도,300만원 미만,전혀 그렇지 않다,그런 편이다,전혀 그렇지 않다,그렇지 않은 편이다,불만족하는 편이다
53345275,202306,M,30대,강원도,300만원 미만,그렇지 않은 편이다,그렇지 않은 편이다,그렇지 않은 편이다,그렇지 않은 편이다,보통이다
53347497,202306,M,40대,강원도,300만원 미만,그렇지 않은 편이다,전혀 그렇지 않다,그렇지 않은 편이다,그렇지 않은 편이다,보통이다
53366098,202306,F,40대,강원도,300만원 미만,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,불만족하는 편이다
53359870,202306,F,50대,강원도,300만원 미만,보통이다,보통이다,보통이다,보통이다,만족하는 편이다
53363481,202306,F,50대,강원도,300만원 미만,보통이다,전혀 그렇지 않다,그렇지 않은 편이다,보통이다,보통이다
53332910,202306,F,50대,강원도,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53362173,202306,F,60대,강원도,300만원 미만,그런 편이다,그런 편이다,보통이다,보통이다,보통이다
53365661,202306,F,60대,강원도,300만원 미만,그런 편이다,그런 편이다,그런 편이다,그런 편이다,만족하는 편이다
53377142,202306,F,60대,강원도,300만원 미만,그런 편이다,그런 편이다,보통이다,그런 편이다,만족하는 편이다
53326837,202306,M,60대,강원도,300만원 미만,보통이다,보통이다,그렇지 않은 편이다,보통이다,보통이다
53377142,202306,F,60대,강원도,300만원 미만,그런 편이다,그런 편이다,그런 편이다,그런 편이다,만족하는 편이다
53335843,202306,F,60대,강원도,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53326521,202306,F,60대,세종특별자치시,300만원 미만,보통이다,그런 편이다,그런 편이다,그런 편이다,만족하는 편이다
53354039,202306,F,50대,세종특별자치시,300만원 미만,보통이다,보통이다,그렇지 않은 편이다,보통이다,보통이다
53347000,202306,M,20대,울산광역시,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53362107,202306,M,20대,울산광역시,300만원 미만,전혀 그렇지 않다,보통이다,그렇지 않은 편이다,그렇지 않은 편이다,불만족하는 편이다
53340889,202306,M,20대,울산광역시,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53328222,202306,F,30대,울산광역시,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53367824,202306,F,30대,울산광역시,300만원 미만,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,보통이다
53332743,202306,F,30대,울산광역시,300만원 미만,보통이다,그렇지 않은 편이다,보통이다,보통이다,만족하는 편이다
53350903,202306,M,30대,울산광역시,300만원 미만,그런 편이다,그런 편이다,그런 편이다,그런 편이다,만족하는 편이다
53336430,202306,F,40대,울산광역시,300만원 미만,보통이다,보통이다,그렇지 않은 편이다,보통이다,보통이다
