"17개 시도별",부산,690,59,47.9,32.2,12.5,13.1,19.8,13.9,9.2,12.9,3.9,0.8
"17개 시도별",대구,580,58.9,47.2,42.3,21.4,21.2,19.5,17.6,12.5,11.5,3.5,1.4
"17개 시도별",인천,617,44.4,23.8,18.3,15.3,15.3,12.1,8.4,10.8,6.3,3.9,1.6
"17개 시도별",광주,447,39.3,49.8,18.6,19.6,17.1,28.2,23.9,12.1,8.4,1.9,3.7
"17개 시도별",대전,460,52.9,57.6,19.9,20.8,27.6,21.5,17.2,19.8,21.8,2.5,2
"17개 시도별",울산,393,49.4,51.5,30.2,16.5,9.7,15,15,14.9,7.9,5.7,1
"17개 시도별",세종,221,51,66,33.1,24.1,40.3,26.1,17.2,19.7,19.4,8.2,3.8
"17개 시도별",경기,1326,29.1,17.7,15.8,18.3,13.9,9.3,13.6,6.3,7.1,1.5,1.7
"17개 시도별",강원,472,25.8,26.6,10.9,8.4,12.7,22.4,9,6.3,7.3,3,1.2
"17개 시도별",충북,482,48.2,71.4,29.9,34.1,40.4,32.6,24.6,28.5,15.7,5,1.9
"17개 시도별",충남,558,54.4,51.4,30.4,26.3,29.1,34.2,15,29.3,12.3,1.1,1.9
"17개 시도별",전북,523,31.8,41.7,18.9,15.7,17,20.2,21.4,7.3,6.5,3.9,3
"17개 시도별",전남,515,45.7,64,19.3,25.2,17,31.8,45.3,36.9,14.4,5.2,2.4
"17개 시도별",경북,620,70.5,50.7,55.8,12.7,28.9,26,12.3,7.8,16.6,2.7,0.2
"17개 시도별",경남,678,53.3,56.8,25.8,12.3,14.4,24.6,12.2,23.7,9.7,3.5,3.2
"17개 시도별",제주,300,76.6,77,32.7,10.9,17.2,26.3,10,57,7.2,1.3,0.5
"장애여부별",장애등록,151,33.6,26.1,16.6,2,7.2,12,13.2,13.5,3.8,2,-
"장애여부별",미등록,58,11.2,10.7,2.6,4.1,1.9,5.1,3.5,1.3,4.9,-,-
"장애여부별",해당사항없음,9837,41.9,37,23.6,18,18,17.5,15,13.2,10.4,2.8,2.3
"근무 형태",전일제,4189,44.8,44.2,24.6,22.2,19.9,17.9,14.4,13.5,11.2,2.8,2.4
"근무 형태",교대제,287,52.1,49.3,24.8,21.2,12.2,14.7,14,16.2,15.4,4,1.2
"근무 형태",시간 선택제,394,44,34.9,25.2,17.6,18.4,19,16.4,14.2,10.4,2.7,1.3
"근무 형태",해당 없음,1419,36.9,30.1,19.4,14.3,9.7,17.5,12.2,11.5,8.1,2.6,2
"유연 근무제 여부",시행,528,41.5,45.8,25.6,31.3,23.6,17.2,18.9,17.3,15.1,3.8,5.2
"유연 근무제 여부",미시행,2959,47.7,42.5,25.2,20.7,17.8,18.1,14.4,13.8,11,2.8,2.3
"유연 근무제 여부",해당 없음,2802,38.4,37.4,21,16.9,15,17.4,12.4,11.7,9.1,2.6,1.4
