RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,TIME_SUFNCY_SATSFC_DGREE_VALUE,INFRA_ND_FCLTY_SATSFC_DGREE_VALUE,ECNM_MRGN_SATSFC_DGREE_VALUE,INFO_SUFNCY_SATSFC_DGREE_VALUE,LSR_LVLH_WHOLE_SATSFC_DGREE_VALUE
53367343,202302,F,30대,강원도,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53340006,202302,F,30대,강원도,300만원 미만,전혀 그렇지 않다,그렇지 않은 편이다,전혀 그렇지 않다,보통이다,불만족하는 편이다
53361462,202302,M,30대,강원도,300만원 미만,보통이다,보통이다,보통이다,보통이다,만족하는 편이다
53347065,202302,M,30대,강원도,300만원 미만,그렇지 않은 편이다,보통이다,보통이다,보통이다,만족하는 편이다
53333858,202302,M,30대,강원도,300만원 미만,보통이다,보통이다,그렇지 않은 편이다,그런 편이다,보통이다
53339835,202302,M,30대,강원도,300만원 미만,보통이다,전혀 그렇지 않다,그렇지 않은 편이다,그렇지 않은 편이다,보통이다
53322840,202302,M,40대,강원도,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53329860,202302,F,40대,강원도,300만원 미만,그런 편이다,그런 편이다,그런 편이다,그런 편이다,만족하는 편이다
53336187,202302,M,40대,강원도,300만원 미만,그렇지 않은 편이다,그렇지 않은 편이다,그렇지 않은 편이다,그렇지 않은 편이다,보통이다
53373609,202302,M,50대,강원도,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53363481,202302,F,50대,강원도,300만원 미만,그렇지 않은 편이다,보통이다,그렇지 않은 편이다,보통이다,만족하는 편이다
53359894,202302,M,50대,강원도,300만원 미만,그렇지 않은 편이다,보통이다,그렇지 않은 편이다,보통이다,불만족하는 편이다
53359548,202302,F,60대,강원도,300만원 미만,전혀 그렇지 않다,그렇지 않은 편이다,전혀 그렇지 않다,그렇지 않은 편이다,보통이다
53332350,202302,F,60대,강원도,300만원 미만,그렇지 않은 편이다,보통이다,그렇지 않은 편이다,보통이다,보통이다
53349704,202302,M,60대,강원도,300만원 미만,그런 편이다,보통이다,보통이다,보통이다,보통이다
53335843,202302,F,60대,강원도,300만원 미만,보통이다,그렇지 않은 편이다,보통이다,그렇지 않은 편이다,보통이다
53369206,202302,M,60대,세종특별자치시,300만원 미만,보통이다,그렇지 않은 편이다,보통이다,보통이다,보통이다
53345552,202302,F,50대,세종특별자치시,300만원 미만,그렇지 않은 편이다,그렇지 않은 편이다,그렇지 않은 편이다,그렇지 않은 편이다,보통이다
53343129,202302,M,30대,세종특별자치시,300만원 미만,보통이다,그렇지 않은 편이다,전혀 그렇지 않다,보통이다,보통이다
53336858,202302,F,20대,울산광역시,300만원 미만,그렇지 않은 편이다,전혀 그렇지 않다,그렇지 않은 편이다,그렇지 않은 편이다,불만족하는 편이다
53359602,202302,M,20대,울산광역시,300만원 미만,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,매우 불만족한다
53366938,202302,M,30대,울산광역시,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53355509,202302,F,20대,울산광역시,300만원 미만,그렇지 않은 편이다,그렇지 않은 편이다,그렇지 않은 편이다,보통이다,보통이다
53360358,202302,M,20대,울산광역시,300만원 미만,보통이다,보통이다,그렇지 않은 편이다,그런 편이다,보통이다
53339331,202302,F,40대,울산광역시,300만원 미만,보통이다,그렇지 않은 편이다,그렇지 않은 편이다,그렇지 않은 편이다,불만족하는 편이다
53343270,202302,F,40대,울산광역시,300만원 미만,보통이다,전혀 그렇지 않다,그렇지 않은 편이다,그렇지 않은 편이다,불만족하는 편이다
53374854,202302,M,40대,울산광역시,300만원 미만,보통이다,그런 편이다,보통이다,그런 편이다,만족하는 편이다
53376709,202302,M,40대,울산광역시,300만원 미만,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,전혀 그렇지 않다,매우 불만족한다
53332122,202302,M,40대,울산광역시,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53326867,202302,M,50대,울산광역시,300만원 미만,보통이다,보통이다,보통이다,보통이다,만족하는 편이다
53333269,202302,M,50대,울산광역시,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53349093,202302,F,60대,울산광역시,300만원 미만,보통이다,보통이다,그렇지 않은 편이다,보통이다,보통이다
53334967,202302,M,60대,울산광역시,300만원 미만,보통이다,보통이다,그렇지 않은 편이다,보통이다,보통이다
53339280,202302,F,60대,울산광역시,300만원 미만,보통이다,그렇지 않은 편이다,그렇지 않은 편이다,보통이다,보통이다
53360139,202302,M,60대,인천광역시,300만원 미만,그렇지 않은 편이다,보통이다,보통이다,보통이다,보통이다
53350073,202302,F,60대,인천광역시,300만원 미만,전혀 그렇지 않다,보통이다,그렇지 않은 편이다,그렇지 않은 편이다,불만족하는 편이다
53361817,202302,F,60대,인천광역시,300만원 미만,그렇지 않은 편이다,그렇지 않은 편이다,보통이다,보통이다,보통이다
53372579,202302,F,60대,인천광역시,300만원 미만,그런 편이다,그렇지 않은 편이다,그렇지 않은 편이다,보통이다,보통이다
53350893,202302,F,60대,인천광역시,300만원 미만,보통이다,그렇지 않은 편이다,보통이다,보통이다,보통이다
53335375,202302,F,60대,인천광역시,300만원 미만,그런 편이다,그런 편이다,그런 편이다,그런 편이다,만족하는 편이다
53344391,202302,F,60대,인천광역시,300만원 미만,그런 편이다,보통이다,보통이다,보통이다,만족하는 편이다
53343118,202302,M,60대,인천광역시,300만원 미만,그런 편이다,보통이다,그렇지 않은 편이다,보통이다,보통이다
53348783,202302,F,60대,인천광역시,300만원 미만,보통이다,보통이다,보통이다,보통이다,보통이다
53328067,202302,F,50대,인천광역시,300만원 미만,그런 편이다,그런 편이다,그런 편이다,그런 편이다,만족하는 편이다
53356708,202302,F,50대,인천광역시,300만원 미만,그런 편이다,그렇지 않은 편이다,보통이다,그런 편이다,보통이다
53359774,202302,F,50대,인천광역시,300만원 미만,보통이다,그런 편이다,그렇지 않은 편이다,보통이다,보통이다
53364878,202302,M,50대,인천광역시,300만원 미만,그렇지 않은 편이다,보통이다,그렇지 않은 편이다,그런 편이다,만족하는 편이다
53343126,202302,F,50대,인천광역시,300만원 미만,보통이다,보통이다,그렇지 않은 편이다,보통이다,보통이다
53335198,202302,F,40대,인천광역시,300만원 미만,그런 편이다,그런 편이다,그런 편이다,보통이다,만족하는 편이다
53340140,202302,F,40대,인천광역시,300만원 미만,그런 편이다,그런 편이다,그렇지 않은 편이다,보통이다,만족하는 편이다
53347006,202302,M,40대,인천광역시,300만원 미만,그렇지 않은 편이다,보통이다,그렇지 않은 편이다,보통이다,보통이다
