"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,배드민턴/줄넘기,헬스/에어로빅,볼링/탁구,농구/배구,당구/포켓볼,육상/조깅,골프,수영,요가/필라테스,사이클링,테니스/스쿼시,스노보드,격투스포츠,인라인스케이트,윈드서핑/수상스키,댄스스포츠,승마/암벽등반,아이스스케이트,표본수,배드민턴/줄넘기,헬스/에어로빅,볼링/탁구,농구/배구,당구/포켓볼,육상/조깅,골프,수영,요가/필라테스,사이클링,테니스/스쿼시,스노보드,격투스포츠,인라인스케이트,윈드서핑/수상스키,댄스스포츠,승마/암벽등반,아이스스케이트,표본수,배드민턴/줄넘기,헬스/에어로빅,볼링/탁구,농구/배구,당구/포켓볼,육상/조깅,골프,수영,요가/필라테스,사이클링,테니스/스쿼시,스노보드,격투스포츠,인라인스케이트,윈드서핑/수상스키,댄스스포츠,승마/암벽등반,아이스스케이트,표본수,배드민턴/줄넘기,헬스/에어로빅,볼링/탁구,농구/배구,당구/포켓볼,육상/조깅,골프,수영,요가/필라테스,사이클링,테니스/스쿼시,스노보드,격투스포츠,인라인스케이트,윈드서핑/수상스키,댄스스포츠,승마/암벽등반,아이스스케이트,표본수,배드민턴/줄넘기,헬스/에어로빅,볼링/탁구,농구/배구,당구/포켓볼,육상/조깅,골프,수영,요가/필라테스,사이클링,테니스/스쿼시,스노보드,격투스포츠,인라인스케이트,윈드서핑/수상스키,댄스스포츠,승마/암벽등반,아이스스케이트,표본수,배드민턴/줄넘기,헬스/에어로빅,볼링/탁구,농구/배구,당구/포켓볼,육상/조깅,골프,수영,요가/필라테스,사이클링,테니스/스쿼시,스노보드,격투스포츠,인라인스케이트,윈드서핑/수상스키,댄스스포츠,승마/암벽등반,아이스스케이트
"연령별",60대,1336,14.1,8.4,2.7,2.4,2.8,6.7,4.6,9.1,5.6,3.2,0.6,0.4,0.2,0.1,0.1,3.4,0.3,0.1,1422,20.3,12.1,4.6,1.8,5.5,7.9,4.8,11.4,6.8,3.4,1,0.1,0.8,0.3,0.1,2.2,0.2,-,1324,15.9,8.7,2.7,2.4,2.7,9.4,4,5.5,4.6,3.4,0.3,0.1,0.1,0,0.2,2.1,0.1,0,1377,18.4,11.9,3.9,3.6,4.5,7.8,4,6.9,6.1,4.6,0.6,0.4,0.3,0.3,0.3,2,0.1,0.4,1477,16.2,6.6,2.1,1.6,4.4,5.1,4.1,2.6,3.7,4.1,0.7,0.2,0,0.2,0.4,0.9,0.1,0.2,1707,14.8,6.6,4.6,2.4,4.4,5.1,5.9,4.3,3,3.6,1.2,0.2,0.2,-,-,1,0.1,0.1
"연령별",70세이상,1309,12.8,3.1,1.1,0.4,0.6,4.2,0.7,4.5,4.4,2.2,0.3,0.2,0.1,0.1,0.1,2.5,0.4,0.2,1357,17.7,1.9,1.3,0.4,1,4,0.6,5,1.8,1.6,0.3,0.2,0.2,-,0.2,2,-,0.1,1202,16.1,4.7,2.2,0.6,0.8,6,1.3,2.9,4.2,1.1,0.2,0.1,0.1,-,0.1,1.2,0.1,-,1166,16.7,4.1,2,1,1.2,4.6,1.4,4,6,2.3,0.6,0,0.3,0.1,0,1.2,0.1,0.4,1298,16.6,2.3,1.2,0.2,0.7,2.4,0.6,2.4,2.4,1.9,0.4,0.1,0.3,-,0.1,1.4,-,0.2,1500,13.4,2.5,1,0.5,0.9,3.5,1.5,3.9,2,1.1,0.3,0.1,0.2,-,0.1,0.9,-,0.1
"학력별",초졸 이하,1248,12.4,1.9,3.6,8.1,2.6,3.4,0.6,4.7,4.9,2.5,0.4,1.1,1,1.5,0.2,1.4,0.5,0.3,923,15.5,2.2,3.8,5.7,2,2.7,0.2,5.6,3.9,1.8,0.8,0.6,1.8,1.6,0.3,3.1,0.1,0.8,1151,17.8,2.6,2.8,6,1.4,5.1,0.3,3.2,4.5,1.6,0.1,0.5,0.8,0.3,0.5,0.4,-,0.4,1101,19.7,3.2,2.3,4.5,1.2,4.2,0.8,5.3,6.7,1.3,0.6,0.3,1.6,0.4,0,1.2,0.1,0.2,1139,15.3,1.5,1.9,4.4,1,2.4,0.3,1.6,2.3,2.2,0.2,0.3,1.3,0.1,-,0.9,0.1,0.2,1146,15.7,1.7,2.7,4.4,1.2,1.9,0.1,2.2,1.9,1.5,0.6,0.6,1.2,1.2,0.2,0.5,0.2,0.1
"학력별",중졸,1471,17.2,5.5,4.5,14.5,5,7.8,0.8,9.9,4.1,4.1,1.1,2.9,2,2.2,0.5,1.7,0.6,0.5,1452,21.7,5.1,6.7,17.2,4.2,6.8,1.1,7.8,2.5,3.5,0.9,3,1.7,2.9,1.1,1.5,0.3,0.5,1164,19.3,8.5,8,13.5,3.7,8.9,1,3.7,3.4,2,0.7,1.2,2.9,0.5,1.5,1.5,0.8,0.7,1067,23.4,8.8,6.7,12.1,4.6,8.4,1.6,4.3,5.3,4.1,0.6,1.4,2.2,1.2,0.9,1.6,0.4,0.4,1142,19.3,4.9,4.8,11,2.8,5.9,1.5,2.4,2.3,3,0.3,0.1,1.7,0.2,0.3,0.5,0,0.6,1136,17,4.9,4.7,10,2.4,4.9,1.7,4.3,1.9,2.6,0.7,0.8,1.5,1.5,0.3,0.6,0.3,0.5
"학력별",고졸,4183,18.7,12.6,9.6,10.5,11.9,7.2,3,9.5,7.4,4.6,1.7,3.5,1.4,2.2,1,2.4,0.4,0.7,4491,19.4,14.2,11.6,10.3,13.9,8.2,4.3,10.3,7,3.4,1.3,2.6,0.7,0.9,1.3,1.3,0.3,0.5,3940,14.9,14.8,8.8,10,10.5,9.3,2.9,5.2,6.5,3.7,0.9,2.5,1.2,0.5,1.9,1.7,0.3,0.7,4039,19.1,15.5,10.7,10.7,10,8.8,3.6,6.1,6.9,4.9,0.9,2.1,1.6,0.9,1.1,1.5,0.5,0.9,3927,16,12,7,7.7,7.8,5.5,3.6,3.1,5.5,3.5,0.8,0.8,1.1,0.3,0.7,0.9,0.1,0.1,3790,15.3,11.5,8.9,7.8,7.7,6.4,4.6,5.6,4.3,3,1.1,1,1.3,0.8,0.6,0.5,0.2,0.3
"학력별",대졸이상,3700,19.5,15.9,14.2,10.5,18.2,8.7,8.7,11.8,8.7,6.2,2.8,6.4,1.3,1.8,2,1.4,1,0.7,3632,20.2,23.6,17.1,12.5,17.8,12.1,10.1,16.2,12.8,5.4,2.7,5.9,1.9,1.8,3.8,1.1,1.4,0.7,3805,15.4,20.2,13.5,13.1,14,10.7,8.1,9.2,10.9,4.7,2.1,3.8,1.2,1.1,3.4,1.9,0.8,0.6,3881,21.6,21.9,13.5,11.4,12.5,11.3,8.6,10.1,11.5,6,2,4,1.7,1.4,2.3,1.3,1.1,0.9,3841,16.5,19.4,8.6,9.4,8.7,6.7,8.8,5.2,9.1,4.6,1.5,1.9,1.1,0.6,0.9,0.8,0.7,0.3,3974,17,17.4,11.2,10,9.8,7.9,10.3,6.8,8,4.9,2.5,2.1,1.1,1.2,1.2,0.8,0.8,0.5
"동거가구원수별",1인,1178,10.9,7.6,7.7,7.7,10.6,4.8,1.9,8,6.5,3.6,1,3.9,1.2,1.3,1.3,2.5,0.3,0.9,2264,18.3,12.1,9.8,8.1,12.4,9,3.1,9.6,7.1,3.8,1.1,4,1.2,0.8,2.7,1.6,0.6,0.9,1692,14.3,11.1,7.6,8.4,10.5,6.4,2.9,3.9,4.6,2.6,0.3,1.1,0.9,0.3,1.6,1.3,0.1,0.2,1902,16.8,10.9,8,7.2,9.3,7.2,2.8,4.5,6.1,3.6,1,1.4,1.4,0.6,1,1.2,0.8,0.4,2022,14.9,13,6.5,7.1,7.9,6.2,3.8,3.4,5.1,3.9,0.9,1.2,0.9,0.4,0.9,0.7,0.6,0.5,1799,15.5,11.8,7,6.7,7.1,5.3,3.3,4.5,5.2,3.6,1.2,1.6,0.6,0.3,0.9,0.5,0.4,0.4
"동거가구원수별",2인,2452,15.8,7.8,5,3.5,4.7,5.3,2.6,7.9,5.8,4,0.9,1.3,0.3,0.5,0.3,2.3,0.6,0.4,2171,16.6,8.2,5.9,3.8,6.5,7.8,3.1,9.1,5.7,2.2,0.9,1.5,0.7,0.2,1.4,2,0.5,0.3,2766,16.7,11.3,5.7,5.5,6.9,8.3,4,4.9,5.8,3.4,0.9,1.3,0.5,0.4,1.3,1.5,0.2,0.2,2581,17.9,11.5,5.8,4.8,6.2,7.2,4.4,6.4,7.3,3.4,1.1,0.9,0.7,0.5,0.7,1.5,0.3,0.4,2786,16.1,8.8,4.4,4.9,4.6,4.7,4.5,3.5,5.2,3.3,1.2,0.6,0.6,0.1,0.4,0.8,0.4,0.1,3059,15.4,7.9,5.7,3.6,4.9,5.4,5,4.4,4.2,3.1,1.3,0.4,0.6,0.2,0.5,1,0.1,0.1
"동거가구원수별",3인이상,6972,19.2,13.2,11.4,12.5,14.5,8.1,5.3,10.6,7.6,5.2,2.2,5,1.7,2.3,1.4,1.7,0.7,0.7,6063,20.6,17.8,14.4,14,15,9.4,6.7,12.7,9.1,4.5,2,4.1,1.5,1.9,2.2,1.2,0.8,0.6,5602,15.8,17,11.9,13.7,11.5,10.2,4.9,7.3,8.9,4,1.5,3.4,1.7,0.9,2.8,1.7,0.7,0.8,5605,21.9,18.1,12.3,12.7,10.6,10.1,5.6,8,9.2,5.5,1.4,3.2,2,1.3,1.7,1.4,0.8,1,5241,17.1,15.2,8.2,10.4,7.9,6.1,5.7,3.9,7.1,3.9,0.9,1.3,1.5,0.5,0.8,0.9,0.3,0.3,5188,16.7,14.3,10.3,10.9,8.5,7.1,7.1,6.3,5.9,3.9,1.7,1.7,1.5,1.5,0.9,0.6,0.6,0.5
"혼인상태별",미혼,2805,21.4,13.6,18.6,25.8,23.6,9.3,1.5,11.5,7.8,6.1,2.4,9.5,3.4,4.3,2.7,1,0.9,1.4,2925,18.6,18.2,22.3,27,22.1,9.6,1.7,12.3,10.4,5.2,2.7,8.4,3,4.1,4.6,0.7,1.2,1.5,2901,15.7,20.5,19.1,22.4,17.4,10.9,1.6,6.9,7.5,4.2,1.3,5.6,3.7,1.1,4.3,0.7,1.2,1.2,3041,22.7,23.7,21.1,22.9,16.7,12.2,2.7,6.6,8.9,5.5,1.6,5,4.4,1.6,2.7,1.4,1.5,1.3,2959,16.2,21.4,13.5,17.8,11.6,8.5,2.9,3.6,7.3,3.8,1.1,2.4,2.8,0.6,1.4,0.7,0.5,0.5,2704,18.1,21.4,15.5,19.1,11.4,8.5,3.6,6.2,8,4.2,1.8,2.9,3.2,1.7,1.8,0.3,0.9,0.7
"혼인상태별",기혼,6831,17.5,12.1,7.5,5.6,9.2,7.1,6.2,9.8,7,4.9,1.9,2.6,0.7,1.2,0.7,2,0.6,0.4,6121,20.5,16.1,9.7,6.6,11,9.1,7.9,12.2,8,3.7,1.4,2.2,0.7,0.6,1.3,1.6,0.6,0.3,5965,15.7,14,7.1,7.5,8,9.3,6.1,6.4,8.3,3.8,1.3,1.7,0.5,0.6,1.7,2,0.3,0.4,5713,20.1,14.4,7.4,6.6,7.6,8.5,6.7,8.1,9,4.9,1.2,1.9,0.8,1,1.1,1.4,0.4,0.7,5702,16.7,10.6,4.5,4.9,5.4,4.7,6.8,4.1,6.2,3.9,1,0.6,0.5,0.3,0.4,0.9,0.3,0.1,6093,15.7,9.6,6.8,5.1,6.3,6,8,5.8,4.7,3.7,1.6,0.9,0.5,0.9,0.5,0.9,0.3,0.3
"혼인상태별",사별/이혼/기타,966,11.7,3.8,2.7,1.2,1.7,3.3,2,5.9,8.1,0.9,0.4,0.3,0.1,0.2,0.3,3.5,0.2,0.1,1452,17.6,4.4,2.1,1.7,2.8,6.6,2,7.2,4.5,2.1,0.9,0.2,0.6,-,0.5,1.9,0.1,0.1,1194,18.1,5.3,1.9,1.9,3.5,5.7,2.4,5.2,4.4,1.7,0.8,0.2,0,-,0.3,1.9,0.1,-,1334,17.7,6.1,2.2,2,2.5,5.6,1.1,4.9,4.8,3,0.6,0.3,0.3,0.3,0.2,1.4,0.1,0.2,1388,16.3,4,2.2,1.9,3.2,4,2.4,2.2,3.8,2.8,0.1,0.2,0.4,-,0.3,0.9,0.1,0.3,1249,14.3,3.9,2.4,1.3,2.5,3.6,1.6,2.2,2.1,1.5,0.5,0.1,-,-,-,0.5,-,-
