"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,기타,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,기타,표본수,매일,일주일에 몇 번 매일은 아님,한달에 2~3번,한달에 1번,몇 달에 1번,기타
"학력별",대졸이상,0,76.1,20,2.9,0.9,0.1,3700,81.8,14.2,3.6,0.4,0,3632,79.8,16.3,2.9,0.9,0.1,3805,72.2,25.8,1.9,0.1,0,3881,69.5,20.2,5.5,3.2,1.5,0.1,3841,73.3,18.9,3.9,2.2,1.6,0.1,3974,54.4,31.1,8.8,3.6,2.1,-
"동거가구원수별",1인,0,84.6,13.2,1.8,0.4,0,1178,86.6,11.3,1.7,0.4,0,2264,86.9,10.6,2.2,0.3,-,1692,82.1,16.9,1,0,0,1902,82.1,13.2,3.2,0.7,0.7,0.1,2022,83.4,13.1,2,1.1,0.4,-,1799,67.6,23.5,5.3,2.4,1.1,-
"동거가구원수별",2인,0,87.1,10.5,1.7,0.6,0.1,2452,86.6,11.4,1.5,0.4,0.1,2171,89,9.8,1.2,0.1,0,2766,80.3,18.5,0.9,0.3,0,2581,76.8,16.6,3.7,1.8,1,0.1,2786,79.9,14,3.1,1.8,1.2,-,3059,64.6,24.4,6.5,2.2,2.2,-
"동거가구원수별",3인이상,0,0,0,0,0,0,6972,83.9,13.1,2.6,0.3,0.1,6063,82.8,14.2,2.3,0.7,0.1,5602,75.7,22.8,1.4,0.1,0.1,5605,71.4,19.8,4.8,2.4,1.5,0.1,5241,75.6,17.9,3.4,1.8,1.3,0.1,5188,57.4,29.8,7.8,3.2,1.8,-
"동거가구원수별",3인,0,81.2,15.5,2.6,0.7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"동거가구원수별",4인,0,78.7,18.2,2.4,0.7,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"동거가구원수별",5인 이상,0,80.3,15.3,3.4,0.7,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"혼인상태별",미혼,0,78.6,18.9,2.4,0.2,0,2805,84.9,12.5,2.3,0.2,0.1,2925,82.4,14.7,2.3,0.6,-,2901,77.3,21.5,1.1,0,0.1,3041,72.2,20.1,4.2,2.2,1.3,0,2959,75.6,19,2.9,1.5,1,-,2704,52.7,34.5,8.4,2.7,1.8,0.1
"혼인상태별",기혼,0,81.8,14.8,2.4,0.9,0.1,6831,84,13,2.6,0.4,0.1,6121,84.1,13.1,2.2,0.6,0.1,5965,76.5,22,1.4,0.1,0,5713,72.6,18.7,4.8,2.4,1.4,0.1,5702,77.2,16.1,3.5,1.9,1.3,0.1,6093,61.5,26.1,7.3,3.1,2,-
"혼인상태별",사별/이혼/기타,0,89.5,8.9,1,0.4,0.2,966,88.1,10.6,1,0.3,0.1,1452,91,7.7,1.2,0,-,1194,84.2,14.5,0.7,0.5,0,1334,82.9,13.2,2.6,0.6,0.6,0,1388,88,8.7,1.9,1.1,0.3,-,1249,74.2,19.7,3.3,1.7,1,-
