"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,매우 불만족 했다,불만족 했다,다소 불만족 했다,보통이다,다소 만족 했다,만족했다,매우 만족 했다,평균,표본수,매우 불만족 했다,불만족 했다,다소 불만족 했다,보통이다,다소 만족 했다,만족했다,매우 만족 했다,평균,표본수,매우 불만족 했다,불만족 했다,다소 불만족 했다,보통이다,다소 만족 했다,만족했다,매우 만족 했다,평균,표본수,매우 불만족 했다,불만족 했다,다소 불만족 했다,보통이다,다소 만족 했다,만족했다,매우 만족 했다,평균,표본수,매우 불만족 했다,불만족 했다,다소 불만족 했다,보통이다,다소 만족 했다,만족했다,매우 만족 했다,평균,표본수,매우 불만족 했다,불만족 했다,다소 불만족 했다,보통이다,다소 만족 했다,만족했다,매우 만족 했다,평균
"학력별",초졸 이하,1248,2.4,7,17.2,29.7,25.8,13.9,4,4.27,923,1.1,4.9,13.5,29.1,30.8,18.4,2.2,4.47,1151,2.6,9.1,16.7,34.3,21.9,12.4,3,4.1,1101,5.5,11.3,16.1,36.8,19.3,9.1,2.1,3.9,1139,4.5,11.2,15.7,38,20.2,9.2,1.1,3.9,1146,5.9,8.1,14.4,36.4,21.5,10.8,3.1,4
"학력별",중졸,1471,1.3,5.3,12,28.6,32.3,17.8,2.8,4.5,1452,1,4.7,11.2,27.2,30.8,20.2,4.9,4.62,1164,1.3,5.6,16.6,35.4,25.3,13,2.7,4.3,1067,2.7,8.5,17,35,22.9,11.3,2.6,4.1,1142,3.2,9.4,17.8,34.4,21.6,11,2.6,4.1,1136,2.7,6.9,15.4,33.6,23.5,14.7,3.2,4.3
"학력별",고졸,4183,0.7,3.3,12.3,24.6,34.5,19.2,5.3,4.68,4491,0.8,2.4,9,27.9,33.1,22.6,4.2,4.75,3940,1.2,6,16.6,31.8,26.6,14.4,3.3,4.3,4039,1.9,8,14.6,34.3,24.8,14.2,2.1,4.2,3927,1.9,8.7,17.6,34.2,23.6,12.2,1.9,4.1,3790,2.2,4.8,12.8,34.9,26,14.9,4.5,4.4
"학력별",대졸이상,3700,1.1,3.4,10.8,24.7,34.6,21.2,4.2,4.69,3632,0.7,2.5,9.2,27.3,34.2,22.4,3.8,4.74,3805,1.6,5,14.1,34.1,25.4,15.2,4.6,4.4,3881,1.8,8.5,13.1,33.3,25.7,14,3.5,4.3,3841,1.6,9.2,15.1,33.2,23.6,14.7,2.6,4.2,3974,2.1,5.2,12.5,31.8,26.8,16.7,5,4.5
"동거가구원수별",1인,1178,2.6,5.4,15.6,30.9,28.3,14.9,2.3,4.31,2264,1.1,3.1,10.9,29,31.2,20.7,4.1,4.65,1692,2.7,6.2,15.3,33,24.2,14,4.7,4.3,1902,3.6,9.9,14.5,37.1,22.2,10.7,1.9,4,2022,3,9.7,15.4,36.3,21.8,11.7,2.1,4.1,1799,4.6,6.8,12.8,37.2,22.7,11.8,3.9,4.2
"동거가구원수별",2인,2452,1.2,4.4,12.2,28.1,31.9,19,3.3,4.55,2171,0.9,2.7,9.7,28,31.8,21.7,5.1,4.73,2766,1.4,6.2,14.9,33,25.6,15.3,3.6,4.4,2581,2.2,9.2,15.8,34.3,22.5,12.8,3.3,4.2,2786,2.1,9.4,15.3,34.8,23.3,13.2,1.9,4.1,3059,2.9,5.7,13.9,34.2,23.6,15,4.7,4.3
"동거가구원수별",3인이상,6972,0.9,3.7,12,24.8,34.1,19.6,4.8,4.66,6063,0.7,2.9,9.5,27.4,33.6,22.2,3.7,4.72,5602,1.3,5.7,16,33.5,25.7,14.1,3.7,4.3,5605,2.2,8.2,14,33.9,25.3,13.8,2.6,4.2,5241,2,9,17.3,33.3,23.3,12.9,2.3,4.1,5188,2.2,5.2,12.8,32.9,26.8,15.8,4.4,4.4
"혼인상태별",미혼,2805,1,4.3,12.4,24.2,34,19.8,4.4,4.63,2925,1,3.6,10.1,29,30.6,22.4,3.3,4.65,2901,1.9,6.4,15.7,34.5,24,13.6,3.8,4.3,3041,2.1,8.7,13.5,35.4,23.9,13.8,2.6,4.2,2959,2,9.7,17.8,33.1,22.4,12.2,2.8,4.1,2704,2.6,6,13.3,33.6,25,14.9,4.5,4.4
"혼인상태별",기혼,6831,1,3.6,11.8,25.4,33.9,19.7,4.7,4.65,6121,0.7,2.5,9.2,26.7,34.3,22.4,4.2,4.76,5965,1.2,5.6,15.5,32.6,26.4,15,3.8,4.4,5713,2.3,8.6,14.7,33.3,24.7,13.5,2.9,4.2,5702,1.9,8.9,16.5,33.7,23.9,13.2,2,4.2,6093,2.3,5,13.1,33.2,26.1,15.8,4.5,4.4
"혼인상태별",사별/이혼/기타,966,2.3,5.9,15.8,34.4,26.4,13.2,2.1,4.24,1452,1,3.5,11.6,30.9,31.9,16.9,4.3,4.57,1194,2,6.3,16.9,34.6,24.2,12.6,3.4,4.2,1334,3.2,8.5,15.3,37,23.7,10.7,1.7,4.1,1388,4.1,9.4,13,39.2,20.6,12,1.7,4.1,1249,4.5,7.4,12.8,36.3,24,11.6,3.4,4.2
