"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타,표본수,시간이 부족하여,경제적 부담때문에,여가 정보 및 프로그램이 부족하여,이전 경험이 부족해서,여가 시설이 부족하여,여가를 함께 즐길 사람이 없어서,기타
"연령별",70세이상,239,16.7,59.6,4.6,9.4,3.1,6.6,0,528,14.6,42.8,10.2,16.9,5.6,9.9,0,657,14.4,42,5.8,17.8,3.9,15,1.1,465,13.2,37.2,9,18.5,5.4,11.1,5.6,550,15,43.5,8.3,13.5,3.1,10.5,6.1,616,13.6,37.2,12.6,13.1,4.9,13.8,4.7,683,9.6,43.5,11.5,15.3,6.8,10.2,3.1
"학력별",초졸 이하,323,31.5,49.5,4.1,6.5,3.1,5.3,0,576,24.2,38.9,9.5,15.4,5.8,6.1,0,528,22.1,40.8,6,13.3,4.4,11.5,1.9,572,24.5,35.1,7.2,14.3,5.6,8.4,4.8,576,20.6,42.3,6.9,12,3.6,10,4.6,606,17,34.3,9.9,15,5.8,12.3,5.8,557,15.9,39.1,10.7,16.3,4.9,9.5,3.6
"학력별",중졸,217,56.6,28.3,3.7,6,2,3.3,0,709,54.2,29.1,4.7,5.3,3,3.6,0,788,43.9,29.7,5.6,9.6,4.8,6.3,0.1,558,47,31.2,5.1,7.5,3.9,4.1,1.2,542,41.7,37,5.4,6.3,2.4,4.4,2.8,604,40.5,33.3,7.1,5.9,5.3,5.9,2,569,43.1,31.4,4.6,7.3,5.2,6.8,1.5
"학력별",고졸,646,43.3,45,4,3,3.3,1.3,0,1817,48,36,6.6,2.7,4.4,2.3,0,2119,48,33.9,5.6,5.4,3.8,3,0.2,1732,50.7,32.4,4.9,5.7,3.3,2.4,0.6,2015,48.3,34.5,5.9,3.6,2.6,2.5,2.6,2015,47.2,31.8,7.4,3.3,2.7,4.3,3.4,1680,38,36,8,6.8,6.5,3.6,1.1
"학력별",대졸이상,411,53.2,34.4,6.7,2,1.5,2.2,0,1623,61.5,28.2,4,1.7,3.8,0.9,0,1839,63.2,23.4,4.7,2.7,3.2,2.5,0.3,1531,61.7,22.3,5.4,2.2,2.9,4.7,1,1735,62.9,23.1,4.8,2.2,2.7,2.4,1.9,1739,60,20.2,7.1,1.7,3.1,2.7,5.3,1542,50.2,30.6,7,3.1,4.7,3.7,0.7
"동거가구원수별",1인,207,19,64.6,4.6,2.6,3.2,5.9,0,522,33.5,31.3,9.7,10.4,5.3,9.9,0,1090,37.5,34.1,5.9,8.5,3.1,10.4,0.4,715,31.7,36.5,5.5,7.5,4.2,12.4,2.2,993,30.3,43.3,5.1,5.4,2.7,10.5,2.7,991,32.1,36.3,7.5,5.3,3.6,11.8,3.4,763,25.2,37.2,6.4,9,5.6,14.1,2.4
"동거가구원수별",2인,376,36.3,44.5,5.8,5.2,4.2,4.2,0,1032,36.4,38.2,6.8,9.3,4.6,4.8,0,1033,34.8,35,5,11.8,5.6,6.9,1,1175,39.9,33.8,6.3,9.2,4.3,4.9,1.6,1260,39.7,35,6.9,7.3,3.4,4.2,3.5,1367,42.3,29.3,8.5,7.3,3.6,4.7,4.4,1354,28.5,37,10.6,10.8,5.9,5,2.1
"동거가구원수별",3인 이상,0,0,0,0,0,0,0,0,3171,55.5,31.4,5.2,2.5,4,1.4,0,3151,56.5,28.3,5.3,3.9,3.4,2.4,0.2,2503,57.8,26.3,5,4.1,3.1,2.7,1,2615,55.9,28.6,5.2,3.2,2.5,2.3,2.3,2606,54.5,25.4,7,2.6,3.4,2.9,4.3,2231,48,31.9,6.3,4.4,5.3,3.4,0.8
"동거가구원수별",3인,318,50.4,37.8,4.7,2.6,2.4,2.2,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"동거가구원수별",4인,570,55.3,33.5,4.6,4,1.4,1.1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"동거가구원수별",5인 이상,126,47,41.3,3.3,2.6,4.6,1.2,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"혼인상태별",미혼,326,52.9,34.9,4.5,2.8,1.7,3.3,0,1305,61.9,27.6,4.3,1.4,3.8,1,0,1429,57.9,30.5,5.7,2.1,2.2,1.4,0.2,1191,54.6,31.4,4.4,2.1,3.1,4.2,0.2,1288,49.9,34.2,5.4,2.4,2.7,2.9,2.5,1313,51.8,27.7,6.9,2.5,3.3,4.8,2.9,1031,49.6,31.4,5.1,3.7,5.1,4.2,0.8
"혼인상태별",기혼,1056,46.9,39.7,5.1,3.5,2.9,1.9,0,3007,49.8,33.9,5.9,4,4.1,2.3,0,3087,52.8,28.9,5.2,5.5,4.3,3,0.2,2643,53.7,25.8,5.8,6.7,3.7,2.9,1.5,2857,53.5,28.5,5.5,4.6,2.8,2.7,2.4,2931,51,25.7,7.7,4.5,3.5,2.8,4.8,2741,41,33.6,8.2,6.7,5.6,3.6,1.3
"혼인상태별",사별/이혼/기타,215,23.2,59,3.2,7.2,3.1,4.3,0,413,20.9,38.5,10.1,15.2,6.3,9,0,758,22.5,34.9,4.6,15.1,4.2,17,1.7,559,25.5,42.9,5.4,8.4,3.5,11.6,2.7,723,27.8,43.5,6.5,6.3,2.1,9.7,4.1,720,22.8,40.8,7.6,7.3,3.5,14.2,3.8,576,15.8,40.7,7.7,12.4,5.7,14.8,2.9
"가구주여부별",가구주,724,39.7,46.4,3.6,3.7,3.5,3.1,0,2277,52,31.1,5.9,4.6,3.6,2.8,0,2755,51.3,27.1,5.6,6.5,3.6,5.3,0.6,2836,49.6,29.5,5.4,6.2,3.4,4.7,1.2,2567,48.7,32.3,4.8,4.6,2.6,4.7,2.3,2521,44.4,30.4,7.4,5.2,3.2,5.8,3.5,2248,40.2,33.2,7.1,7,5.6,5.5,1.3
"가구주여부별",가구주 아님,873,50.7,36,5.6,3.7,1.9,2.1,0,2448,51.2,33.4,5.5,3.4,4.5,1.9,0,2519,51.4,32.2,5,4.7,3.9,2.7,0.2,1557,53.2,28.2,5.2,5,3.6,3.3,1.4,2301,50.9,30.7,6.2,4,2.8,2.5,2.9,2443,50.9,26,7.5,3.4,3.7,3.8,4.8,2100,41.8,34,7.7,5.9,5.4,3.9,1.2
"종사자지위별",상용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1179,59.7,24.5,5.5,3,3.4,3.5,0.3,1387,61.4,25,5.4,1.8,2.4,2.2,1.8,1443,57.4,24.5,6.6,1.7,2.8,3.3,3.8,1372,51,29.3,5.8,4.1,5.9,3.4,0.4
"종사자지위별",임시근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,254,42.8,42.8,5.6,2.9,3.7,2,0.2,289,40.1,39.2,4.9,7.4,2.2,2.8,3.4,359,38.8,39.9,4.9,6.1,3.1,3.8,3.5,258,31.7,41,11.4,7.2,4.5,4.1,0.1
"종사자지위별",일용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87,34.4,42.9,2,5.3,4.8,8.5,2.1,102,25.6,56.9,4.7,4.9,2.2,4,1.7,77,24.2,45.2,4.5,3.3,5.5,7.1,10.3,109,28.9,46,8,5.1,2.3,9.6,-
"종사자지위별",고용원이 있는 자영업자,50,73.9,22.9,0,2,0,1.2,0,147,72.1,16.5,4,0.9,3.5,2.9,0,139,69.5,13.3,4.3,8.9,2,2,-,155,72.3,9.9,3.9,5,1.4,6.7,0.7,188,71,19.6,3.6,1.9,2.5,1,0.4,187,76.4,12.1,2.5,1,-,2.1,5.9,165,71.5,13.7,4.5,2.3,4.6,3.3,-
