"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균,표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균,표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균,표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균,표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균,표본수,1년 미만,1-2년 미만,2-3년 미만,3-5년 미만,5년 이상,평균
"동거가구원수별",1인,385,8.9,13.1,12.8,17.2,48,96.3,1040,8.6,16,13.3,21.4,40.7,76.3,814,4.1,15.2,9.3,18.1,53.4,77.3,732,3.1,10.8,13.7,16.3,56.1,114.3,645,4.8,9.1,11.6,21.2,53.4,91.7,666,4.2,9.6,9.5,14.6,62.2,117.5
"동거가구원수별",2인,918,8.4,12,10.4,15.8,53.3,88.6,947,8.7,11.5,13.7,21,45,80.8,1287,2.5,12.1,10,18.7,56.7,85.9,1047,2.2,8.2,9.3,15.5,64.8,124.1,882,3.5,10.5,9.2,17.7,59.2,111.2,1153,2.8,6.9,6.9,13.9,69.5,137.8
"동거가구원수별",3인이상,3318,8.7,15.1,16.5,20.4,39.3,64,3026,9.3,17,15.7,23.1,34.8,60.9,2710,3.9,15.2,13.7,20.3,46.8,62.4,2622,4.9,11.5,12.7,17.5,53.4,89.1,2013,5.9,11.3,13.8,19.9,49.1,79.4,2107,4.6,10.5,11.2,17.3,56.3,91.9
"혼인상태별",미혼,1328,12,17.4,20.2,20.3,30.1,46.3,1395,13.3,22.9,20.7,24.8,18.4,38.4,1366,5.1,18,16.3,24,36.6,44.7,1478,7.8,16.3,15.7,21,39.2,59.1,1201,7.8,15.9,15.7,22.1,38.5,57.8,1084,6.2,16.2,15.8,20.5,41.3,59.5
"혼인상태별",기혼,3015,7.6,13.6,14,19.4,45.4,74.8,2982,7.8,13.9,13.8,21.8,42.7,71.7,2918,3,12.7,11.4,18.5,54.3,76,2491,2.7,8.8,11,15.6,61.9,108.6,1997,4,8.7,11,18.3,58,102.6,2445,3.4,7,7.7,15.3,66.6,118.9
"혼인상태별",사별/이혼/기타,278,4.3,10.6,7.4,19.1,58.6,123.2,636,6.8,11.4,7.6,21.5,52.7,105.7,527,3.2,16.5,7.5,15.1,57.7,98.5,432,2.8,5.5,7,13,71.7,161.6,342,2.1,3.8,8.2,17.2,68.7,122.6,397,2.8,7.4,8.7,8.2,72.9,160.8
"가구주여부별",가구주,2106,5,10.8,12.8,19.8,51.5,83.7,2654,6.3,12.3,12.8,22.9,45.7,75.4,3138,2.6,12.2,10.3,18.8,56,77.1,2189,1.7,6.8,9.8,16.2,65.5,119.2,1804,2.9,7.1,9.8,18.9,61.4,106.3,2015,2.3,5.5,7.8,15.3,69.2,124.2
"가구주여부별",가구주 아님,2515,11.5,17.4,17.6,19.5,34.1,57.1,2359,11.6,19.3,17.2,22.4,29.6,57,1673,4.8,17.3,15.1,20.9,41.9,59.6,2219,6.2,14,14,17.7,48.1,80.6,1736,7.3,14.2,14.8,20.1,43.6,72.6,1911,5.7,12.9,11.9,17.1,52.4,89
"종사자지위별",상용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1463,3.7,11.9,13.8,23,47.5,60,1435,3.5,12.2,12.5,18.2,53.6,88.6,1232,4.3,9.3,13.6,23.2,49.6,82.6,1325,4.1,8.7,11.5,19.5,56.2,91.2
"종사자지위별",임시근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,230,3.5,18.2,13.3,17.3,47.8,71.2,188,4.5,6.5,9.1,10.8,69.1,121.2,202,3.8,16,7.9,16.9,55.3,92.5,235,3.4,12.4,8.4,12.2,63.6,117.2
"종사자지위별",일용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,9.3,24.7,23.2,14.9,27.8,46.9,48,2.9,4,8.4,32.7,52,134.6,66,9.3,6.8,1.1,22,60.7,102.8,77,4.9,16.5,5.7,11.6,61.4,121.8
"종사자지위별",고용원이 있는 자영업자,169,6.3,5.8,11,24,53,76.8,144,5.8,12.4,7.9,23.6,50.3,80,198,0.9,6.9,14.2,15.4,62.6,88,233,2.2,8.5,10.1,13.3,65.9,108.5,165,2.7,6.5,12.6,17.8,60.4,98.5,158,2.9,5.9,9.4,10.3,71.6,120.9
"종사자지위별",고용원이 없는 자영업자,578,4.1,9.4,13.7,19.7,53.1,83.7,748,5.5,12.5,13.9,20.5,47.6,77.9,939,2.2,12.7,8.9,19.1,57.1,75.4,730,2.1,6.6,10.6,14.9,65.8,109.6,577,4.8,8.1,9.6,16,61.5,104.2,653,2.7,6.7,8.1,17.1,65.3,110.8
"종사자지위별",무급가족종사자,86,6.4,7.4,15,20.5,50.7,81.1,58,1.5,15.6,16.1,32,34.8,71.1,109,5.4,15.3,3.9,13.7,61.7,89,64,3.7,7.4,15.4,10.6,62.9,127.7,56,4,4.8,4.2,18.7,68.3,148.4,64,3,5.7,6.3,5.5,79.6,143.6
"종사자지위별",기타종사자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,5.3,9,26.2,8,51.6,80.3,30,8.8,12.7,20.9,4,53.6,157.6,18,4.1,-,-,47.5,48.4,62.4,28,11.7,4.1,7.2,10.7,66.3,138.2
"종사자지위별",해당없음(무직),1749,11.3,16.6,16.2,18.9,37.1,63.5,1636,10.9,18.2,16.6,20.5,33.8,69.7,1772,4.2,17.5,12.7,18.9,46.7,71.2,1680,6,12.5,12.9,18.3,50.4,93.1,1224,6.6,14,14.2,17.5,47.6,82.9,1386,5.1,11.9,10.3,15,57.7,108.2
"종사자지위별",임금.봉급 근로자,2039,8,15.2,15.9,19.8,41,67.8,2427,9.3,15.8,15,24.4,35.6,58.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득별",100만원 미만,202,9.6,8.7,8.5,9.8,63.4,131.8,282,4.6,19.5,8.9,17.2,49.8,98.8,382,4.1,16.7,6.1,13.7,59.4,98.7,293,1.9,9.9,9.2,11.4,67.5,155.4,222,4.1,9.9,9.1,12.8,64,128.9,323,3,4.3,4.3,8.6,79.8,185.3
"가구소득별",100~200만원,348,7.8,12.4,10,15.3,54.5,105.4,417,4.8,12.3,12.6,19.5,50.8,103.6,424,2.3,16.7,6.5,15.2,59.3,94.6,300,1.5,7.1,7.6,15.3,68.5,132.7,265,3,10.9,9.1,13.3,63.7,118,288,3.1,7.4,7.2,13,69.3,150.7
"가구소득별",200~300만원,633,10.7,13.1,13.5,22.1,40.6,70.1,812,8.8,16.5,15.9,19.5,39.4,66.2,729,3.7,14.3,11.6,18.1,52.3,75,582,4.5,7.8,9.4,14.7,63.7,118,462,2.5,8.4,11.2,21.3,56.6,105.4,494,3.5,8.7,9.4,13.7,64.6,116.2
"가구소득별",300~400만원,1023,8.8,15.3,13.5,22.2,40.2,65.5,1066,9.7,18,13.4,23.4,35.6,60.6,973,4.5,12.7,14.4,19.8,48.6,64.3,806,5,9.1,12.4,17.6,55.9,101.6,628,6.1,10.8,11.3,20.9,50.9,87.5,686,2.8,9.9,7.7,15.5,64,107.2
"가구소득별",400~500만원,1091,9.7,16.6,17.3,17.7,38.7,60.3,1117,8.6,16.3,19.1,22.2,33.8,61.3,845,3.4,15.1,14.6,19.5,47.4,63.8,818,4.3,12.3,13.6,19.3,50.5,87,602,6.1,10.8,14.5,18.1,50.5,79.7,719,6.2,10.9,11.5,16.1,55.3,92.1
"가구소득별",500~600만원,714,7.3,15.3,17.3,22.8,37.2,63,718,7.8,13.5,13.7,28,37,64.6,738,2.8,13.3,12.7,26,45.3,61.4,682,5.1,12.1,14,16.6,52.3,87.6,579,7.2,12.6,14.6,19.5,46,75.7,613,3.4,9.2,8.6,19.5,59.3,96.7
"가구소득별",600만원 이상,610,7.5,12.3,17.6,17.2,45.4,68.7,601,13.8,16.4,14.8,21.1,33.9,56.9,720,4,15.3,12.8,18.5,49.5,65.9,927,4,11.9,12,17.5,54.7,85.5,782,4.4,10.8,12.1,21.7,50.9,82.1,803,4.8,10.3,13.2,17.6,54,90.7
"지역규모별",대도시,2205,7.7,13.7,16.2,19.6,42.8,67.9,2315,7.8,13.4,14.6,24,40.2,66.2,1959,3.5,13.6,13.3,18.5,51.2,69.6,1995,3.6,10.2,11.1,15.9,59.2,104.8,1629,6.3,10.4,11.4,19.6,52.3,89.4,1930,3.5,9.1,10.6,15.8,61.1,102.6
"지역규모별",중소도시,1556,9.6,15,15.1,20.3,40.1,67.4,1717,11.6,17.8,16.2,21.4,33.1,61.3,1640,3.4,13.5,13.4,21.5,48.2,66.2,1645,5.1,11.5,13.2,18.4,51.8,83.5,1260,3.8,11.6,14.3,21.7,48.5,77.6,1171,5,11.3,10.4,17.7,55.5,98.4
"지역규모별",읍면지역,860,9.8,16.2,14.6,18.2,41.2,73.1,981,7.2,19.9,14.3,21.6,37.1,73.7,1212,4.1,18.2,8.9,19,49.8,74.6,768,3.9,10.8,12.3,16.8,56.2,110.8,651,5.4,10,10.4,14.2,60,112.7,825,4.4,7.7,7.8,15.2,64.9,122.8
