"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,스포츠참여활동,취미오락활동,사회 및 기타활동,관광활동,문화예술참여활동,스포츠관람활동,문화예술관람활동,표본수,스포츠참여활동,취미오락활동,사회 및 기타활동,관광활동,문화예술참여활동,스포츠관람활동,문화예술관람활동,표본수,스포츠참여활동,취미오락활동,사회 및 기타활동,관광활동,문화예술참여활동,스포츠관람활동,문화예술관람활동,표본수,스포츠참여활동,취미오락활동,사회 및 기타활동,관광활동,문화예술참여활동,스포츠관람활동,문화예술관람활동,표본수,스포츠참여활동,취미오락활동,사회 및 기타활동,관광활동,문화예술참여활동,스포츠관람활동,문화예술관람활동,표본수,스포츠참여활동,취미오락활동,사회 및 기타활동,관광활동,문화예술참여활동,스포츠관람활동,문화예술관람활동
"학력별",고졸,1834,42.7,31.8,14.5,0.8,4.1,1.6,4.5,2125,40,32.7,14.4,1.5,5.5,1.5,4.3,1921,33.9,33.8,17.4,1.7,5.1,2.1,6.1,1695,42.5,36.2,12.3,2.2,3.5,1.2,2,1308,39.1,39.7,11.3,3,4.3,1.3,1.4,1479,33,34.5,22.6,3.6,2.1,2.2,1.9
"학력별",대졸이상,1903,51.9,26.7,10.5,1.7,3.7,1.3,4.2,1991,54.6,21.8,7.5,1.9,3.5,2.6,8.1,1951,43.7,28.3,11.5,3.5,3.6,1.4,7.9,1977,50.9,29.6,7.9,3.7,3.7,1.7,2.5,1673,49.6,31.7,6.6,5.5,4,1.4,1.3,1768,43.5,28.9,13.2,5.1,3.6,2.5,3.1
"동거가구원수별",1인,385,37.8,26.7,23.4,0.3,8.7,0,3.2,1040,34.5,28.7,19.5,1.7,6.8,2,6.9,814,28.3,31.5,22.3,2.1,5.7,2.3,7.8,732,35.5,36.4,16.8,2.8,5.9,0.9,1.7,645,41.3,35,11.6,4,3.6,2.8,1.7,666,34,29.7,27.3,3.1,1.9,2.5,1.4
"동거가구원수별",2인,918,37.8,31.3,17.2,1.5,8.4,1.2,2.6,947,34.9,25.3,20.8,1.8,12.8,2,2.4,1287,33,29.5,23,2.5,5.1,2.2,4.7,1047,39.5,33.5,17.8,2.1,4.7,1,1.3,882,38.2,36.5,13.9,3.8,5.3,1.2,1,1153,30.7,32.7,24.4,4.6,3.3,2.7,1.5
"동거가구원수별",3인이상,3318,46.4,30.1,12.3,1.3,4.2,1.4,4.3,3026,47.1,28,10.7,1.5,4.3,2,6.4,2710,38.2,31.1,15,2.5,4.7,1.5,6.9,2622,46.4,33.1,10,2.8,3.8,1.6,2.3,2013,44.5,35.7,9,4.1,3.9,1.1,1.7,2107,38.3,31.8,17.3,4.2,3.2,2.4,2.8
"혼인상태별",미혼,1328,40.5,34,8.5,0.5,6.3,1.6,8.7,1395,44.7,27.8,7,1.1,5.6,2.7,11.1,1366,36.1,35.5,8.9,2,3.8,2,11.7,1478,44.1,39.7,5.7,1.2,4.2,1.9,3.1,1201,47.1,38.6,4.1,2.1,3.6,1.5,2.9,1084,43.6,33.8,11.7,2.3,3.1,2.3,3.2
"혼인상태별",기혼,3015,47.7,28.6,14.4,1.7,4.2,1.2,2.2,2982,45.8,26.8,14,1.9,5.6,1.8,4.1,2918,37.9,29.2,19.2,2.8,4.6,1.6,4.7,2491,46.4,30.7,12.9,3.5,3.7,1.2,1.6,1997,41.6,34,12.7,5.3,4.5,1.1,0.8,2445,34.2,31.1,21.7,5,3.3,2.6,2.1
"혼인상태별",사별/이혼/기타,278,28.8,28.7,31.1,0.2,8,1.3,1.9,636,26.1,34.4,26.8,0.9,8.8,0.9,2.1,527,22.1,28,33.1,1.4,10.3,2.2,2.9,432,26.4,31.2,29.9,1.6,7.7,1.5,1.9,342,29.7,36.3,22.8,3,4.9,1.9,1.4,397,22.7,31.1,36.3,4.1,1.8,2.7,1.3
"가구주여부별",가구주,2106,45.8,33.3,11.8,2.1,2.7,2,2.3,2654,43.6,31.9,11.3,1.9,4.8,2.7,3.8,3138,36,31.9,17.5,2.4,4.2,2.3,5.7,2186,45.1,32.6,11.9,3.5,3.6,2,1.4,1804,42.3,36.6,10,4.3,3.5,2,1.2,2015,38.5,31.4,18.2,4.4,1.9,3.9,1.8
"가구주여부별",가구주 아님,2515,44.3,27.8,14.5,0.7,6.7,0.8,5.3,2359,44.3,24,14.6,1.4,6.7,1.4,7.5,1673,36.3,29.4,17.6,2.6,5.7,1.1,7.4,2215,43.7,34.1,12.1,2,4.6,1,2.6,1736,42.8,35,10.9,3.8,4.9,0.7,1.9,1911,34.4,32.1,21,4.1,4.2,1.4,2.9
"종사자지위별",상용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1463,42.4,32.5,10,2.9,2.5,2.5,7.1,1434,50.4,30.9,8.1,2.9,2.9,2.3,2.5,1232,45.5,38,5.8,5.3,3,1.4,1,1325,41.4,30.1,14.1,5.1,2.8,3.5,3.1
"종사자지위별",임시근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,230,27.4,39.1,13.8,2.6,4.5,3.7,8.9,188,34.9,41,14.3,1.9,2.6,1.8,3.7,202,34.1,33.8,19.3,3.3,6.4,2.7,0.4,235,30.4,28.1,29.9,2.8,4.6,1.3,3
"종사자지위별",일용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,26.5,28.7,22.8,-,11.6,2.1,8.2,48,34.3,39.7,16.9,3.4,4.3,-,1.4,66,37.4,45,7.9,3.7,3.6,-,2.4,77,32.8,35.5,16.4,8.6,3.8,3,-
"종사자지위별",고용원이 있는 자영업자,169,52.9,26.7,10.4,1.9,3.5,3.8,0.7,144,40.4,35.3,12.8,2.5,5.9,0.5,2.5,198,46.6,21.8,17,3.5,4.1,-,7.1,233,61.2,22.6,9.3,1.8,2.4,1.3,1.3,165,57.5,24.6,10.8,2.7,2.9,0.7,0.7,158,56.9,21.6,11.9,4.4,2.2,1.7,1.3
"종사자지위별",고용원이 없는 자영업자,578,37,39.3,14.1,1.3,3.8,1.9,2.6,748,46.7,31.3,13.4,1.5,4.4,1,1.6,939,35.1,31.7,18.2,3,5.7,2.1,4.2,729,41.4,35.4,13.2,4.3,3.6,1,1,577,45.7,34.9,11.7,2.7,2.8,1.1,1.1,653,36.1,33.8,20.1,3.5,2.5,2.1,2
"종사자지위별",무급가족종사자,86,34.3,22.9,28.1,0,7.5,1.8,5.4,58,44.8,22.1,22.9,3.3,4.8,-,2.1,109,26.7,23.5,34.5,3.2,9.2,1,1.8,64,41.6,14.4,31.2,1.1,11.4,0.4,-,56,27.2,41.1,24.3,4,3.4,-,-,64,15.5,39.9,36.4,5.2,-,-,3
"종사자지위별",기타종사자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,34.8,31,32.2,-,2,-,-,30,30.6,15.3,37,-,8.8,-,8.3,18,27.1,13.3,12.3,36.5,10.8,-,-,28,38.2,30.2,17.7,-,14,-,-
"종사자지위별",해당없음(무직),1749,43.6,29.2,14,0.7,7.2,0.6,4.8,1636,38.5,25.7,17.8,1.3,9.6,1.8,5.3,1772,32.2,29.4,22.5,1.8,6,0.9,7.1,1675,39.6,36.4,13.5,2,5.4,1,2.1,1224,38.8,35.5,12.8,3.1,5.8,1.3,2.6,1386,30.1,34.1,24.3,3.7,3.6,2.2,2
"종사자지위별",임금.봉급 근로자,2039,47.7,29.2,12.4,1.8,3.4,1.5,4,2427,47.4,27.6,9.5,1.7,3.6,2.6,7.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득별",100만원 미만,202,26.7,25.5,31.7,1.7,11.6,0.3,2.5,282,27,29.7,27.6,1,13,0.9,0.9,382,20.6,27.3,37.8,1.1,6.1,2.5,4.6,290,31.6,32.7,26.3,2.3,5.1,0.9,1.2,222,32.6,32.3,23.2,2.1,3.6,4.1,2.2,323,16.3,27.6,49.1,1.1,1.2,2.5,2.3
"가구소득별",100~200만원,348,34,33.6,20.9,0.9,8.6,1.1,0.9,417,26.7,26.8,29.5,1.1,12,1.2,2.7,424,23.2,31,30.9,2,4.4,4.5,4.1,299,31,32.3,23.9,1.3,7.6,2.5,1.4,265,32.6,35.3,18.4,4.4,6.7,1.5,1.1,288,21.8,34.5,32.6,3.7,4,3,0.4
"가구소득별",200~300만원,633,37.3,33.7,15.1,1.4,7.9,0.8,3.8,812,36.3,29.8,15.3,1.7,7.6,2.8,6.5,729,29,34.5,20.8,2.3,3.3,2.2,7.9,581,35.8,37.1,20.5,1.6,3.2,0.9,1,462,39.7,34.8,14.8,3.7,4.1,1.6,1.3,494,29.9,33.8,24.5,4.4,3.4,3.4,0.7
"가구소득별",300~400만원,1023,46.1,32.3,11.9,1.3,3.2,1.3,3.8,1066,45.7,29.7,13.8,1.6,4.3,1.2,3.6,973,36.1,33.7,15.3,2.3,4.7,1.3,6.6,806,40.7,35.6,12.7,3.7,4.4,1.3,1.5,628,37.9,41.3,11.1,4.1,3.6,0.8,1.3,686,31.3,34.2,22.9,3.8,2.2,2.3,3.2
"가구소득별",400~500만원,1091,47.3,29.3,11.6,1.1,4.3,1.7,4.6,1117,45.2,26,12,2,5.5,2.5,6.8,845,33.7,31.8,16.4,2.7,6.4,1.2,7.7,817,45.1,34.9,8.9,2.7,4.1,1.6,2.8,602,42.5,35.5,9.6,4.8,4.1,1.1,2.5,719,33.4,33.5,19.7,4.5,3.2,2.8,2.9
"가구소득별",500~600만원,714,48.3,26.8,13.8,1.2,3.4,1.5,5.1,718,48.2,27.7,8.2,1.6,3.6,2.8,7.9,738,40.5,29,12.7,3.7,3.5,2.4,8.2,681,45.9,33.3,9.6,2.8,3.4,1.5,3.6,579,47.1,35.1,7.1,4,4.5,0.8,1.4,613,42.9,30.1,14.2,4.1,3.6,2.6,2.5
"가구소득별",600만원 이상,610,47.3,29.8,11,1.7,5.7,1,3.6,601,51.3,25.7,8.3,1.1,5.7,1.3,6.6,720,48.3,26.9,12.6,2.1,5.7,0.5,3.9,927,53.5,29.8,7.2,2.6,3.9,1.4,1.6,782,48.7,33.9,6.6,3.9,4.1,1.6,1.2,803,45.2,29.8,12.4,4.9,3.4,1.9,2.4
"지역규모별",대도시,2205,44.9,30.9,11.9,1.3,4.4,1.4,5.3,2315,40.6,30.4,13.5,1.7,4.7,2.4,6.8,1959,39,29.6,16.6,2.6,4.7,1.6,5.9,1990,42.2,37.4,11.3,2.6,2.9,1,2.6,1629,43.8,38.4,9,2.4,4.5,0.9,1,1930,35.8,33.6,17.9,4.2,2.6,2.6,3.4
"지역규모별",중소도시,1556,47.8,28.2,13.4,1.3,5,1.2,3.1,1717,49.4,24.3,11.4,1.6,6.6,1.8,5,1640,34.9,32.4,16.7,2.3,4.2,2,7.6,1645,48.2,29.9,11.1,2.8,4.4,1.9,1.7,1260,42.7,33.9,8.9,6.1,4,2.1,2.2,1171,39.4,30.7,18.1,3.6,3.6,3,1.7
"지역규모별",읍면지역,860,38.3,32.7,17.8,1.1,6.7,1.3,2.2,981,40.5,27.9,16.5,1.4,7.5,1.3,5,1212,32.3,30.1,21.1,2.6,6.4,1.8,5.6,766,41.4,30.7,15.6,2.6,6.7,1.6,1.4,651,39,33.4,18.3,3.3,3.9,0.7,1.4,825,31.3,29,28.1,5.6,3.7,1.6,0.8
"권역별",수도권,1812,46.1,29.9,12.5,1.5,4.7,1.2,4.2,1777,48.1,22.6,10.8,1.1,6.6,2.5,8.3,1575,34.6,32.4,17,2.6,5.3,1.7,6.5,1946,47.5,31.9,11.1,2.3,3.8,1.3,2.1,1064,40.1,37.8,10.6,4.1,4.3,1.1,1.9,1268,33.7,33.3,21.4,3.1,2.7,2.4,3.3
"권역별",강원/제주권,329,30.6,21.5,25.9,2.1,8.9,3.5,7.5,374,32,33,18,5.1,7.2,1.1,3.6,372,33.5,25.1,25.8,2.2,2,1.3,10,143,57.1,21.1,12.7,1.7,3.1,3.1,1.2,357,39.8,39.5,11.1,3.6,2.1,3.9,-,342,36.2,29,29.2,2.9,1.2,0.6,1.1
"권역별",충청/세종권,857,42,32.9,16.6,0.6,4.6,1.1,2.2,883,41.8,27.7,16.3,0.9,9.8,1.2,2.3,800,26.6,40.1,15.9,1.4,6.2,3.3,6.4,378,45.5,27,14.1,2.9,7.2,2.6,0.7,408,42.2,41.1,9.9,2.3,3.2,1.2,0.2,515,30.2,36.8,22,2.5,5.4,2.5,0.7
