"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,친구만남,잡담/통화 하기,가족 방문,사교 모임,종교활동,동호회 모임,사회봉사활동,기타 여가활동,클럽/나이트 가기,표본수,친구만남,잡담/통화 하기,가족 방문,사교 모임,종교활동,동호회 모임,사회봉사활동,기타 여가활동,클럽/나이트 가기,표본수,친구만남,잡담/통화 하기,가족 방문,사교 모임,종교활동,동호회 모임,사회봉사활동,기타 여가활동,클럽/나이트 가기,표본수,친구만남,잡담/통화 하기,가족 방문,사교 모임,종교활동,동호회 모임,사회봉사활동,기타 여가활동,클럽/나이트 가기,표본수,친구만남,잡담/통화 하기,가족 방문,사교 모임,종교활동,동호회 모임,사회봉사활동,기타 여가활동,클럽/나이트 가기,표본수,친구만남,잡담/통화 하기,가족 방문,사교 모임,종교활동,동호회 모임,사회봉사활동,기타 여가활동,클럽/나이트 가기
"연령별",70세이상,1309,67.3,60.6,60.7,37.7,31,1.6,3.1,3.4,1.4,1357,76.2,69.3,65.6,44.4,30.2,1.3,5.3,3.1,1,1202,67.6,77.1,67.4,45.3,31,6.8,5.3,1.9,0.4,1166,77.4,76.9,77.2,36.2,35.9,3.2,3.1,6.1,0.7,1298,77.1,73.4,73.5,23.6,30.5,3.1,2.7,7.2,0.1,1500,62.6,61.9,55.5,26,30.1,1.6,2.3,3.3,-
"학력별",초졸 이하,1248,70.1,70.8,61.8,31.3,25.9,5.5,6.1,2.6,1.4,923,76,77.6,71.5,37.8,27.6,2.5,6.1,3.5,1.2,1151,70,81.6,68.1,36.2,27.7,3.9,7.1,1.8,0.6,1101,79.1,82.4,80,34.2,31.9,1.9,3.6,7,0.6,1139,79.4,76.4,74,21.6,24.1,1.5,3,7.7,0.1,1146,61.8,66.8,58.1,22.6,25.9,1,3.5,3.9,0.3
"학력별",중졸,1471,77.2,69.1,59.3,37.2,24.7,10.4,8.1,2.3,1.7,1452,81.4,76.7,64.4,38.7,25.6,10.3,13.8,2.6,1.2,1164,77.9,82.6,64.6,38,25.5,6.5,12.6,1.3,1,1067,88,82.9,74.8,38.9,24.3,3.2,7.5,4.1,1.6,1142,84.2,82,66.3,21.4,22.3,2.4,3.5,4.2,0.4,1136,71.8,70.4,57.9,27.5,20.9,1.8,4.6,1.8,0.2
"학력별",고졸,4183,80.1,64.1,62.9,45.1,21,15.2,7,2.2,7.6,4491,85.9,82.7,72.1,50.4,19.9,16,7,1.9,7.2,3940,81,83,67.2,44.6,22,10.1,9.3,0.9,3,4039,89.3,84.7,78.3,45.7,20.2,9.3,5.7,3.5,3.5,3927,85.9,84.3,69,23.7,17,6.4,3.8,4,1.2,3790,77.3,71.3,59.4,30.3,17.5,5.5,3.6,2,1.9
"학력별",대졸이상,3700,83.1,68,70.2,45.1,18.7,17.9,5.4,2,9.2,3632,87,82.2,74.9,46.5,18,19.9,6.3,2.6,9.7,3805,80.1,81.7,72,42.6,20.2,13.2,8.9,0.7,3.3,3881,88.1,82.9,79.3,44.4,19.4,13.3,5.8,4.3,4.3,3841,84.2,79.9,70.2,24.1,16.3,8.9,4.3,3.2,1.5,3974,79.6,71.6,61.5,30.1,14.9,9,4,1.5,1.7
"동거가구원수별",1인,1178,74.5,68.4,60.1,35.1,24.7,15.7,4.7,2.9,6.1,2264,82.7,79,70.9,44.7,22.9,19.4,4.3,2.7,7.3,1692,76.2,83.4,65.1,36.5,20.2,7.8,4.3,1.3,3.7,1902,87.1,83.5,78.4,36.9,21.3,5.7,3,5.6,3.7,2022,85.4,79.9,70.7,20.8,17.7,5.3,3.1,4.3,1.4,1799,75.9,73.4,62.3,23.7,18.9,5.1,2.4,2.6,2
"동거가구원수별",2인,2452,74.3,63.4,66.5,47.6,26.2,4.2,5.1,2.4,3.2,2171,79.9,79.2,73.5,55.3,28.1,5.2,8.3,3,2.6,2766,75.8,80.1,69.6,49.1,26.4,10.2,7.3,1,1.7,2581,85.8,81.5,80.2,51.1,25.6,8.9,5.5,5.2,1.6,2786,83.8,82.5,72.5,29.3,21.1,7.1,3.7,4.8,1,3059,72.1,68,63.5,35.5,23,6,4,2.6,0.8
"동거가구원수별",3인이상,6972,81.5,67.5,65.2,42.3,19.7,17,6.9,2.1,7.8,6063,86.7,82.3,71.9,45,18.3,17.8,7.9,2.1,7.9,5602,81,83,69.2,40.5,20.9,10.7,10.7,0.9,2.9,5605,88.3,84.2,78,41.5,20.2,10.1,6.1,3.7,3.8,5241,84.5,81.6,68.1,21.3,16.6,6.5,4.1,3.6,1.1,5188,78.1,71.7,58.4,27.5,15.2,6.4,4,1.6,1.7
"혼인상태별",미혼,2805,85.5,73.5,53.5,22.8,12.4,43,9.4,1.8,16.4,2925,89.2,85.2,59.6,25.5,13.3,48,10.4,2.2,16.8,2901,88.6,86.2,59.9,21.2,13.9,8.2,11.2,1,5.9,3041,93.6,85.8,68.1,26.2,12.1,7.2,5.5,3.3,7,2959,91.3,84,56.6,13.9,9,4.6,3.5,3.2,2.1,2704,86,74.6,48.2,14.8,8.2,4.4,3.9,1.8,4
"혼인상태별",기혼,6831,78.9,64.2,70,51.4,23.4,4.5,5.5,2.3,3.6,6121,84.5,80.8,77.8,55.5,22,3.8,6.8,2.3,3.5,5965,76.4,81,73.2,51.6,24.7,11.9,8.9,0.9,1.5,5713,86.1,82.6,83.3,50.4,23.4,11.2,6.2,4.3,2.1,5702,81.8,80.7,76.1,28.3,21,7.9,4.1,4.3,0.8,6093,73.2,69.4,65,35.8,20.5,7.3,3.9,1.8,0.6
"혼인상태별",사별/이혼/기타,966,67,66.4,62.8,36.7,32.9,2.9,4.3,2.4,1.7,1452,76.6,73.9,69.1,49,31.6,2.9,4.5,3.1,1.5,1194,70,80.1,67,42.7,31.1,6,5.9,1.3,1,1334,81.4,83.5,75.2,42.8,34.8,4.3,3.2,6.1,1.3,1388,79.7,79.9,70.9,23.2,26.3,3.9,3.7,5.3,0.1,1249,67.4,70.4,60.3,25.4,25.9,2.5,3.2,4,0.3
"가구주여부별",가구주,5001,79,59.8,67.8,49.5,19,6.7,4.6,2.3,4.6,5482,85,78.5,74.9,51.3,17.9,7.8,5.3,2.8,4.5,6563,75.5,78.5,68.1,45,20.5,12.5,8.1,1.1,2.2,5073,86.5,80.8,80.9,48.8,20.5,13,4.9,4.8,2.4,5133,83.3,79,72.5,26.2,17.2,9,3.4,4.3,1.1,5163,74.9,68,63.5,33.1,16.4,9.2,3.4,2,0.9
"가구주여부별",가구주 아님,5601,80.7,72,63.3,37.9,22.5,20.7,7.8,2,8.6,5016,85.2,83.8,69.8,43,22.5,22.3,9.4,2,8.9,3497,83.9,87,69.9,39,24.3,7.7,10.8,0.8,3.2,5015,88.5,85.8,76.5,38.9,22.3,6.6,6.3,3.7,4,4916,85.5,84,67.1,20.8,18.7,4.2,4.4,3.8,1.1,4883,77.5,73.2,57.2,26.2,18.3,3.8,4.2,1.9,1.9
"종사자지위별",상용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2965,81.1,81.4,70.7,43.1,16.6,12.6,8.2,0.9,3.9,2980,88.4,82,78.7,45.8,17.5,12.9,4.6,4.4,5.4,3102,86.1,81.2,68.4,23.9,13.8,8.6,2.7,3.4,1.5,3300,79.9,69.2,60,27.9,12.8,7.9,3.1,1.6,1.9
"종사자지위별",임시근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,497,75.9,84.5,65.9,38.4,19.5,4.4,6,0.7,2.7,518,89.2,85.4,80.2,38.8,24.2,4.5,5.1,5.1,3.4,653,86.3,82.9,70.7,20.8,20,5.8,5,4.5,1.5,630,81,80.1,65.4,31.6,22.4,5,5.2,2.8,1.5
"종사자지위별",일용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,76.8,80.9,59.6,34.7,29.6,11.4,15.3,0.8,2.1,164,85.7,81.8,76,39.3,26.4,7,4,4.4,1.4,161,82.3,81.9,64.1,21.7,22.6,4.1,3.8,3.4,2.3,205,76.6,69.1,61.9,29.6,17.1,2.4,5.7,3.8,1.9
"종사자지위별",고용원이 있는 자영업자,326,83.4,59.1,72.1,49.3,19.5,8,5.2,3.6,4.8,248,78.6,80.9,83.1,57.6,24.2,7,9.6,1.8,5.1,337,76.4,77.8,70.3,55.8,22.3,22,7.8,1,4.4,395,90.3,83.4,83,56.7,18.5,19.9,8.3,4.5,3.8,357,79.7,82.6,72.7,29.9,16.2,12.5,4,3.6,0.5,356,71.9,64.1,58.9,39.3,14.7,14,3.2,1.5,0.3
"종사자지위별",고용원이 없는 자영업자,1540,77,63.2,64.2,53,20.2,5.5,4.5,2.1,4,1637,82.6,82.5,73.6,54.5,18.5,5.5,5.4,2.3,3.9,2006,78.7,79.4,67.3,53.5,22,12.5,7.6,1,2,1755,88.4,85.4,81.8,55.1,20.3,12.6,6.5,4.1,1.6,1805,84.1,86.2,74.6,30.3,16.6,7.7,4.5,4.7,0.7,1557,77.5,75.2,64.2,38.9,18.2,8.6,4.7,2.2,1.3
"종사자지위별",무급가족종사자,233,67.2,81.3,71.8,55.4,26.8,6.5,4.7,0.8,1.6,139,75.9,87.9,76.2,51.6,35.1,7.9,7.1,1.6,1.1,250,78.1,85.9,72.1,58.9,32.2,7.5,11,0.3,1,173,83.3,85.2,88.7,59,30.8,6,5.5,4.1,3.8,235,81.3,88.6,83.7,33.3,23.4,4,4.3,9.1,0.7,188,63.8,72.9,64.2,38.5,20.8,1.9,3.1,1.7,0.6
"종사자지위별",기타종사자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,66.4,92.5,75,54.2,35.9,12,8.7,-,2.5,59,85.8,74.2,76.2,45.3,36.1,12.1,7.1,10.6,2.4,40,58.4,50.7,60.6,12.3,28.6,1.4,4.3,1.4,-,53,70.1,66.8,71.4,38,29.7,5.4,-,-,4.2
"종사자지위별",해당없음(무직),4293,78.8,69.6,61.5,35,24.5,14.9,8.5,2.1,5.3,3857,84.6,80.3,68.6,40,24.8,17,10.3,2.4,5.8,3793,79.2,84.5,68.8,34,25.9,7.2,11.3,1.1,2,4044,86.6,83.8,75.8,34.7,24.1,5.4,6,3.9,2.6,3696,83.9,79.4,67.5,19.2,21.4,3.8,4.4,4,0.9,3757,73,69.9,56.9,24.2,20.7,3.4,4.1,2,1.3
"종사자지위별",임금.봉급 근로자,4210,82.4,65.4,68.2,46.3,17.6,18.5,5.2,2.1,9.9,4617,86.9,81.9,73.8,49.2,16.7,18.8,5.8,2.4,9.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득별",100만원 미만,861,64.9,64.5,60.4,30.3,30.2,2.8,3.5,3.6,1.3,921,77.5,73.8,64.5,40.3,27.1,6.4,3.4,4.3,1.9,939,66.5,80,65.6,35.6,27.2,3.5,3.8,1.6,0.9,980,81.1,78.8,79.5,32,26.4,3.2,3.1,7.8,0.9,999,79.1,74.5,72.3,20.3,26.5,2.2,2.9,7.1,0.5,1098,63.2,65.4,57.5,20.7,26.4,2.1,1.3,2.9,0.4
"가구소득별",100~200만원,1075,71,63.8,62.9,46.1,27.9,4.5,4.7,2.3,1.9,1007,80,74.8,73.9,47.8,30.8,5.3,7.6,2,2.6,929,74.1,79.7,66.8,44.1,26.8,5.6,6,1.9,1.4,923,82.2,79.9,78.7,43.6,27.8,4.5,4.6,6.4,1.1,1012,83.6,80.8,73.5,26.5,23.6,5.2,3.7,6.7,1,824,70,71.2,63.4,33.3,26.3,2.7,4.4,2.2,0.2
"가구소득별",200~300만원,1594,77.9,66,63.8,43.3,19.3,9.7,6.6,1.9,5,1706,82.8,80.8,74.3,49.1,21,12.1,6.5,2.8,5,1613,76.5,83.4,70.9,44.1,22.9,8.3,8.1,0.8,2.6,1405,88,85.1,80.5,43.8,24.6,7.7,4.6,4.7,2.2,1421,85.3,81.8,74.2,24.9,16.8,5,3.8,5.5,0.8,1357,73.3,69,61.6,32.3,19.2,3.5,4.3,2.2,1.1
"가구소득별",300~400만원,2437,81.1,67,65.3,42.2,18.6,11.9,6.1,1.5,6.1,2246,87.7,84.3,74.6,49.7,18.6,13.3,6.9,2,5.8,2184,80.3,83.2,69.4,41.7,20.6,10.4,8.5,1.3,1.4,1824,88.3,84.3,80.4,44.4,21.3,10.3,6.2,4.6,2.5,1896,83.6,82.2,68.8,23.1,16.1,7,3.2,4.3,0.7,1764,73.1,70.2,61,29.1,13.7,5.9,3.9,2.7,1
"가구소득별",400~500만원,2231,81.9,68.2,64.5,43.5,20.1,16.5,7.4,1.8,6.9,2214,84.9,81.9,71.1,45,20.2,17.2,7.6,2.6,6.3,1785,78.8,83.7,69.4,39.8,23,9.8,10.6,1.1,2.4,1782,90,85.4,77.2,43.5,19.3,9.6,5.5,3.2,3.3,1611,83.1,81.1,67.2,21.4,16.4,6.1,4.5,3,1.4,1797,76.9,72.3,62.3,27.8,15.7,6.2,4.2,1.9,1.1
"가구소득별",500~600만원,1356,84.1,70.3,67.8,45,19.9,20.4,5.2,2,9.5,1405,88,85.3,73.5,48.7,15,21.1,7.1,1.8,9.4,1394,86,83.5,67.7,42.9,20,10.6,10.7,0.4,4.3,1407,88.3,84.3,77.1,41,19.5,9.4,5.8,3.6,3.5,1380,87.1,83.9,67.7,24.2,15.5,7.8,4.4,2.3,1.7,1532,81.2,73,59.9,24.8,15.7,6.8,3,1.2,2.9
"가구소득별",600만원 이상,1048,81.9,63.3,67.1,42.5,22.6,24.3,8.8,3.6,11.6,999,85.6,77.9,67.9,41.9,22.2,23.9,11.9,2.2,13.1,1216,81.5,79.6,69.7,45.9,20.8,17.4,12.2,0.3,4.3,1767,88.1,82.6,77.8,46.6,19.7,13.3,7.2,3.2,6,1730,86.4,82.8,68.6,23.9,17.9,8.6,4.1,2.7,1.3,1674,81.5,70.9,56.2,34.2,17.5,9.4,4.7,1.6,2
"지역규모별",대도시,4611,79.9,68.5,62,44.3,20,15.3,5,2.5,7.6,4418,86.8,80.1,69.6,43.3,18.7,16.7,5.3,2.4,7.3,4235,83.3,82.6,69,40.6,21.8,10.1,8.1,0.9,3.4,4373,88.2,82.2,75.5,45.5,21.1,8.9,5.2,3.1,3.9,4330,84.9,83.4,69.7,23.9,17.9,6.3,3.8,2.8,1.5,4331,77.5,69.3,58.2,29,18,6.5,3.7,1.9,1.5
"지역규모별",중소도시,3610,81.8,65.2,68.6,41.8,21.3,16.2,7.8,1.5,7.4,3524,82.7,82.8,74.6,48.2,22.5,16.5,9.4,2.6,7.3,3331,78.1,82.1,68.1,39.2,22.5,10.7,10.3,0.8,2.1,3776,86.8,83.9,78.1,37.6,22,9.9,5.5,4.6,3.3,3486,82.3,77.7,64.9,20.1,18,6.6,3.5,4.1,1,3459,75.7,69.7,58.5,26,15.5,5.2,3,2,1.8
"지역규모별",읍면지역,2381,76.5,66.3,65.8,41.4,22.9,10.5,7.1,2.7,4.2,2556,86.2,81.6,72.7,51.5,20.1,12.6,8.9,1.7,5.3,2494,72.9,82.2,70.3,51.6,22.6,10.1,10.2,1.3,2,1939,88,85.9,85.9,49.5,21.3,9.8,7.4,6.1,2,2233,87.6,85.5,79.2,29.1,18.1,6.6,4.8,6.8,0.5,2256,75.1,77.1,67.5,36.6,20.4,7.4,6,2,1
