"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),영화관람,전시회관람,박물관 관람,연극공연 관람,연예공연 관람,음악연주회 관람,전통예술공연 관람,무용공연 관람,표본수,영화관람,전시회관람,박물관 관람,연극공연 관람,연예공연 관람,음악연주회 관람,전통예술공연 관람,무용공연 관람,표본수,영화관람,전시회관람,박물관 관람,연극공연 관람,연예공연 관람,음악연주회 관람,전통예술공연 관람,무용공연 관람,표본수,영화관람,전시회관람,박물관 관람,연극공연 관람,연예공연 관람,음악연주회 관람,전통예술공연 관람,무용공연 관람,표본수,영화관람,전시회관람,박물관 관람,연극공연 관람,연예공연 관람,음악연주회 관람,전통예술공연 관람,무용공연 관람,표본수,영화관람,전시회관람,박물관 관람,연극공연 관람,연예공연 관람,음악연주회 관람,전통예술공연 관람,무용공연 관람
"학력별",초졸 이하,24,3.8,5.7,2.8,4.3,1.9,5,0.3,923,20.6,4.8,5.2,1.8,4.9,1.7,10.1,0.7,1151,22.8,2.8,5,2.9,4.2,1.5,3.2,0.5,1101,18.6,2.2,3.6,2.6,1.7,1.4,4.5,0.5,1139,10.8,0.5,1.2,0.5,1.1,0.4,0.5,0.1,1146,12,1.8,2.2,1.3,1.7,0.7,1.5,0.3
"학력별",중졸,42.2,6.5,9.4,5.2,6.5,2.2,2.6,1.1,1452,47.5,7.9,11.1,7.8,7.9,2.9,8.3,1.6,1164,53.4,7.9,10.2,5.2,6.8,2.3,5.2,1.1,1067,38.7,5.5,5.2,3.8,4.7,2.2,3.1,0.1,1142,29.6,2.8,2.1,1.7,3.4,1,0.4,0.3,1136,28.8,5.5,4.5,3.1,2.4,0.8,1.5,0.3
"학력별",고졸,61.9,8.3,8.8,9.6,7.7,3.2,4.3,1.6,4491,68.6,7.1,6.8,10.5,7.8,2.1,4.5,1.3,3940,67.7,8.9,7.1,9,5.7,3.6,3,0.4,4039,59.2,7.5,7.5,6.5,4.8,2.7,2.6,0.9,3927,43.5,4.8,3.9,2.6,3.6,1.2,0.8,0.3,3790,41.7,6.4,4.8,3.7,4.6,1.6,1.3,0.4
"학력별",대졸이상,76.6,12.8,13,13.4,10.6,4.8,3.1,2.4,3632,84.3,13,13.7,20.4,11.6,7.3,3.1,2.4,3805,82.2,16.3,15.3,14.7,10.1,6.9,3.3,1.8,3881,77.3,14.8,13.6,11.9,7,5,2.8,1.3,3841,55,9.1,7,5.6,3.5,1.9,1.3,0.7,3974,58.9,13.2,10.3,8,6,3.6,1.8,1
"동거가구원수별",1인,34.5,7,4.9,6.7,7.2,2.2,4.5,1.8,2264,49.6,6.1,4.3,10.6,6.6,2.7,6.6,1.4,1692,48.3,6.9,5,5.3,4.7,2.7,2.8,1,1902,42.9,5,4.4,4.5,3.4,1.5,1.8,0.7,2022,38,6.1,3,3.5,2.9,1.1,0.9,0.3,1799,35.6,5.9,3.4,3.4,3.7,1.7,1.2,0.7
"동거가구원수별",2인,30.8,4.9,5.6,4.4,4.7,1.8,6.3,1.3,2171,39,5.9,6.4,6.1,6.2,3.2,9.7,1.2,2766,49.7,6.2,7.6,6.4,6.2,3.4,4.5,0.9,2581,39,5,5.3,4.7,4.1,2.2,3.6,0.4,2786,30.5,4.3,3.6,2.5,2.6,1.2,0.7,0.2,3059,28.6,5.2,4.4,3.1,3,1.7,1.8,0.5
"동거가구원수별",3인이상,69.8,10.4,11.5,11.3,9.2,4,3.1,1.8,6063,77.9,10.4,11.2,15.2,10,4.4,3.4,1.9,5602,76.8,13.6,12.2,12.4,8.2,5.2,3,1.1,5605,68.8,11.6,11.1,9.4,6,4,2.9,1.1,5241,50.9,6.5,5.6,3.9,3.7,1.5,1,0.6,5188,52.4,10.5,8.3,6.3,5.5,2.5,1.5,0.6
"혼인상태별",미혼,88,14.2,10.5,18.7,15.5,5.3,1.3,2.8,2925,91.9,14.8,11.2,22.4,16.5,4.7,1.4,3.4,2901,88.8,16.4,10.1,15.8,11,5.9,2,1.1,3041,82.4,13.2,8.8,12.3,9,4.3,1.8,1.2,2959,67.4,9.2,4.9,5.9,5.2,1.4,0.8,0.8,2704,71.2,14.8,6.8,9.5,8.1,3,1.1,0.8
"혼인상태별",기혼,54.9,8,10.6,6.9,6,3.1,4.3,1.4,6121,64.1,7.5,9.8,10.6,6.6,3.8,5.7,1.1,5965,63.5,9.8,11.5,8.5,6.2,4.3,3.8,1,5713,55.6,9.2,10.3,6.8,4.4,3.3,3.4,0.9,5702,36.5,5,5.1,2.7,2.6,1.5,1.1,0.3,6093,37.2,7,7.4,3.9,3.7,2.2,1.8,0.6
"혼인상태별",사별/이혼/기타,17.7,3.1,3.7,3.6,2.2,1.2,7.1,1.1,1452,27.5,3.7,4.9,3.2,3.3,3.5,9.1,1.1,1194,29,3.5,3.8,5.4,4.4,1.8,4.6,0.9,1334,27.6,2.5,3.3,3.4,1.9,1.3,3.2,0.6,1388,15.9,1.6,1.8,0.7,1.7,0.6,0.5,-,1249,15.3,2,2.8,1.1,0.9,0.5,1,0.1
