"통계분류(1)",통계분류(2),2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,3만원 미만,3~5만원,5~7만원,7~9만원,9-15만원,15만원이상,평균,표본수,3만원 미만,3~5만원,5~7만원,7~9만원,9-15만원,15만원이상,평균,표본수,3만원 미만,3~5만원,5~7만원,7~9만원,9-15만원,15만원이상,평균,표본수,3만원 미만,3~5만원,5~7만원,7~9만원,9-15만원,15만원이상,평균,표본수,3만원 미만,3~5만원,5~7만원,7~9만원,9-15만원,15만원이상,평균,표본수,3만원 미만,3~5만원,5~7만원,7~9만원,9-15만원,15만원이상,평균
"학력별",대졸이상,3700,1.1,1.8,6,2.9,20.3,67.9,229,3632,1,1.2,6.8,3.2,18.1,69.6,232.7,3805,2.1,2.6,8.8,1.3,16.1,69.2,261,3881,1.8,2.8,7.7,1.3,20.7,65.7,252,3841,1.7,1.7,8.6,1.5,20.7,65.7,250,3974,1.4,1.6,5,1.3,12.8,77.9,294
"동거가구원수별",1인,1178,6.6,6.1,19.2,4.1,25.1,38.9,153,2264,4.6,6.3,15.4,5.2,20.4,48,164.1,1692,10.8,7.4,15.7,2,17.3,46.9,189,1902,10.6,9.2,16.4,2.1,20,41.8,167,2022,9,7.5,17.5,1.8,18.9,45.3,190,1799,8.2,5.2,15.5,1.4,18.5,51.2,200
"동거가구원수별",2인,2452,4.6,5.2,15,5.4,24.3,45.6,163,2171,3.7,5.7,16.5,4.8,23.4,46,161.9,2766,6.8,6.4,14.8,2,20.4,49.5,187,2581,5.4,7.6,17.7,1.9,22,45.4,178,2786,7,6.4,16.6,1.8,21.6,46.5,180,3059,4.8,4.4,11.3,1.4,21,57,212
"동거가구원수별",3인이상,6972,2.1,3.6,9.7,4.7,22.4,57.6,195,6063,1.8,3.1,10,3.9,20.4,60.7,203.1,5602,3.8,4.2,11.6,1.6,18.9,59.9,223,5605,3.3,4.3,11.3,1.8,22.1,57.2,215,5241,3.6,4,13.3,1.9,21.7,55.4,207,5188,2.9,2.5,8.4,1.5,16.7,68.1,254
"혼인상태별",미혼,2805,2.7,5.1,12.5,5.2,21.3,53.2,184,2925,2,3.9,11.2,3.8,21.1,58.1,202.4,2901,3.9,4.2,13.3,2.5,20.2,55.9,212,3041,4.6,5.2,12.8,2.2,19.5,55.6,207,2959,4.1,5,12.8,1.7,20.7,55.7,211,2704,2.8,2.7,9.5,1.8,16.7,66.5,247
"혼인상태별",기혼,6831,2.2,3.2,9.4,4.5,23.1,57.4,195,6121,1.9,3.3,10.9,4.1,20.7,59.1,194.8,5965,4.4,4.7,11.6,1.5,18.2,59.6,220,5713,3.1,4.9,12.2,1.7,23,55.2,211,5702,4.4,4.1,14.5,1.9,21.6,53.4,204,6093,3.4,3,8.4,1.4,18,65.7,246
"혼인상태별",사별/이혼/기타,966,7.7,7.5,22.8,4.9,26,30.9,125,1452,7.8,8.3,18.8,5.6,21.8,37.6,141.2,1194,14.1,10.5,19.1,1.6,21.9,32.7,141,1334,12.1,9.9,20.5,1.9,21.1,34.5,133,1388,13.6,11.1,22.1,2.1,21.1,30,129,1249,10.8,6.5,21.3,1.1,21.7,38.6,150
"가구주여부별",가구주,5001,2.6,3.2,9.5,3.8,21.6,59.3,208,5482,2.9,3.6,10.9,4.1,19.7,58.7,197.9,6563,5.1,5.3,12.4,1.7,18.7,56.8,223,5073,4.6,5.5,11.7,1.7,21.1,55.3,217,5133,5.5,4.8,14.6,1.9,20,53.2,214,5163,4,3.1,9.3,1.3,16.1,66.2,260
"가구주여부별",가구주 아님,5601,2.8,4.6,12.2,5.5,23.7,51.3,173,5016,2,4.1,12.3,4.2,21.9,55.5,187.6,3497,5.2,4.8,13.2,1.9,19.7,55.3,196,5015,4.2,5.4,14.2,2,22.5,51.7,191,4916,5.2,5.4,15.1,1.9,22.4,49.9,182,4883,3.6,3.3,9.9,1.6,19.4,62.2,223
"종사자지위별",상용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2965,2.2,2.7,8,1.8,17,68.3,246,2980,1.8,3.3,9.2,1.2,19.7,64.8,240,3102,1.6,2.3,10.1,1.6,20.3,64.2,243,3300,1.9,1.5,5,1.1,12.3,78.3,288
"종사자지위별",임시근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,497,5.4,2.1,14.7,1.7,19,57.2,206,518,3.6,5.1,13.4,1.9,24.6,51.3,195,653,6.8,5.7,15.9,1.3,21.1,49.1,170,630,3.6,3.1,9,2.2,20.9,61.2,221
"종사자지위별",일용근로자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,11.5,6.1,9.6,0.9,17.4,54.4,185,164,7.4,9.3,10.5,1.3,23.7,47.7,170,161,5.7,3.9,19,1.7,11.7,58,225,205,0.6,3.1,8.2,1.2,24.5,62.4,228
"종사자지위별",고용원이 있는 자영업자,326,1.6,1,5.9,2.4,28.3,60.9,245,248,1.3,0.3,4.8,4,22,67.5,246.4,337,3.1,2.7,9.5,0.3,14.4,70,323,395,0.5,1.8,6.4,0.9,17.4,73,332,357,1.5,1.4,7.9,1.3,17.3,70.7,311,356,1.3,0.6,5.7,1.3,7.3,83.9,373
