"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,모름/무응답,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,모름/무응답,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,평균,표본수,전혀 중요하지 않다,중요하지 않다,다소 중요하지 않다,보통이다,다소 중요하다,중요하다,매우 중요하다,평균
"연령별",60대,-,0,0.2,1.7,7.1,20.6,38.7,31.6,0,5.91,1336,0.1,0.2,1.3,11.3,23.6,34.7,28.7,-,5.77,1422,-,0.7,1.4,10.3,27,35.8,24.8,5.7,1324,0.1,0.3,3.4,22.8,28.5,29.3,15.6,5.3,1377,0.1,0.5,1.4,13.9,23.8,36.2,24.2,5.7,1477,0.2,0.5,2.1,11.2,24.7,34.9,26.4,5.7,1707,0.1,0.5,2.7,17.7,29.5,30.1,19.5,5.4
"연령별",70세이상,-,0,0.4,1.5,8.2,24.4,34.8,30.7,0,5.84,1309,0.3,0.6,2.1,9,25,34.8,28.2,-,5.75,1357,0,0.4,3.9,10.2,27.9,30.2,27.3,5.65,1202,0.4,0.8,4.4,20.9,30.3,28.6,14.7,5.2,1166,0,0.4,2.3,15.3,24.3,32.5,25.2,5.6,1298,0.1,0.6,0.7,11.7,22.3,34.4,30.2,5.8,1500,0.1,0.4,3,20.9,26.1,27.3,22.2,5.4
"학력별",초졸 이하,-,0.1,0.5,1.5,9.3,21.8,35.2,31.6,0,5.84,1248,0.1,1.1,2.8,9.8,22.5,35.5,28.1,-,5.72,923,0.1,0.4,4.4,11.9,25.3,32.3,25.5,5.61,1151,0.5,0.9,4.7,23.4,28.9,25.9,15.8,5.2,1101,0.1,0.8,2.4,14.4,25.8,32.2,24.4,5.6,1139,0.1,0.2,0.4,13.5,21.1,33.5,31.2,5.8,1146,0.2,0.5,2.7,21.2,28.2,26.2,21,5.4
"학력별",중졸,-,0.1,0.1,1.6,7.6,22.9,38.2,29.6,0,5.86,1471,0.2,-,1.5,9.7,26.3,37.4,24.9,-,5.74,1452,-,0.1,2.3,11.9,31.2,31.3,23.1,5.6,1164,0.1,0.7,3.5,22.1,29.7,31.7,12.1,5.2,1067,0.3,0.1,2.3,16.3,23.4,32.8,24.7,5.6,1142,0.1,0.4,0.5,11,26.6,34.6,26.8,5.7,1136,0.3,0.4,3.2,20.8,27.1,30.6,17.7,5.4
"학력별",고졸,-,0.1,0.1,1.2,7.2,21.6,39.6,30.1,0,5.89,4183,0.2,0.2,1.3,9.6,24.1,38.7,25.9,-,5.77,4491,0,0.5,2,10.4,27.3,35.7,24.1,5.68,3940,0,0.3,3.6,20.4,31.3,29.8,14.5,5.3,4039,0.1,0.4,1.5,14.4,25.3,33.7,24.6,5.6,3927,0.4,0.7,2.3,11.2,23.5,36.6,25.3,5.7,3790,0.2,0.5,3,18.4,29.7,29.5,18.7,5.4
"학력별",대졸이상,-,0.1,0.3,1.6,9.1,22,38.7,28.1,0,5.81,3700,0.3,0.5,2,8.2,26.1,37.8,25,-,5.73,3632,0,0.4,1.7,10.8,29.4,37,20.6,5.63,3805,0,0.5,2.4,20.3,30,28.6,18.2,5.4,3881,0.2,0.4,1.9,14.3,23.7,34.5,24.9,5.6,3841,0.2,0.6,2.1,12.5,24.1,35.3,25.3,5.7,3974,0.1,0.4,2.6,18.2,30.2,30.2,18.3,5.4
"동거가구원수별",1인,-,0.1,0.3,0.9,8.9,20.7,38.2,30.8,0,5.88,1178,0.1,0.5,1.5,10.7,25.9,31.9,29.5,-,5.75,2264,0.1,0.2,2.3,11.1,27.3,36.1,22.9,5.65,1692,0.3,0.8,4.2,23.6,25.6,27,18.6,5.3,1902,0.3,0.9,2.6,13.1,23.4,32.1,27.5,5.6,2022,0.3,0.9,2,12.2,22.6,33.4,28.6,5.7,1799,0.1,0.2,2.2,18.8,26.3,31.5,20.7,5.5
"동거가구원수별",2인,-,0,0.4,1.5,8.3,20.1,39,30.7,0,5.88,2452,0.3,0.3,1.5,9.2,25.9,35.8,27,-,5.76,2171,0.1,0.4,1.6,11.7,26.1,33.8,26.3,5.7,2766,0.2,0.4,3.7,22.3,30.1,28.2,15,5.3,2581,0.2,0.3,1.7,15.8,25.4,31.9,24.8,5.6,2786,0.2,0.2,1.3,11.5,25.4,34.4,27,5.7,3059,0.2,0.3,3.1,18.5,27.8,28.7,21.4,5.5
"동거가구원수별",3인 이상,-,-,-,-,-,-,-,-,-,-,6972,0.2,0.4,1.8,9,24.8,38.7,25.1,-,5.74,6063,0,0.4,2.2,10.6,29.2,35.6,22,5.63,5602,0,0.5,3,19.9,31.2,29.8,15.7,5.3,5605,0.2,0.4,1.8,14.3,24.4,34.6,24.3,5.6,5241,0.3,0.6,2.1,12.1,23.4,36.7,24.8,5.7,5188,0.2,0.5,2.8,18.9,30.6,29.8,17.3,5.4
"동거가구원수별",3인,-,0.1,0.1,2,7.2,21.4,38.8,30.4,0,5.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
