,자치구,노인인구비율
0,종로구,0.1856949517777836
1,중구,0.19295989040261816
2,용산구,0.16981099612012973
3,성동구,0.16793622058209162
4,광진구,0.1563126024079219
5,동대문구,0.18359238511739048
6,중랑구,0.1952052686649843
7,성북구,0.1774948795419312
8,강북구,0.22582796176928208
9,도봉구,0.21771538525465228
10,노원구,0.1839862403326305
11,은평구,0.19317953947171937
12,서대문구,0.1763695545492381
13,마포구,0.15026743364618025
14,양천구,0.16620963275271564
15,강서구,0.17196637331339298
16,구로구,0.1848376608618054
17,금천구,0.18052765943406732
18,영등포구,0.16544903621312335
19,동작구,0.17615279588705277
20,관악구,0.16596767390595032
21,서초구,0.15484413625149457
22,강남구,0.15450794601137563
23,송파구,0.15844563239034268
24,강동구,0.17177017716641488
