자치구별,만족도(평균/5점만점)
강남구,3.4
강동구,3
강북구,3
강서구,3.2
관악구,3.1
광진구,3.3
구로구,2.6
금천구,3.1
노원구,3.3
도봉구,2.7
동대문구,2.6
동작구,2.9
마포구,3
서대문구,3.4
서초구,3.2
성동구,3.4
성북구,3.3
송파구,3.3
양천구,3
영등포구,3.2
용산구,2.9
은평구,3
종로구,2.8
중구,3.3
중랑구,3.1
