지역,사회/여가/문화 만족도(평균)
강남구,68
강동구,60
강북구,60
강서구,64
관악구,62
광진구,66
구로구,52
금천구,62
노원구,66
도봉구,54
동대문구,52
동작구,58
마포구,60
서대문구,68
서울 전체,60
서초구,64
성동구,68
성북구,66
송파구,66
양천구,60
영등포구,64
용산구,58
은평구,60
종로구,56
중구,66
중랑구,62
